#YY,MM,DD,WVHT,ATMP,WTMP
2019,1,1,99.0,20.3,999.0
2019,1,1,99.0,20.3,999.0
2019,1,1,99.0,20.3,999.0
2019,1,1,99.0,999.0,999.0
2019,1,1,99.0,20.2,999.0
2019,1,1,99.0,20.1,999.0
2019,1,1,99.0,20.2,999.0
2019,1,1,99.0,20.1,999.0
2019,1,1,99.0,20.2,999.0
2019,1,1,99.0,20.2,999.0
2019,1,1,99.0,20.5,999.0
2019,1,1,99.0,20.5,999.0
2019,1,1,99.0,20.8,999.0
2019,1,1,99.0,20.8,999.0
2019,1,1,99.0,20.7,999.0
2019,1,1,99.0,20.7,999.0
2019,1,1,99.0,20.7,999.0
2019,1,1,99.0,20.6,999.0
2019,1,1,99.0,20.5,999.0
2019,1,1,99.0,20.4,999.0
2019,1,1,99.0,20.1,999.0
2019,1,1,99.0,20.3,999.0
2019,1,1,99.0,19.7,999.0
2019,1,1,99.0,19.6,999.0
2019,1,1,99.0,19.6,999.0
2019,1,1,99.0,19.3,999.0
2019,1,1,99.0,19.2,999.0
2019,1,1,99.0,19.2,999.0
2019,1,1,99.0,19.2,999.0
2019,1,1,99.0,19.2,999.0
2019,1,1,99.0,19.1,999.0
2019,1,1,99.0,19.0,999.0
2019,1,1,99.0,19.0,999.0
2019,1,1,99.0,18.9,999.0
2019,1,1,99.0,18.8,999.0
2019,1,1,99.0,18.8,999.0
2019,1,1,99.0,18.7,999.0
2019,1,1,99.0,18.7,999.0
2019,1,1,99.0,18.8,999.0
2019,1,1,99.0,18.8,999.0
2019,1,1,99.0,18.8,999.0
2019,1,1,99.0,18.7,999.0
2019,1,1,99.0,18.7,999.0
2019,1,1,99.0,18.7,999.0
2019,1,1,99.0,18.6,999.0
2019,1,1,99.0,18.6,999.0
2019,1,1,99.0,18.5,999.0
2019,1,1,99.0,18.5,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.3,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.3,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.5,999.0
2019,1,1,99.0,18.5,999.0
2019,1,1,99.0,18.6,999.0
2019,1,1,99.0,18.6,999.0
2019,1,1,99.0,18.5,999.0
2019,1,1,99.0,18.5,999.0
2019,1,1,99.0,18.5,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.5,999.0
2019,1,1,99.0,18.5,999.0
2019,1,1,99.0,18.5,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.5,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.3,999.0
2019,1,1,99.0,18.3,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.5,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,18.4,999.0
2019,1,1,99.0,19.3,999.0
2019,1,1,99.0,19.3,999.0
2019,1,1,99.0,19.3,999.0
2019,1,1,99.0,19.3,999.0
2019,1,1,99.0,19.4,999.0
2019,1,1,99.0,19.2,999.0
2019,1,1,99.0,19.3,999.0
2019,1,1,99.0,19.2,999.0
2019,1,1,99.0,19.2,999.0
2019,1,1,99.0,19.3,999.0
2019,1,1,99.0,19.3,999.0
2019,1,1,99.0,19.4,999.0
2019,1,1,99.0,19.3,999.0
2019,1,1,99.0,19.4,999.0
2019,1,1,99.0,19.5,999.0
2019,1,1,99.0,19.4,999.0
2019,1,1,99.0,19.3,999.0
2019,1,1,99.0,19.5,999.0
2019,1,1,99.0,19.5,999.0
2019,1,1,99.0,19.6,999.0
2019,1,1,99.0,19.5,999.0
2019,1,1,99.0,19.6,999.0
2019,1,1,99.0,19.7,999.0
2019,1,1,99.0,19.8,999.0
2019,1,1,99.0,19.9,999.0
2019,1,1,99.0,19.8,999.0
2019,1,1,99.0,19.9,999.0
2019,1,1,99.0,19.9,999.0
2019,1,1,99.0,20.2,999.0
2019,1,1,99.0,20.1,999.0
2019,1,1,99.0,20.0,999.0
2019,1,1,99.0,20.4,999.0
2019,1,1,99.0,20.5,999.0
2019,1,1,99.0,20.7,999.0
2019,1,1,99.0,20.9,999.0
2019,1,1,99.0,20.4,999.0
2019,1,1,99.0,20.6,999.0
2019,1,1,99.0,19.8,999.0
2019,1,1,99.0,19.9,999.0
2019,1,1,99.0,19.7,999.0
2019,1,1,99.0,19.6,999.0
2019,1,1,99.0,19.6,999.0
2019,1,1,99.0,19.7,999.0
2019,1,1,99.0,19.8,999.0
2019,1,1,99.0,20.2,999.0
2019,1,1,99.0,20.3,999.0
2019,1,1,99.0,19.9,999.0
2019,1,1,99.0,20.0,999.0
2019,1,1,99.0,20.3,999.0
2019,1,1,99.0,20.5,999.0
2019,1,1,99.0,19.9,999.0
2019,1,1,99.0,19.8,999.0
2019,1,1,99.0,19.8,999.0
2019,1,1,99.0,20.0,999.0
2019,1,1,99.0,20.4,999.0
2019,1,1,99.0,20.4,999.0
2019,1,1,99.0,20.1,999.0
2019,1,1,99.0,20.7,999.0
2019,1,1,99.0,20.8,999.0
2019,1,1,99.0,20.5,999.0
2019,1,1,99.0,20.6,999.0
2019,1,1,99.0,20.6,999.0
2019,1,1,99.0,20.3,999.0
2019,1,1,99.0,19.9,999.0
2019,1,1,99.0,19.6,999.0
2019,1,1,99.0,19.6,999.0
2019,1,1,99.0,19.5,999.0
2019,1,1,99.0,19.4,999.0
2019,1,1,99.0,19.6,999.0
2019,1,1,99.0,19.8,999.0
2019,1,1,99.0,19.9,999.0
2019,1,1,99.0,19.9,999.0
2019,1,1,99.0,19.9,999.0
2019,1,1,99.0,19.6,999.0
2019,1,1,99.0,19.6,999.0
2019,1,1,99.0,19.4,999.0
2019,1,1,99.0,19.1,999.0
2019,1,1,99.0,19.1,999.0
2019,1,1,99.0,18.9,999.0
2019,1,1,99.0,18.9,999.0
2019,1,1,99.0,19.0,999.0
2019,1,1,99.0,19.0,999.0
2019,1,2,99.0,19.0,999.0
2019,1,2,99.0,18.8,999.0
2019,1,2,99.0,18.8,999.0
2019,1,2,99.0,18.8,999.0
2019,1,2,99.0,18.7,999.0
2019,1,2,99.0,18.7,999.0
2019,1,2,99.0,19.1,999.0
2019,1,2,99.0,19.0,999.0
2019,1,2,99.0,18.9,999.0
2019,1,2,99.0,18.8,999.0
2019,1,2,99.0,18.8,999.0
2019,1,2,99.0,18.6,999.0
2019,1,2,99.0,18.6,999.0
2019,1,2,99.0,18.5,999.0
2019,1,2,99.0,18.6,999.0
2019,1,2,99.0,18.6,999.0
2019,1,2,99.0,18.7,999.0
2019,1,2,99.0,18.6,999.0
2019,1,2,99.0,18.7,999.0
2019,1,2,99.0,18.8,999.0
2019,1,2,99.0,18.6,999.0
2019,1,2,99.0,18.2,999.0
2019,1,2,99.0,18.2,999.0
2019,1,2,99.0,18.1,999.0
2019,1,2,99.0,18.0,999.0
2019,1,2,99.0,18.0,999.0
2019,1,2,99.0,17.9,999.0
2019,1,2,99.0,17.9,999.0
2019,1,2,99.0,17.9,999.0
2019,1,2,99.0,18.0,999.0
2019,1,2,99.0,17.9,999.0
2019,1,2,99.0,17.9,999.0
2019,1,2,99.0,17.8,999.0
2019,1,2,99.0,17.9,999.0
2019,1,2,99.0,17.9,999.0
2019,1,2,99.0,17.8,999.0
2019,1,2,99.0,17.8,999.0
2019,1,2,99.0,17.9,999.0
2019,1,2,99.0,17.9,999.0
2019,1,2,99.0,18.0,999.0
2019,1,2,99.0,18.0,999.0
2019,1,2,99.0,17.9,999.0
2019,1,2,99.0,17.9,999.0
2019,1,2,99.0,17.8,999.0
2019,1,2,99.0,17.8,999.0
2019,1,2,99.0,17.8,999.0
2019,1,2,99.0,17.6,999.0
2019,1,2,99.0,17.7,999.0
2019,1,2,99.0,17.6,999.0
2019,1,2,99.0,17.6,999.0
2019,1,2,99.0,17.4,999.0
2019,1,2,99.0,17.4,999.0
2019,1,2,99.0,17.4,999.0
2019,1,3,99.0,17.4,999.0
2019,1,4,99.0,12.5,999.0
2019,1,4,99.0,12.5,999.0
2019,1,4,99.0,12.7,999.0
2019,1,4,99.0,12.9,999.0
2019,1,4,99.0,12.8,999.0
2019,1,4,99.0,12.9,999.0
2019,1,4,99.0,12.8,999.0
2019,1,4,99.0,13.1,999.0
2019,1,4,99.0,12.9,999.0
2019,1,4,99.0,13.1,999.0
2019,1,4,99.0,13.0,999.0
2019,1,4,99.0,13.0,999.0
2019,1,4,99.0,13.0,999.0
2019,1,4,99.0,13.1,999.0
2019,1,4,99.0,13.3,999.0
2019,1,4,99.0,13.0,999.0
2019,1,4,99.0,13.4,999.0
2019,1,4,99.0,13.3,999.0
2019,1,4,99.0,13.5,999.0
2019,1,4,99.0,13.5,999.0
2019,1,4,99.0,13.5,999.0
2019,1,4,99.0,13.6,999.0
2019,1,4,99.0,13.6,999.0
2019,1,4,99.0,13.4,999.0
2019,1,4,99.0,13.7,999.0
2019,1,4,99.0,13.7,999.0
2019,1,4,99.0,13.9,999.0
2019,1,4,99.0,13.8,999.0
2019,1,4,99.0,13.7,999.0
2019,1,4,99.0,13.9,999.0
2019,1,4,99.0,14.1,999.0
2019,1,4,99.0,13.8,999.0
2019,1,4,99.0,14.0,999.0
2019,1,4,99.0,14.3,999.0
2019,1,4,99.0,13.9,999.0
2019,1,4,99.0,13.8,999.0
2019,1,4,99.0,13.8,999.0
2019,1,4,99.0,13.6,999.0
2019,1,4,99.0,13.8,999.0
2019,1,4,99.0,13.7,999.0
2019,1,4,99.0,13.6,999.0
2019,1,4,99.0,13.9,999.0
2019,1,4,99.0,13.7,999.0
2019,1,4,99.0,13.9,999.0
2019,1,4,99.0,13.9,999.0
2019,1,4,99.0,14.0,999.0
2019,1,4,99.0,13.9,999.0
2019,1,4,99.0,14.0,999.0
2019,1,4,99.0,14.0,999.0
2019,1,4,99.0,13.9,999.0
2019,1,4,99.0,14.1,999.0
2019,1,4,99.0,14.0,999.0
2019,1,4,99.0,14.1,999.0
2019,1,4,99.0,14.1,999.0
2019,1,4,99.0,14.2,999.0
2019,1,4,99.0,14.3,999.0
2019,1,4,99.0,14.4,999.0
2019,1,4,99.0,14.3,999.0
2019,1,4,99.0,14.5,999.0
2019,1,4,99.0,14.3,999.0
2019,1,4,99.0,14.3,999.0
2019,1,4,99.0,14.3,999.0
2019,1,4,99.0,14.3,999.0
2019,1,4,99.0,14.3,999.0
2019,1,4,99.0,14.4,999.0
2019,1,4,99.0,14.5,999.0
2019,1,4,99.0,14.4,999.0
2019,1,4,99.0,14.3,999.0
2019,1,4,99.0,14.2,999.0
2019,1,4,99.0,14.1,999.0
2019,1,5,99.0,14.0,999.0
2019,1,5,99.0,14.1,999.0
2019,1,5,99.0,13.8,999.0
2019,1,5,99.0,13.7,999.0
2019,1,5,99.0,13.6,999.0
2019,1,5,99.0,13.5,999.0
2019,1,5,99.0,13.5,999.0
2019,1,5,99.0,13.4,999.0
2019,1,5,99.0,13.3,999.0
2019,1,5,99.0,13.0,999.0
2019,1,5,99.0,13.0,999.0
2019,1,5,99.0,12.8,999.0
2019,1,5,99.0,12.8,999.0
2019,1,5,99.0,12.8,999.0
2019,1,5,99.0,12.7,999.0
2019,1,5,99.0,12.5,999.0
2019,1,5,99.0,12.3,999.0
2019,1,5,99.0,12.3,999.0
2019,1,5,99.0,12.2,999.0
2019,1,5,99.0,12.1,999.0
2019,1,5,99.0,11.8,999.0
2019,1,5,99.0,11.8,999.0
2019,1,5,99.0,11.7,999.0
2019,1,5,99.0,11.6,999.0
2019,1,5,99.0,11.5,999.0
2019,1,5,99.0,11.5,999.0
2019,1,5,99.0,11.5,999.0
2019,1,5,99.0,11.4,999.0
2019,1,5,99.0,11.1,999.0
2019,1,5,99.0,11.1,999.0
2019,1,5,99.0,11.0,999.0
2019,1,5,99.0,10.7,999.0
2019,1,5,99.0,10.6,999.0
2019,1,5,99.0,10.8,999.0
2019,1,5,99.0,10.6,999.0
2019,1,5,99.0,10.4,999.0
2019,1,5,99.0,10.3,999.0
2019,1,5,99.0,10.4,999.0
2019,1,5,99.0,10.5,999.0
2019,1,5,99.0,10.3,999.0
2019,1,5,99.0,10.2,999.0
2019,1,5,99.0,8.9,999.0
2019,1,5,99.0,8.9,999.0
2019,1,5,99.0,8.9,999.0
2019,1,5,99.0,9.0,999.0
2019,1,5,99.0,9.0,999.0
2019,1,5,99.0,9.1,999.0
2019,1,5,99.0,9.1,999.0
2019,1,5,99.0,9.1,999.0
2019,1,5,99.0,9.2,999.0
2019,1,5,99.0,9.1,999.0
2019,1,5,99.0,9.0,999.0
2019,1,5,99.0,9.1,999.0
2019,1,5,99.0,9.2,999.0
2019,1,5,99.0,9.1,999.0
2019,1,5,99.0,9.2,999.0
2019,1,5,99.0,9.3,999.0
2019,1,5,99.0,9.2,999.0
2019,1,5,99.0,9.4,999.0
2019,1,5,99.0,9.8,999.0
2019,1,5,99.0,9.4,999.0
2019,1,5,99.0,9.8,999.0
2019,1,5,99.0,9.6,999.0
2019,1,5,99.0,9.7,999.0
2019,1,5,99.0,9.7,999.0
2019,1,5,99.0,9.9,999.0
2019,1,5,99.0,9.7,999.0
2019,1,5,99.0,10.0,999.0
2019,1,5,99.0,10.3,999.0
2019,1,5,99.0,10.8,999.0
2019,1,5,99.0,10.6,999.0
2019,1,5,99.0,10.7,999.0
2019,1,5,99.0,10.8,999.0
2019,1,5,99.0,10.6,999.0
2019,1,5,99.0,10.8,999.0
2019,1,5,99.0,10.9,999.0
2019,1,5,99.0,10.9,999.0
2019,1,5,99.0,10.7,999.0
2019,1,5,99.0,10.8,999.0
2019,1,5,99.0,10.9,999.0
2019,1,5,99.0,11.1,999.0
2019,1,5,99.0,11.5,999.0
2019,1,5,99.0,11.2,999.0
2019,1,5,99.0,11.6,999.0
2019,1,5,99.0,11.3,999.0
2019,1,5,99.0,11.6,999.0
2019,1,5,99.0,11.4,999.0
2019,1,5,99.0,11.5,999.0
2019,1,5,99.0,11.5,999.0
2019,1,5,99.0,11.5,999.0
2019,1,5,99.0,11.9,999.0
2019,1,5,99.0,11.8,999.0
2019,1,5,99.0,11.8,999.0
2019,1,5,99.0,12.4,999.0
2019,1,5,99.0,12.5,999.0
2019,1,5,99.0,12.8,999.0
2019,1,5,99.0,12.8,999.0
2019,1,5,99.0,13.1,999.0
