#YY,MM,DD,WVHT,ATMP,WTMP
2021,1,15,3.39,999.0,25.5
2021,1,15,3.13,999.0,25.5
2021,1,15,2.88,999.0,25.5
2021,1,15,2.88,999.0,25.5
2021,1,15,3.01,999.0,25.5
2021,1,15,2.87,999.0,25.5
2021,1,15,3.0,999.0,25.5
2021,1,15,3.14,999.0,25.5
2021,1,16,2.97,999.0,25.6
2021,1,16,2.94,999.0,25.5
2021,1,16,2.73,999.0,25.5
2021,1,16,2.9,999.0,25.5
2021,1,16,2.74,999.0,25.5
2021,1,16,2.69,999.0,25.5
2021,1,16,2.9,999.0,25.5
2021,1,16,2.76,999.0,25.5
2021,1,16,2.65,999.0,25.5
2021,1,16,2.67,999.0,25.5
2021,1,16,2.53,999.0,25.5
2021,1,16,2.54,999.0,25.5
2021,1,16,2.4,999.0,25.5
2021,1,16,2.45,999.0,25.5
2021,1,16,2.09,999.0,25.5
2021,1,16,2.18,999.0,25.5
2021,1,16,2.16,999.0,25.5
2021,1,16,2.35,999.0,25.5
2021,1,16,2.13,999.0,25.5
2021,1,16,2.1,999.0,25.4
2021,1,16,2.08,999.0,25.5
2021,1,16,2.21,999.0,25.4
2021,1,16,2.38,999.0,25.4
2021,1,16,2.19,999.0,25.4
2021,1,16,2.23,999.0,25.4
2021,1,16,2.15,999.0,25.4
2021,1,16,2.33,999.0,25.4
2021,1,16,2.51,999.0,25.4
2021,1,16,2.57,999.0,25.4
2021,1,16,2.64,999.0,25.4
2021,1,16,2.57,999.0,25.4
2021,1,16,3.01,999.0,25.4
2021,1,16,2.92,999.0,25.4
2021,1,16,3.01,999.0,25.4
2021,1,16,3.5,999.0,25.4
2021,1,16,3.53,999.0,25.4
2021,1,16,3.08,999.0,25.4
2021,1,16,3.41,999.0,25.4
2021,1,16,3.3,999.0,25.4
2021,1,16,4.07,999.0,25.4
2021,1,16,4.06,999.0,25.4
2021,1,16,4.27,999.0,25.4
2021,1,16,4.15,999.0,25.4
2021,1,16,5.38,999.0,25.4
2021,1,16,3.99,999.0,25.4
2021,1,16,4.51,999.0,25.4
2021,1,16,5.35,999.0,25.4
2021,1,16,4.46,999.0,25.5
2021,1,17,4.83,999.0,25.5
2021,1,17,4.7,999.0,25.5
2021,1,17,4.27,999.0,25.4
2021,1,17,4.81,999.0,25.4
2021,1,17,4.63,999.0,25.4
2021,1,17,4.46,999.0,25.4
2021,1,17,4.87,999.0,25.4
2021,1,17,4.65,999.0,25.4
2021,1,17,4.08,999.0,25.3
2021,1,17,5.22,999.0,25.3
2021,1,17,4.78,999.0,25.3
2021,1,17,4.49,999.0,25.3
2021,1,17,4.78,999.0,25.3
2021,1,17,4.39,999.0,25.3
2021,1,17,5.32,999.0,25.3
2021,1,17,4.92,999.0,25.3
2021,1,17,4.09,999.0,25.3
2021,1,17,4.34,999.0,25.3
2021,1,17,4.74,999.0,25.3
2021,1,17,4.19,999.0,25.3
2021,1,17,4.71,999.0,25.3
2021,1,17,4.11,999.0,25.2
2021,1,17,4.77,999.0,25.2
2021,1,17,3.94,999.0,25.2
2021,1,17,3.91,999.0,25.2
2021,1,17,4.25,999.0,25.2
2021,1,17,4.07,999.0,25.2
2021,1,17,4.06,999.0,25.2
2021,1,17,3.81,999.0,25.2
2021,1,17,3.71,999.0,25.3
2021,1,17,4.12,999.0,25.3
2021,1,17,4.25,999.0,25.3
2021,1,17,4.11,999.0,25.3
2021,1,17,3.91,999.0,25.3
2021,1,17,3.47,999.0,25.3
2021,1,17,3.67,999.0,25.3
2021,1,17,3.94,999.0,25.3
2021,1,17,3.57,999.0,25.3
2021,1,17,3.7,999.0,25.4
2021,1,17,3.33,999.0,25.5
2021,1,17,3.49,999.0,25.6
2021,1,17,3.22,999.0,25.7
2021,1,17,3.21,999.0,25.9
2021,1,17,3.25,999.0,25.9
2021,1,17,3.44,999.0,25.9
2021,1,17,2.82,999.0,25.8
2021,1,17,2.99,999.0,25.8
2021,1,17,2.65,999.0,25.6
2021,1,18,2.68,999.0,25.5
2021,1,18,2.82,999.0,25.5
2021,1,18,2.67,999.0,25.5
2021,1,18,2.87,999.0,25.4
2021,1,18,2.66,999.0,25.4
2021,1,18,2.64,999.0,25.4
2021,1,18,2.35,999.0,25.4
2021,1,18,2.47,999.0,25.4
2021,1,18,2.33,999.0,25.5
2021,1,18,2.19,999.0,25.4
2021,1,18,2.43,999.0,25.5
2021,1,18,2.28,999.0,25.5
2021,1,18,2.28,999.0,25.4
2021,1,18,2.02,999.0,25.4
2021,1,18,2.33,999.0,25.4
2021,1,18,2.01,999.0,25.4
2021,1,18,2.12,999.0,25.4
2021,1,18,2.22,999.0,25.4
2021,1,18,2.18,999.0,25.4
2021,1,18,2.16,999.0,25.4
2021,1,18,1.95,999.0,25.4
2021,1,18,2.16,999.0,25.3
2021,1,18,2.08,999.0,25.4
2021,1,18,2.3,999.0,25.4
2021,1,18,2.67,999.0,25.4
2021,1,18,2.96,999.0,25.4
2021,1,18,3.27,999.0,25.4
2021,1,18,2.92,999.0,25.3
2021,1,18,2.81,999.0,25.3
2021,1,18,2.92,999.0,25.3
2021,1,18,3.37,999.0,25.3
2021,1,18,3.06,999.0,25.3
2021,1,18,3.15,999.0,25.3
2021,1,18,3.18,999.0,25.3
2021,1,18,3.04,999.0,25.3
2021,1,18,2.99,999.0,25.3
2021,1,18,3.05,999.0,25.3
2021,1,18,2.85,999.0,25.3
2021,1,18,2.87,999.0,25.3
2021,1,18,3.06,999.0,25.3
2021,1,18,3.09,999.0,25.3
2021,1,18,3.09,999.0,25.3
2021,1,18,3.03,999.0,25.3
2021,1,18,3.26,999.0,25.2
2021,1,18,3.15,999.0,25.3
2021,1,18,3.35,999.0,25.3
2021,1,18,3.31,999.0,25.3
2021,1,18,3.29,999.0,25.3
2021,1,19,3.61,999.0,25.3
2021,1,19,3.89,999.0,25.3
2021,1,19,4.08,999.0,25.3
2021,1,19,3.92,999.0,25.2
2021,1,19,4.26,999.0,25.2
2021,1,19,4.25,999.0,25.1
2021,1,19,4.18,999.0,25.1
2021,1,19,4.31,999.0,25.1
2021,1,19,4.16,999.0,25.1
2021,1,19,4.17,999.0,25.2
2021,1,19,4.35,999.0,25.2
2021,1,19,4.42,999.0,25.2
2021,1,19,4.42,999.0,25.2
2021,1,19,4.6,999.0,25.2
2021,1,19,4.5,999.0,25.2
2021,1,19,4.5,999.0,25.2
2021,1,19,4.91,999.0,25.2
2021,1,19,4.19,999.0,25.2
2021,1,19,4.5,999.0,25.2
2021,1,19,4.28,999.0,25.2
2021,1,19,4.84,999.0,25.2
2021,1,19,4.45,999.0,25.2
2021,1,19,4.26,999.0,25.2
2021,1,19,4.27,999.0,25.2
2021,1,19,4.24,999.0,25.2
2021,1,19,4.06,999.0,25.2
2021,1,19,3.87,999.0,25.2
2021,1,19,4.02,999.0,25.2
2021,1,19,4.09,999.0,25.2
2021,1,19,3.93,999.0,25.2
2021,1,19,4.03,999.0,25.2
2021,1,19,3.83,999.0,25.2
2021,1,19,3.51,999.0,25.2
2021,1,19,3.99,999.0,25.2
2021,1,19,4.26,999.0,25.2
2021,1,19,3.62,999.0,25.3
2021,1,19,3.75,999.0,25.2
2021,1,19,3.93,999.0,25.2
2021,1,19,3.79,999.0,25.2
2021,1,19,3.94,999.0,25.2
2021,1,19,3.99,999.0,25.2
2021,1,19,3.84,999.0,25.2
2021,1,19,3.64,999.0,25.2
2021,1,19,3.77,999.0,25.2
2021,1,19,3.68,999.0,25.3
2021,1,19,3.76,999.0,25.3
2021,1,19,3.49,999.0,25.3
2021,1,19,3.57,999.0,25.3
2021,1,20,3.58,999.0,25.3
2021,1,20,3.74,999.0,25.3
2021,1,20,3.31,999.0,25.3
2021,1,20,3.64,999.0,25.3
2021,1,20,3.07,999.0,25.3
2021,1,20,3.48,999.0,25.3
2021,1,20,3.22,999.0,25.3
2021,1,20,3.3,999.0,25.3
2021,1,20,3.54,999.0,25.3
2021,1,20,3.23,999.0,25.3
2021,1,20,3.3,999.0,25.2
2021,1,20,3.35,999.0,25.3
2021,1,20,3.21,999.0,25.2
2021,1,20,3.09,999.0,25.2
2021,1,20,3.1,999.0,25.2
2021,1,20,3.25,999.0,25.2
2021,1,20,3.18,999.0,25.2
2021,1,20,3.28,999.0,25.2
2021,1,20,3.39,999.0,25.2
2021,1,20,3.2,999.0,25.2
2021,1,20,3.2,999.0,25.2
2021,1,20,3.25,999.0,25.2
2021,1,20,3.16,999.0,25.2
2021,1,20,3.3,999.0,25.2
2021,1,20,2.94,999.0,25.2
2021,1,20,2.91,999.0,25.3
2021,1,20,3.06,999.0,25.3
2021,1,20,2.94,999.0,25.3
2021,1,20,2.84,999.0,25.3
2021,1,20,2.84,999.0,25.2
2021,1,20,2.84,999.0,25.2
2021,1,20,2.73,999.0,25.2
2021,1,20,3.15,999.0,25.2
2021,1,20,2.96,999.0,25.2
2021,1,20,2.89,999.0,25.2
2021,1,20,2.87,999.0,25.3
2021,1,20,2.91,999.0,25.3
2021,1,20,2.48,999.0,25.3
2021,1,20,2.65,999.0,25.3
2021,1,20,2.69,999.0,25.3
2021,1,20,2.77,999.0,25.3
2021,1,20,2.79,999.0,25.3
2021,1,20,2.49,999.0,25.3
2021,1,20,2.71,999.0,25.3
2021,1,20,2.46,999.0,25.3
2021,1,20,2.57,999.0,25.4
2021,1,20,2.45,999.0,25.4
2021,1,20,2.55,999.0,25.4
2021,1,21,2.58,999.0,25.4
2021,1,21,2.58,999.0,25.4
2021,1,21,2.55,999.0,25.4
2021,1,21,2.67,999.0,25.4
2021,1,21,2.61,999.0,25.4
2021,1,21,2.46,999.0,25.4
2021,1,21,2.57,999.0,25.4
2021,1,21,2.58,999.0,25.3
2021,1,21,2.54,999.0,25.3
2021,1,21,2.7,999.0,25.3
2021,1,21,2.54,999.0,25.3
2021,1,21,2.43,999.0,25.3
2021,1,21,2.6,999.0,25.3
2021,1,21,2.48,999.0,25.3
2021,1,21,2.33,999.0,25.3
2021,1,21,2.34,999.0,25.3
2021,1,21,2.37,999.0,25.3
2021,1,21,2.35,999.0,25.3
2021,1,21,2.19,999.0,25.3
2021,1,21,2.35,999.0,25.3
2021,1,21,2.18,999.0,25.3
2021,1,21,2.22,999.0,25.3
2021,1,21,2.19,999.0,25.3
2021,1,21,2.06,999.0,25.3
2021,1,21,1.94,999.0,25.3
2021,1,21,1.95,999.0,25.3
2021,1,21,1.97,999.0,25.3
2021,1,21,2.07,999.0,25.3
2021,1,21,2.05,999.0,25.3
2021,1,21,1.97,999.0,25.3
2021,1,21,2.21,999.0,25.3
2021,1,21,2.19,999.0,25.3
2021,1,21,2.15,999.0,25.3
2021,1,21,2.0,999.0,25.3
2021,1,21,2.09,999.0,25.3
2021,1,21,2.04,999.0,25.3
2021,1,21,2.04,999.0,25.3
2021,1,21,2.07,999.0,25.3
2021,1,21,2.14,999.0,25.3
2021,1,21,2.29,999.0,25.3
2021,1,21,2.16,999.0,25.3
2021,1,21,2.23,999.0,25.3
2021,1,21,2.22,999.0,25.3
2021,1,21,2.33,999.0,25.4
2021,1,21,2.27,999.0,25.3
2021,1,21,2.16,999.0,25.3
2021,1,21,2.33,999.0,25.3
2021,1,21,2.28,999.0,25.3
2021,1,22,2.43,999.0,25.3
2021,1,22,2.33,999.0,25.3
2021,1,22,2.43,999.0,25.3
2021,1,22,2.43,999.0,25.3
2021,1,22,2.43,999.0,25.3
2021,1,22,2.3,999.0,25.3
2021,1,22,2.44,999.0,25.3
2021,1,22,2.53,999.0,25.3
2021,1,22,2.42,999.0,25.3
2021,1,22,2.41,999.0,25.2
2021,1,22,2.47,999.0,25.2
2021,1,22,2.42,999.0,25.2
2021,1,22,2.36,999.0,25.2
2021,1,22,2.48,999.0,25.2
2021,1,22,2.25,999.0,25.2
2021,1,22,2.49,999.0,25.2
2021,1,22,2.49,999.0,25.2
2021,1,22,2.48,999.0,25.2
2021,1,22,2.27,999.0,25.2
2021,1,22,2.26,999.0,25.2
2021,1,22,2.19,999.0,25.2
2021,1,22,2.21,999.0,25.2
2021,1,22,2.14,999.0,25.2
2021,1,22,2.21,999.0,25.2
2021,1,22,2.26,999.0,25.2
2021,1,22,2.25,999.0,25.2
2021,1,22,2.26,999.0,25.2
2021,1,22,2.21,999.0,25.2
2021,1,22,2.08,999.0,25.2
2021,1,22,2.04,999.0,25.2
2021,1,22,2.11,999.0,25.2
2021,1,22,2.05,999.0,25.2
2021,1,22,2.33,999.0,25.2
2021,1,22,2.1,999.0,25.2
2021,1,22,2.28,999.0,25.2
2021,1,22,2.29,999.0,25.2
2021,1,22,2.29,999.0,25.2
2021,1,22,2.46,999.0,25.2
2021,1,22,2.35,999.0,25.2
2021,1,22,2.26,999.0,25.2
2021,1,22,2.24,999.0,25.2
2021,1,22,2.32,999.0,25.2
2021,1,22,2.3,999.0,25.2
2021,1,22,2.32,999.0,25.2
2021,1,22,2.37,999.0,25.2
2021,1,22,2.52,999.0,25.2
2021,1,22,2.44,999.0,25.2
2021,1,22,2.32,999.0,25.2
2021,1,23,2.38,999.0,25.2
2021,1,23,2.25,999.0,25.2
2021,1,23,2.32,999.0,25.2
2021,1,23,2.37,999.0,25.2
2021,1,23,2.29,999.0,25.2
2021,1,23,2.47,999.0,25.2
2021,1,23,2.31,999.0,25.2
2021,1,23,2.37,999.0,25.2
2021,1,23,2.41,999.0,25.2
2021,1,23,2.24,999.0,25.2
2021,1,23,2.43,999.0,25.2
2021,1,23,2.36,999.0,25.2
2021,1,23,2.38,999.0,25.2
2021,1,23,2.4,999.0,25.2
2021,1,23,2.53,999.0,25.2
2021,1,23,2.31,999.0,25.2
2021,1,23,2.3,999.0,25.2
2021,1,23,2.41,999.0,25.2
2021,1,23,2.5,999.0,25.2
2021,1,23,2.54,999.0,25.2
2021,1,23,2.47,999.0,25.2
2021,1,23,2.41,999.0,25.2
2021,1,23,2.6,999.0,25.2
2021,1,23,2.59,999.0,25.2
2021,1,23,2.61,999.0,25.2
2021,1,23,2.88,999.0,25.2
2021,1,23,2.68,999.0,25.2
2021,1,23,2.8,999.0,25.2
2021,1,23,2.82,999.0,25.2
2021,1,23,2.87,999.0,25.2
2021,1,23,3.18,999.0,25.2
