#YY,MM,DD,WVHT,ATMP,WTMP
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.21,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.2,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.19,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.18,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.19,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.23,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.23,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.19,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.19,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.19,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.2,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.18,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.18,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.18,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.25,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,0.37,999.0,999.0
2020,1,1,99.0,999.0,999.0
2020,1,1,99.0,999.0,999.0
