#YY,MM,DD,WVHT,ATMP,WTMP
2020,1,1,99.0,15.8,22.4
2020,1,1,99.0,15.9,22.4
2020,1,1,99.0,15.9,22.4
2020,1,1,99.0,16.0,22.4
2020,1,1,0.6,16.0,22.4
2020,1,1,99.0,16.0,22.4
2020,1,1,99.0,16.0,22.4
2020,1,1,99.0,16.0,22.4
2020,1,1,99.0,16.1,22.4
2020,1,1,99.0,16.1,22.4
2020,1,1,0.59,16.1,22.4
2020,1,1,99.0,16.1,22.4
2020,1,1,99.0,16.1,22.5
2020,1,1,99.0,16.1,22.5
2020,1,1,99.0,16.2,22.5
2020,1,1,99.0,16.1,22.5
2020,1,1,0.57,16.2,22.5
2020,1,1,99.0,16.2,22.5
2020,1,1,99.0,16.3,22.5
2020,1,1,99.0,16.3,22.5
2020,1,1,99.0,16.4,22.5
2020,1,1,99.0,16.3,22.5
2020,1,1,0.51,16.3,22.5
2020,1,1,99.0,16.4,22.5
2020,1,1,99.0,16.5,22.5
2020,1,1,99.0,16.5,22.5
2020,1,1,99.0,16.5,22.5
2020,1,1,99.0,16.5,22.5
2020,1,1,0.57,16.6,22.5
2020,1,1,99.0,16.6,22.5
2020,1,1,99.0,16.6,22.5
2020,1,1,99.0,16.5,22.5
2020,1,1,99.0,16.6,22.5
2020,1,1,99.0,16.8,22.5
2020,1,1,0.47,16.8,22.5
2020,1,1,99.0,16.8,22.5
2020,1,1,99.0,16.9,22.5
2020,1,1,99.0,16.9,22.5
2020,1,1,99.0,16.9,22.5
2020,1,1,99.0,16.9,22.5
2020,1,1,0.46,17.0,22.5
2020,1,1,99.0,16.9,22.5
2020,1,1,99.0,17.0,22.5
2020,1,1,99.0,17.1,22.5
2020,1,1,99.0,17.2,22.5
2020,1,1,99.0,17.2,22.5
2020,1,1,0.5,17.3,22.5
2020,1,1,99.0,17.3,22.5
2020,1,1,99.0,17.3,22.5
2020,1,1,99.0,17.3,22.5
2020,1,1,99.0,17.4,22.5
2020,1,1,99.0,17.5,22.5
2020,1,1,0.46,17.6,22.5
2020,1,1,99.0,17.6,22.5
2020,1,1,99.0,17.6,22.5
2020,1,1,99.0,17.6,22.5
2020,1,1,99.0,17.7,22.5
2020,1,1,99.0,17.8,22.5
2020,1,1,0.47,17.8,22.5
2020,1,1,99.0,17.9,22.5
2020,1,1,99.0,17.9,22.5
2020,1,1,99.0,18.0,22.5
2020,1,1,99.0,17.9,22.5
2020,1,1,99.0,18.1,22.5
2020,1,1,0.48,18.1,22.5
2020,1,1,99.0,18.1,22.5
2020,1,1,99.0,18.2,22.5
2020,1,1,99.0,18.2,22.4
2020,1,1,99.0,18.2,22.4
2020,1,1,99.0,18.3,22.4
2020,1,1,0.52,18.3,22.4
2020,1,1,99.0,18.3,22.4
2020,1,1,99.0,18.5,22.4
2020,1,1,99.0,18.5,22.4
2020,1,1,99.0,18.5,22.4
2020,1,1,99.0,18.6,22.4
2020,1,1,0.63,18.6,22.4
2020,1,1,99.0,18.6,22.4
2020,1,1,99.0,18.7,22.4
2020,1,1,99.0,18.8,22.4
2020,1,1,99.0,18.8,22.4
2020,1,1,99.0,18.9,22.4
2020,1,1,0.71,19.0,22.4
2020,1,1,99.0,19.0,22.4
2020,1,1,99.0,19.1,22.3
2020,1,1,99.0,19.2,22.3
2020,1,1,99.0,19.2,22.3
2020,1,1,99.0,19.2,22.3
2020,1,1,0.86,19.3,22.3
2020,1,1,99.0,19.4,22.3
2020,1,1,99.0,19.5,22.3
2020,1,1,99.0,19.5,22.3
2020,1,1,99.0,19.6,22.2
2020,1,1,99.0,19.7,22.2
2020,1,1,0.99,19.7,22.2
2020,1,1,99.0,19.8,22.2
2020,1,1,99.0,19.6,22.2
2020,1,1,99.0,19.7,22.2
2020,1,1,99.0,19.8,22.2
2020,1,1,99.0,19.8,22.1
2020,1,1,1.1,20.0,22.1
2020,1,1,99.0,20.0,22.1
2020,1,1,99.0,20.1,22.1
2020,1,1,99.0,20.1,22.0
2020,1,1,99.0,20.0,22.0
2020,1,1,99.0,20.0,22.0
2020,1,1,1.31,20.1,22.0
2020,1,1,99.0,20.0,22.0
2020,1,1,99.0,20.1,22.0
2020,1,1,99.0,20.2,22.0
2020,1,1,99.0,20.1,22.0
2020,1,1,99.0,20.2,21.9
2020,1,1,1.26,20.2,21.9
2020,1,1,99.0,20.3,21.8
2020,1,1,99.0,20.4,21.8
2020,1,1,99.0,20.5,21.8
2020,1,1,99.0,20.5,21.8
2020,1,1,99.0,20.6,21.8
2020,1,1,1.22,20.5,21.8
2020,1,1,99.0,20.5,21.8
2020,1,1,99.0,20.7,21.7
2020,1,1,99.0,20.7,21.7
2020,1,1,99.0,20.8,21.7
2020,1,1,99.0,20.9,21.7
2020,1,1,1.36,20.9,21.7
2020,1,1,99.0,21.0,21.7
2020,1,1,99.0,20.9,21.7
2020,1,1,99.0,21.0,21.8
2020,1,1,99.0,21.0,21.7
2020,1,1,99.0,21.1,21.7
2020,1,1,1.29,21.1,21.7
2020,1,1,99.0,21.2,21.7
2020,1,1,99.0,21.3,21.7
2020,1,1,99.0,21.3,21.8
2020,1,1,99.0,21.4,21.8
2020,1,1,99.0,21.5,21.7
2020,1,1,1.3,21.5,21.7
2020,1,1,99.0,21.5,21.7
2020,1,1,99.0,21.5,21.8
2020,1,1,99.0,21.4,21.7
2020,1,1,99.0,21.5,21.7
2020,1,1,99.0,21.5,21.8
2020,1,1,1.34,21.5,21.8
2020,1,1,99.0,21.5,21.8
2020,1,2,99.0,21.5,21.8
2020,1,2,99.0,21.4,21.8
2020,1,2,99.0,21.3,21.8
2020,1,2,99.0,21.3,21.8
2020,1,2,1.26,21.3,21.8
2020,1,2,99.0,21.3,21.9
2020,1,2,99.0,21.3,21.9
2020,1,2,99.0,21.3,21.9
2020,1,2,99.0,21.2,21.9
2020,1,2,99.0,21.1,21.9
2020,1,2,1.13,21.0,21.9
2020,1,2,99.0,20.7,21.9
2020,1,2,99.0,20.6,21.9
2020,1,2,99.0,20.4,21.9
2020,1,2,99.0,20.4,22.0
2020,1,2,99.0,20.3,21.9
