#YY,MM,DD,WVHT,ATMP,WTMP
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.1,27.2
2022,1,1,99.0,25.1,27.2
2022,1,1,99.0,25.1,27.2
2022,1,1,99.0,25.2,27.2
2022,1,1,99.0,25.1,27.2
2022,1,1,99.0,25.1,27.2
2022,1,1,99.0,25.2,27.2
2022,1,1,99.0,25.2,27.2
2022,1,1,99.0,25.3,27.2
2022,1,1,99.0,25.1,27.2
2022,1,1,99.0,25.2,27.2
2022,1,1,99.0,25.1,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,24.9,27.3
2022,1,1,99.0,24.9,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,24.9,27.2
2022,1,1,99.0,24.9,27.2
2022,1,1,99.0,24.9,27.3
2022,1,1,99.0,24.9,27.2
2022,1,1,99.0,24.8,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.1,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,24.8,27.2
2022,1,1,99.0,24.8,27.2
2022,1,1,99.0,24.9,27.2
2022,1,1,99.0,24.9,27.2
2022,1,1,99.0,24.9,27.2
2022,1,1,99.0,24.9,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,24.9,27.2
2022,1,1,99.0,24.9,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,24.9,27.2
2022,1,1,99.0,24.9,27.2
2022,1,1,99.0,24.9,27.2
2022,1,1,99.0,25.0,27.2
2022,1,1,99.0,24.9,27.1
2022,1,1,99.0,24.9,27.1
2022,1,1,99.0,24.9,27.1
2022,1,1,99.0,24.9,27.1
2022,1,1,99.0,24.9,27.0
2022,1,1,99.0,24.9,27.0
2022,1,1,99.0,24.9,27.0
2022,1,1,99.0,24.9,27.0
2022,1,1,99.0,24.9,27.0
2022,1,1,99.0,25.0,27.0
2022,1,1,99.0,25.0,27.0
2022,1,1,99.0,25.1,26.9
2022,1,1,99.0,25.1,26.9
2022,1,1,99.0,25.2,26.9
2022,1,1,99.0,25.2,26.9
2022,1,1,99.0,25.2,26.9
2022,1,1,99.0,25.2,26.9
2022,1,1,99.0,25.3,26.9
2022,1,1,99.0,25.2,26.9
2022,1,1,99.0,25.2,26.8
2022,1,1,99.0,25.1,26.8
2022,1,1,99.0,25.1,26.8
2022,1,1,99.0,25.1,26.9
2022,1,1,99.0,25.1,26.9
2022,1,1,99.0,25.1,26.9
2022,1,1,99.0,25.2,26.8
2022,1,1,99.0,25.1,26.8
