#YY,MM,DD,WVHT,ATMP,WTMP
2019,1,1,1.67,999.0,8.7
2019,1,1,1.66,999.0,8.7
2019,1,1,1.85,999.0,8.8
2019,1,1,1.94,999.0,8.8
2019,1,1,1.98,999.0,8.8
2019,1,1,1.96,999.0,8.8
2019,1,1,1.99,999.0,8.8
2019,1,1,2.02,999.0,8.8
2019,1,1,2.02,999.0,8.9
2019,1,1,1.9,999.0,8.9
2019,1,1,1.87,999.0,8.9
2019,1,1,1.75,999.0,8.9
2019,1,1,2.04,999.0,8.9
2019,1,1,1.9,999.0,9.0
2019,1,1,1.91,999.0,9.0
2019,1,1,2.01,999.0,9.0
2019,1,1,2.09,999.0,9.0
2019,1,1,2.11,999.0,9.0
2019,1,1,2.28,999.0,9.0
2019,1,1,2.19,999.0,9.0
2019,1,1,2.37,999.0,9.0
2019,1,1,2.31,999.0,9.0
2019,1,1,2.19,999.0,8.9
2019,1,1,2.28,999.0,8.9
2019,1,1,2.38,999.0,8.9
2019,1,1,2.39,999.0,8.9
2019,1,1,2.13,999.0,8.9
2019,1,1,2.09,999.0,8.9
2019,1,1,2.24,999.0,8.9
2019,1,1,2.03,999.0,8.9
2019,1,1,2.05,999.0,8.9
2019,1,1,2.16,999.0,8.9
2019,1,1,2.0,999.0,8.9
2019,1,1,2.03,999.0,8.9
2019,1,1,1.97,999.0,8.9
2019,1,1,2.07,999.0,8.8
2019,1,1,2.08,999.0,8.8
2019,1,1,2.21,999.0,8.8
2019,1,1,2.06,999.0,8.8
2019,1,1,2.05,999.0,8.8
2019,1,1,2.01,999.0,8.8
2019,1,1,1.93,999.0,8.7
2019,1,1,1.89,999.0,8.7
2019,1,1,1.93,999.0,8.7
2019,1,1,1.69,999.0,8.7
2019,1,1,1.9,999.0,8.7
2019,1,1,2.01,999.0,8.7
2019,1,1,1.93,999.0,8.7
2019,1,2,1.78,999.0,8.7
2019,1,2,1.78,999.0,8.7
2019,1,2,1.81,999.0,8.7
2019,1,2,1.51,999.0,8.7
2019,1,2,1.65,999.0,8.7
2019,1,2,1.55,999.0,8.7
2019,1,2,1.45,999.0,8.6
2019,1,2,1.46,999.0,8.6
2019,1,2,1.37,999.0,8.6
2019,1,2,1.32,999.0,8.6
2019,1,2,1.21,999.0,8.6
2019,1,2,1.33,999.0,8.6
2019,1,2,1.3,999.0,8.6
2019,1,2,1.2,999.0,8.6
2019,1,2,1.28,999.0,8.6
2019,1,2,1.31,999.0,8.6
2019,1,2,1.22,999.0,8.6
2019,1,2,1.16,999.0,8.6
2019,1,2,1.09,999.0,8.6
2019,1,2,1.16,999.0,8.6
2019,1,2,1.16,999.0,8.6
2019,1,2,1.14,999.0,8.6
2019,1,2,1.12,999.0,8.6
2019,1,2,1.11,999.0,8.6
2019,1,2,1.18,999.0,8.6
2019,1,2,0.71,999.0,8.7
2019,1,2,0.7,999.0,8.7
2019,1,2,0.72,999.0,8.7
2019,1,2,0.71,999.0,8.7
2019,1,2,0.67,999.0,8.7
2019,1,2,0.65,999.0,8.7
2019,1,3,0.64,999.0,8.7
2019,1,3,0.63,999.0,8.7
2019,1,3,0.59,999.0,8.6
2019,1,3,0.63,999.0,8.6
2019,1,3,0.63,999.0,8.6
