#YY,MM,DD,WVHT,ATMP,WTMP
2023,1,1,99.0,21.3,20.6
2023,1,1,0.81,21.4,20.7
2023,1,1,99.0,21.4,20.7
2023,1,1,99.0,21.4,20.7
2023,1,1,0.87,21.4,20.7
2023,1,1,99.0,21.3,20.7
2023,1,1,99.0,21.3,20.7
2023,1,1,0.87,21.3,20.7
2023,1,1,99.0,21.3,20.7
2023,1,1,99.0,21.3,20.8
2023,1,1,0.86,21.3,20.8
2023,1,1,99.0,21.3,20.8
2023,1,1,99.0,21.3,20.9
2023,1,1,0.83,21.3,20.9
2023,1,1,99.0,21.3,20.9
2023,1,1,99.0,21.3,21.0
2023,1,1,0.89,21.3,21.0
2023,1,1,99.0,21.2,21.1
2023,1,1,99.0,21.3,21.1
2023,1,1,0.84,21.3,21.1
2023,1,1,99.0,21.3,21.1
2023,1,1,99.0,21.2,21.1
2023,1,1,0.79,21.2,21.2
2023,1,1,99.0,21.1,21.2
2023,1,1,99.0,21.1,21.2
2023,1,1,0.84,21.0,21.4
2023,1,1,99.0,21.0,21.4
2023,1,1,99.0,21.0,21.4
2023,1,1,0.84,20.9,21.4
2023,1,1,99.0,20.9,21.4
2023,1,1,99.0,20.9,21.4
2023,1,1,0.82,20.9,21.4
2023,1,1,99.0,20.9,21.4
2023,1,1,99.0,20.9,21.6
2023,1,1,0.79,20.9,22.2
2023,1,1,99.0,20.9,22.5
2023,1,1,99.0,20.9,22.5
2023,1,1,0.71,20.9,22.5
2023,1,1,99.0,20.9,22.6
2023,1,1,99.0,21.0,22.6
2023,1,1,0.74,20.9,22.6
2023,1,1,99.0,20.6,22.6
2023,1,1,99.0,20.2,22.5
2023,1,1,0.75,20.0,22.6
2023,1,1,99.0,19.9,22.6
2023,1,1,99.0,19.8,22.7
2023,1,1,0.74,19.8,22.7
2023,1,1,99.0,19.8,22.8
2023,1,1,99.0,19.9,22.8
2023,1,1,0.69,20.0,22.8
2023,1,1,99.0,20.0,22.9
2023,1,1,99.0,20.0,22.9
2023,1,1,0.74,20.1,22.9
2023,1,1,99.0,20.1,22.9
2023,1,1,99.0,20.2,999.0
2023,1,1,0.73,20.3,22.9
2023,1,1,99.0,20.4,22.9
2023,1,1,99.0,20.4,22.9
2023,1,1,0.75,20.5,22.9
2023,1,1,99.0,20.7,22.9
2023,1,1,99.0,20.8,22.8
2023,1,1,0.72,21.0,22.8
2023,1,1,99.0,21.2,22.8
2023,1,1,99.0,21.2,22.8
2023,1,1,0.68,21.3,22.8
2023,1,1,99.0,21.4,22.8
2023,1,1,99.0,21.5,22.8
2023,1,1,0.71,21.5,22.8
2023,1,1,99.0,21.2,22.8
2023,1,1,99.0,20.9,22.7
2023,1,1,0.65,21.0,22.7
2023,1,1,99.0,21.1,22.7
2023,1,1,99.0,21.3,22.7
2023,1,1,0.7,21.4,22.7
2023,1,1,99.0,21.5,22.7
2023,1,1,99.0,21.6,22.7
2023,1,1,0.72,21.7,22.7
2023,1,1,99.0,21.7,22.7
2023,1,1,99.0,21.8,22.7
2023,1,1,0.66,21.8,22.7
2023,1,1,99.0,21.9,22.7
2023,1,1,99.0,21.9,22.7
2023,1,1,0.69,22.0,22.7
2023,1,1,99.0,22.0,22.7
2023,1,1,99.0,21.9,22.7
2023,1,1,0.66,22.0,22.7
2023,1,1,99.0,22.0,22.7
2023,1,1,99.0,22.0,22.7
2023,1,1,0.61,22.1,22.7
2023,1,1,99.0,22.1,22.6
2023,1,1,99.0,22.3,22.6
2023,1,1,0.64,22.3,22.6
2023,1,1,99.0,22.4,22.6
2023,1,1,99.0,22.5,22.6
2023,1,1,0.67,22.6,22.6
2023,1,1,99.0,22.7,22.6
2023,1,1,99.0,22.7,22.7
2023,1,1,0.58,22.8,22.7
2023,1,1,99.0,22.9,22.7
2023,1,1,99.0,23.0,22.7
2023,1,1,0.64,23.1,22.7
2023,1,1,99.0,23.1,22.7
2023,1,1,99.0,23.1,22.8
2023,1,1,0.59,23.1,22.8
2023,1,1,99.0,23.1,22.8
2023,1,1,99.0,23.0,22.8
2023,1,1,0.58,23.0,22.8
2023,1,1,99.0,23.0,22.7
2023,1,1,99.0,22.9,22.7
2023,1,1,0.56,23.0,22.7
2023,1,1,99.0,23.0,22.7
2023,1,1,99.0,23.0,22.7
2023,1,1,0.6,23.0,22.7
2023,1,1,99.0,23.1,22.7
2023,1,1,99.0,23.1,22.7
2023,1,1,0.62,23.2,22.7
2023,1,1,99.0,23.3,22.7
2023,1,1,99.0,23.3,22.7
2023,1,1,0.59,23.3,22.7
2023,1,1,99.0,23.3,22.4
2023,1,1,99.0,23.4,22.3
2023,1,1,0.57,23.4,22.0
2023,1,1,99.0,23.5,22.0
2023,1,1,99.0,23.5,22.1
2023,1,1,0.5,23.5,22.2
2023,1,1,99.0,23.4,22.1
2023,1,1,99.0,23.2,22.2
2023,1,1,0.52,23.1,22.1
2023,1,1,99.0,23.1,22.1
2023,1,1,99.0,23.1,22.1
2023,1,1,0.54,23.0,22.0
2023,1,1,99.0,22.9,21.8
2023,1,1,99.0,22.8,21.6
2023,1,1,0.5,22.8,21.5
2023,1,1,99.0,22.8,21.4
2023,1,1,99.0,22.9,21.2
2023,1,1,0.53,22.9,21.3
2023,1,1,99.0,23.1,21.3
2023,1,1,99.0,23.0,21.2
2023,1,1,0.53,23.3,21.1
2023,1,1,99.0,23.1,21.0
2023,1,1,99.0,22.8,21.0
2023,1,1,0.51,22.8,20.9
2023,1,1,99.0,999.0,20.9
2023,1,2,99.0,22.7,20.9
2023,1,2,0.49,22.8,20.9
2023,1,2,99.0,22.8,21.0
2023,1,2,99.0,22.8,21.0
2023,1,2,0.48,22.8,21.1
2023,1,2,99.0,22.7,21.1
2023,1,2,99.0,22.7,21.1
2023,1,2,0.51,22.9,21.1
2023,1,2,99.0,23.0,21.1
2023,1,2,99.0,23.1,21.1
2023,1,2,0.48,23.0,21.0
2023,1,2,99.0,22.8,21.1
2023,1,2,99.0,23.1,21.0
2023,1,2,0.49,22.8,21.1
2023,1,2,99.0,22.8,21.1
2023,1,2,99.0,22.5,21.0
2023,1,2,0.47,22.6,21.1
2023,1,2,99.0,22.7,21.3
2023,1,2,99.0,22.5,21.1
2023,1,2,0.48,22.6,21.2
2023,1,2,99.0,22.6,21.1
2023,1,2,99.0,22.6,21.1
2023,1,2,0.5,22.4,21.2
2023,1,2,99.0,22.4,21.2
2023,1,2,99.0,22.3,21.2
2023,1,2,0.47,22.4,21.1
2023,1,2,99.0,22.4,21.1
2023,1,2,99.0,22.6,21.2
2023,1,2,0.46,22.5,21.2
2023,1,2,99.0,22.5,21.2
2023,1,2,99.0,22.5,21.1
2023,1,2,0.46,22.5,21.1
2023,1,2,99.0,22.5,21.1
2023,1,2,99.0,22.5,21.1
2023,1,2,0.5,22.5,21.1
2023,1,2,99.0,22.4,21.0
2023,1,2,99.0,22.5,20.8
2023,1,2,0.52,22.4,21.0
2023,1,2,99.0,22.4,21.1
2023,1,2,99.0,22.6,21.4
2023,1,2,0.53,22.7,21.4
2023,1,2,99.0,22.7,21.6
2023,1,2,99.0,22.7,22.1
2023,1,2,0.55,22.7,22.2
2023,1,2,99.0,22.7,22.5
2023,1,2,99.0,22.7,22.4
2023,1,2,0.56,22.8,22.5
2023,1,2,99.0,22.9,22.6
2023,1,2,99.0,22.9,22.8
2023,1,2,0.57,22.8,22.7
2023,1,2,99.0,22.7,22.6
2023,1,2,99.0,22.6,22.5
2023,1,2,0.55,22.6,22.4
2023,1,2,99.0,22.5,22.3
2023,1,2,99.0,22.4,22.2
2023,1,2,0.59,22.5,22.2
2023,1,2,99.0,22.5,22.2
2023,1,2,99.0,22.5,22.1
2023,1,2,0.58,22.5,22.0
2023,1,2,99.0,22.4,21.8
2023,1,2,99.0,22.5,21.8
2023,1,2,0.62,22.5,21.3
2023,1,2,99.0,22.4,21.1
2023,1,2,99.0,22.4,21.1
2023,1,2,0.68,22.4,21.0
2023,1,2,99.0,22.4,20.9
2023,1,2,99.0,22.4,20.9
2023,1,2,0.69,22.4,21.1
2023,1,2,99.0,22.5,21.1
2023,1,2,99.0,22.5,21.0
2023,1,2,0.66,22.4,21.0
2023,1,2,99.0,22.5,21.0
2023,1,2,99.0,22.5,21.0
2023,1,2,0.66,22.4,21.0
2023,1,2,99.0,22.4,21.0
2023,1,2,99.0,22.4,21.0
2023,1,2,0.68,22.5,21.0
2023,1,2,99.0,22.5,20.9
2023,1,2,99.0,22.5,20.9
2023,1,2,0.65,22.6,20.9
2023,1,2,99.0,22.6,20.9
2023,1,2,99.0,22.7,20.9
2023,1,2,0.64,22.7,20.9
2023,1,2,99.0,22.8,20.9
2023,1,2,99.0,22.9,20.9
2023,1,2,0.69,23.0,20.9
2023,1,2,99.0,22.9,20.9
2023,1,2,99.0,23.0,20.9
2023,1,2,0.65,23.0,20.9
2023,1,2,99.0,23.1,20.9
2023,1,2,99.0,23.0,20.9
2023,1,2,0.73,23.0,20.9
2023,1,2,99.0,23.1,20.9
2023,1,2,99.0,23.2,20.9
2023,1,2,0.71,23.2,20.9
2023,1,2,99.0,23.2,20.9
2023,1,2,99.0,23.2,20.9
2023,1,2,0.74,23.2,20.9
2023,1,2,99.0,23.2,20.9
2023,1,2,99.0,23.2,21.0
2023,1,2,0.74,23.3,21.0
2023,1,2,99.0,23.3,21.0
2023,1,2,99.0,23.3,21.1
2023,1,2,0.73,23.3,21.1
2023,1,2,99.0,23.3,21.1
2023,1,2,99.0,23.2,21.1
2023,1,2,0.81,23.2,21.1
2023,1,2,99.0,23.3,21.1
2023,1,2,99.0,23.3,21.2
2023,1,2,0.78,23.3,21.1
2023,1,2,99.0,23.3,21.2
2023,1,2,99.0,23.3,21.2
2023,1,2,0.8,23.4,21.3
2023,1,2,99.0,23.4,21.3
2023,1,2,99.0,23.4,21.3
2023,1,2,0.84,23.4,21.3
2023,1,2,99.0,23.4,999.0
2023,1,2,99.0,23.3,21.3
2023,1,2,0.79,23.4,21.3
2023,1,2,99.0,23.4,21.4
2023,1,2,99.0,23.4,21.5
2023,1,2,0.73,23.5,21.6
2023,1,2,99.0,23.5,21.6
2023,1,2,99.0,23.4,21.7
2023,1,2,0.83,23.4,21.8
2023,1,2,99.0,23.3,21.7
2023,1,2,99.0,23.2,21.7
2023,1,2,0.81,23.2,21.7
2023,1,2,99.0,23.2,21.6
2023,1,2,99.0,23.2,21.5
2023,1,2,0.86,23.3,21.5
2023,1,2,99.0,23.3,21.4
2023,1,2,99.0,23.3,21.5
2023,1,2,0.81,23.3,21.6
2023,1,2,99.0,23.3,21.6
2023,1,2,99.0,23.3,21.6
2023,1,2,0.84,23.2,21.6
2023,1,2,99.0,23.2,21.6
2023,1,2,99.0,23.2,21.6
2023,1,2,0.8,23.2,21.6
2023,1,2,99.0,23.2,21.5
2023,1,2,99.0,23.2,21.5
2023,1,2,0.94,23.2,21.5
2023,1,2,99.0,23.3,21.5
2023,1,3,99.0,23.3,21.5
2023,1,3,0.86,23.3,21.5
2023,1,3,99.0,23.3,21.5
2023,1,3,99.0,23.3,21.5
2023,1,3,0.97,23.3,21.5
2023,1,3,99.0,23.4,21.5
2023,1,3,99.0,23.4,21.5
2023,1,3,0.96,23.4,21.6
2023,1,3,99.0,23.4,21.6
2023,1,3,99.0,23.4,21.5
2023,1,3,1.12,23.5,21.6
2023,1,3,99.0,23.5,999.0
2023,1,3,99.0,23.5,21.6
2023,1,3,1.09,23.5,21.6
2023,1,3,99.0,23.5,21.6
2023,1,3,99.0,23.5,21.6
2023,1,3,1.31,23.5,21.7
2023,1,3,99.0,23.5,21.7
2023,1,3,99.0,23.6,21.7
2023,1,3,1.37,23.5,21.7
2023,1,3,99.0,23.5,21.8
2023,1,3,99.0,23.6,21.8
2023,1,3,1.33,23.6,21.8
2023,1,3,99.0,23.6,21.7
2023,1,3,99.0,23.6,21.7
2023,1,3,1.47,23.6,21.8
2023,1,3,99.0,23.6,21.8
2023,1,3,99.0,23.6,21.8
2023,1,3,1.45,23.6,21.8
2023,1,3,99.0,23.6,21.9
2023,1,3,99.0,23.6,21.8
2023,1,3,1.4,23.6,21.8
2023,1,3,99.0,23.5,21.8
2023,1,3,99.0,23.5,21.9
2023,1,3,1.55,23.5,21.8
2023,1,3,99.0,23.6,21.7
2023,1,3,99.0,23.6,21.6
2023,1,3,1.56,23.6,21.6
2023,1,3,99.0,23.6,21.6
2023,1,3,99.0,23.6,21.6
2023,1,3,1.59,23.6,21.5
2023,1,3,99.0,23.5,21.5
2023,1,3,99.0,23.4,21.5
2023,1,3,1.57,23.5,21.5
2023,1,3,99.0,23.5,21.5
2023,1,3,99.0,23.5,999.0
2023,1,3,1.65,23.5,21.5
2023,1,3,99.0,23.5,21.6
2023,1,3,99.0,23.5,21.6
2023,1,3,1.6,23.5,21.6
2023,1,3,99.0,23.6,21.7
2023,1,3,99.0,23.6,21.7
2023,1,3,1.6,23.7,21.7
2023,1,3,99.0,23.7,21.7
2023,1,3,99.0,23.7,21.7
2023,1,3,1.62,23.7,21.7
2023,1,3,99.0,23.7,21.7
2023,1,3,99.0,23.7,21.7
2023,1,3,1.78,23.7,21.7
2023,1,3,99.0,23.7,21.8
2023,1,3,99.0,23.7,21.8
2023,1,3,1.65,23.8,21.8
2023,1,3,99.0,23.8,21.8
2023,1,3,99.0,23.8,21.8
2023,1,3,1.67,23.9,21.9
2023,1,3,99.0,23.8,21.9
2023,1,3,99.0,23.9,21.9
2023,1,3,1.66,23.9,21.9
2023,1,3,99.0,23.8,21.9
2023,1,3,99.0,23.8,21.9
2023,1,3,1.67,23.8,21.9
2023,1,3,99.0,23.8,21.9
2023,1,3,99.0,23.8,21.9
2023,1,3,1.54,23.8,21.9
2023,1,3,99.0,23.9,22.0
2023,1,3,99.0,23.9,22.0
2023,1,3,1.7,23.9,22.0
2023,1,3,99.0,23.9,22.1
2023,1,3,99.0,23.9,22.1
2023,1,3,1.64,23.9,22.1
2023,1,3,99.0,23.9,22.1
2023,1,3,99.0,24.0,22.1
2023,1,3,1.67,23.9,22.2
2023,1,3,99.0,23.9,22.2
2023,1,3,99.0,24.0,22.2
2023,1,3,1.65,24.0,22.2
2023,1,3,99.0,24.0,22.2
2023,1,3,99.0,24.0,22.2
2023,1,3,1.58,24.0,22.2
2023,1,3,99.0,24.0,22.3
2023,1,3,99.0,24.0,22.3
2023,1,3,1.63,24.0,22.3
2023,1,3,99.0,24.0,22.3
2023,1,3,99.0,24.0,22.3
2023,1,3,1.63,24.0,22.3
2023,1,3,99.0,24.0,22.3
2023,1,3,99.0,24.0,22.3
2023,1,3,1.7,24.1,22.3
2023,1,3,99.0,24.1,22.3
2023,1,3,99.0,24.1,22.3
2023,1,3,1.77,24.1,22.3
2023,1,3,99.0,24.0,22.3
2023,1,3,99.0,24.0,22.3
2023,1,3,1.85,24.0,22.3
2023,1,3,99.0,24.0,22.3
2023,1,3,99.0,24.1,22.3
2023,1,3,1.86,24.2,22.4
2023,1,3,99.0,24.2,22.4
2023,1,3,99.0,24.3,22.4
2023,1,3,1.99,24.3,22.4
2023,1,3,99.0,24.2,22.4
2023,1,3,99.0,24.4,22.4
2023,1,3,1.88,24.4,22.5
2023,1,3,99.0,24.3,22.4
2023,1,3,99.0,24.2,22.4
2023,1,3,1.79,24.3,22.4
2023,1,3,99.0,24.3,22.4
2023,1,3,99.0,24.3,22.4
2023,1,3,2.0,24.3,22.5
2023,1,3,99.0,24.4,22.4
2023,1,3,99.0,24.3,22.4
2023,1,3,1.98,24.3,22.4
2023,1,3,99.0,24.3,22.4
2023,1,3,99.0,24.3,22.4
2023,1,3,1.98,24.3,22.4
2023,1,3,99.0,24.4,22.4
2023,1,3,99.0,24.3,22.4
2023,1,3,1.93,24.2,22.4
2023,1,3,99.0,24.3,22.4
2023,1,3,99.0,24.3,22.4
2023,1,3,1.87,24.2,22.4
2023,1,3,99.0,24.2,22.4
2023,1,3,99.0,24.2,22.4
2023,1,3,1.94,24.2,22.4
2023,1,3,99.0,24.2,22.4
2023,1,3,99.0,24.2,22.4
2023,1,3,1.92,24.2,22.4
2023,1,3,99.0,24.2,22.4
2023,1,3,99.0,24.2,22.4
2023,1,3,2.02,24.2,22.4
2023,1,3,99.0,24.2,22.4
2023,1,3,99.0,24.2,22.4
2023,1,3,2.06,24.2,22.4
2023,1,3,99.0,24.2,22.4
2023,1,4,99.0,24.2,22.4
2023,1,4,1.96,24.2,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,1.99,24.1,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,1.97,24.1,22.4
2023,1,4,99.0,24.0,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,2.01,24.1,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,1.95,24.1,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,1.82,24.1,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,1.91,24.1,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,1.96,24.1,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,2.0,24.1,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,99.0,24.1,22.4
2023,1,4,2.18,24.1,22.5
2023,1,4,99.0,24.1,22.5
2023,1,4,99.0,24.1,22.5
2023,1,4,1.87,24.1,22.5
2023,1,4,99.0,24.1,22.5
2023,1,4,99.0,24.1,22.5
2023,1,4,2.05,24.1,22.5
2023,1,4,99.0,24.1,22.5
2023,1,4,99.0,24.1,22.5
2023,1,4,2.1,24.0,22.5
2023,1,4,99.0,24.1,22.5
2023,1,4,99.0,24.1,22.5
2023,1,4,2.0,24.1,22.5
2023,1,4,99.0,24.1,22.6
2023,1,4,99.0,24.2,22.6
2023,1,4,2.15,24.1,22.6
2023,1,4,99.0,24.1,22.7
2023,1,4,99.0,24.1,22.7
2023,1,4,2.05,24.1,22.7
2023,1,4,99.0,24.2,22.7
2023,1,4,99.0,24.2,22.8
2023,1,4,2.2,24.2,22.8
2023,1,4,99.0,24.2,22.8
2023,1,4,99.0,24.2,22.8
2023,1,4,2.16,24.2,22.8
2023,1,4,99.0,24.3,22.8
2023,1,4,99.0,24.2,22.8
2023,1,4,2.19,24.2,22.8
2023,1,4,99.0,24.1,22.8
2023,1,4,99.0,24.2,22.9
2023,1,4,2.22,24.2,22.9
2023,1,4,99.0,24.0,22.9
2023,1,4,99.0,23.8,22.9
2023,1,4,2.29,23.8,22.9
2023,1,4,99.0,23.8,22.9
2023,1,4,99.0,23.8,22.9
2023,1,4,2.11,23.8,22.9
2023,1,4,99.0,23.7,22.9
2023,1,4,99.0,23.7,22.9
2023,1,4,2.37,23.7,22.9
2023,1,4,99.0,23.6,22.8
2023,1,4,99.0,23.5,22.8
2023,1,4,2.17,20.1,22.8
2023,1,4,99.0,18.8,22.8
2023,1,4,99.0,18.4,22.8
2023,1,4,2.06,18.4,22.8
2023,1,4,99.0,18.5,22.8
2023,1,4,99.0,18.2,22.8
2023,1,4,1.96,18.9,22.8
2023,1,4,99.0,19.3,22.8
2023,1,4,99.0,20.1,22.8
2023,1,4,1.99,20.2,22.8
2023,1,4,99.0,20.7,22.8
2023,1,4,99.0,20.9,22.8
2023,1,4,1.8,20.6,22.8
2023,1,4,99.0,20.3,22.7
2023,1,4,99.0,20.2,22.7
2023,1,4,1.57,20.3,22.7
2023,1,4,99.0,20.3,22.6
2023,1,4,99.0,20.3,22.6
2023,1,4,1.6,20.2,22.6
2023,1,4,99.0,999.0,22.5
2023,1,4,99.0,19.9,22.4
2023,1,4,1.59,20.0,22.3
2023,1,4,99.0,19.9,22.2
2023,1,4,99.0,19.9,22.2
2023,1,4,1.54,19.9,22.2
2023,1,4,99.0,19.9,22.1
2023,1,4,99.0,19.9,22.1
2023,1,4,1.46,20.1,22.1
2023,1,4,99.0,20.2,22.1
2023,1,4,99.0,20.4,22.0
2023,1,4,1.37,20.4,22.1
2023,1,4,99.0,20.5,22.1
2023,1,4,99.0,20.6,22.5
2023,1,4,1.3,20.6,22.6
2023,1,4,99.0,20.6,22.6
2023,1,4,99.0,20.5,22.6
2023,1,4,1.23,20.7,22.7
2023,1,4,99.0,20.7,22.7
2023,1,4,99.0,20.7,22.7
2023,1,4,1.23,20.8,22.7
2023,1,4,99.0,20.9,22.7
2023,1,4,99.0,20.8,22.8
2023,1,4,1.29,20.6,22.8
2023,1,4,99.0,20.7,22.8
2023,1,4,99.0,20.9,22.8
2023,1,4,1.32,20.8,22.9
2023,1,4,99.0,20.8,22.9
2023,1,4,99.0,20.8,22.9
2023,1,4,1.22,20.9,22.9
2023,1,4,99.0,20.9,22.9
2023,1,4,99.0,21.0,22.9
2023,1,4,1.22,21.0,22.9
2023,1,4,99.0,21.0,22.9
2023,1,4,99.0,21.0,22.8
2023,1,4,1.2,21.0,22.8
2023,1,4,99.0,21.1,22.7
2023,1,4,99.0,21.1,22.7
2023,1,4,1.21,21.0,22.6
2023,1,4,99.0,21.1,22.6
2023,1,4,99.0,21.0,22.6
2023,1,4,1.17,21.1,22.5
2023,1,4,99.0,21.3,22.4
2023,1,4,99.0,21.3,22.4
2023,1,4,1.18,21.4,22.4
2023,1,4,99.0,21.4,22.3
2023,1,4,99.0,21.2,22.3
2023,1,4,1.17,21.1,22.2
2023,1,4,99.0,20.9,22.2
2023,1,4,99.0,20.8,22.1
2023,1,4,1.17,20.8,22.1
2023,1,4,99.0,20.7,22.1
2023,1,4,99.0,20.7,22.0
2023,1,4,1.13,20.7,22.0
2023,1,4,99.0,20.7,22.1
2023,1,5,99.0,20.7,22.0
2023,1,5,0.95,20.7,22.0
2023,1,5,99.0,20.8,22.0
2023,1,5,99.0,20.9,21.9
2023,1,5,1.09,21.0,21.9
2023,1,5,99.0,21.1,21.8
2023,1,5,99.0,21.2,21.7
2023,1,5,1.04,21.1,21.7
2023,1,5,99.0,21.1,21.6
2023,1,5,99.0,21.2,21.6
2023,1,5,0.99,21.3,21.6
2023,1,5,99.0,21.4,21.6
2023,1,5,99.0,21.4,21.6
2023,1,5,1.01,21.4,21.6
2023,1,5,99.0,21.4,21.6
2023,1,5,99.0,21.5,21.6
2023,1,5,1.03,21.4,21.6
2023,1,5,99.0,21.3,21.6
2023,1,5,99.0,21.3,21.6
2023,1,5,1.04,21.2,21.6
2023,1,5,99.0,21.2,21.6
2023,1,5,99.0,21.3,21.6
2023,1,5,1.03,21.3,21.6
2023,1,5,99.0,21.3,21.6
2023,1,5,99.0,21.3,21.6
2023,1,5,1.04,21.2,21.6
2023,1,5,99.0,21.2,21.6
2023,1,5,99.0,21.0,21.6
2023,1,5,1.1,20.9,21.6
2023,1,5,99.0,21.0,21.6
2023,1,5,99.0,21.0,21.6
2023,1,5,1.02,21.1,21.6
2023,1,5,99.0,21.2,21.6
2023,1,5,99.0,21.1,21.6
2023,1,5,1.1,21.1,21.6
2023,1,5,99.0,21.1,999.0
2023,1,5,99.0,21.1,21.7
2023,1,5,1.0,21.2,21.6
2023,1,5,99.0,21.2,21.7
2023,1,5,99.0,21.1,21.7
2023,1,5,1.07,21.1,21.7
2023,1,5,99.0,21.1,21.7
2023,1,5,99.0,21.2,21.7
2023,1,5,1.06,21.3,21.7
2023,1,5,99.0,21.3,21.7
2023,1,5,99.0,21.4,21.7
2023,1,5,1.03,21.3,21.7
2023,1,5,99.0,21.1,21.7
2023,1,5,99.0,20.6,21.7
2023,1,5,1.08,20.5,21.7
2023,1,5,99.0,20.3,21.6
2023,1,5,99.0,20.2,21.6
2023,1,5,1.16,20.2,21.6
2023,1,5,99.0,20.2,21.6
2023,1,5,99.0,20.2,21.6
2023,1,5,1.17,20.2,21.6
2023,1,5,99.0,20.1,21.6
2023,1,5,99.0,19.9,21.6
2023,1,5,1.24,19.9,21.6
2023,1,5,99.0,19.8,21.6
2023,1,5,99.0,19.7,21.6
2023,1,5,1.34,19.6,21.6
2023,1,5,99.0,19.5,21.7
2023,1,5,99.0,19.2,21.7
2023,1,5,1.26,19.1,21.7
2023,1,5,99.0,18.9,21.7
2023,1,5,99.0,18.9,21.7
2023,1,5,1.32,18.9,21.7
2023,1,5,99.0,19.2,21.8
2023,1,5,99.0,19.2,21.8
2023,1,5,1.25,19.2,21.9
2023,1,5,99.0,19.2,21.9
2023,1,5,99.0,19.1,21.9
2023,1,5,1.19,19.2,21.9
2023,1,5,99.0,19.2,22.0
2023,1,5,99.0,19.1,22.1
2023,1,5,1.09,19.3,22.2
2023,1,5,99.0,19.3,22.2
2023,1,5,99.0,19.3,22.3
2023,1,5,1.08,19.4,22.4
2023,1,5,99.0,19.4,22.5
2023,1,5,99.0,19.4,22.5
2023,1,5,0.93,19.4,22.5
2023,1,5,99.0,19.4,22.6
2023,1,5,99.0,19.4,22.6
2023,1,5,0.91,19.5,22.7
2023,1,5,99.0,19.5,22.8
2023,1,5,99.0,19.4,22.8
2023,1,5,0.99,19.4,22.8
2023,1,5,99.0,19.3,22.8
2023,1,5,99.0,19.3,22.8
2023,1,5,0.93,19.3,22.9
2023,1,5,99.0,19.3,22.9
2023,1,5,99.0,19.3,22.9
2023,1,5,0.8,19.3,22.8
2023,1,5,99.0,19.3,22.8
2023,1,5,99.0,19.3,23.2
2023,1,5,0.77,19.5,23.5
2023,1,5,99.0,19.3,23.7
2023,1,5,99.0,19.3,23.8
2023,1,5,0.72,19.3,23.8
2023,1,5,99.0,19.3,23.9
2023,1,5,99.0,19.3,23.9
2023,1,5,0.64,19.3,24.0
2023,1,5,99.0,19.3,24.0
2023,1,5,99.0,19.2,24.0
2023,1,5,0.73,19.1,24.0
2023,1,5,99.0,19.2,24.0
2023,1,5,99.0,19.2,24.1
2023,1,5,0.7,19.1,24.1
2023,1,5,99.0,19.1,24.2
2023,1,5,99.0,19.1,24.3
2023,1,5,0.68,19.1,24.3
2023,1,5,99.0,19.0,24.4
2023,1,5,99.0,19.1,24.5
2023,1,5,0.6,19.0,24.5
2023,1,5,99.0,19.0,24.6
2023,1,5,99.0,19.1,24.6
2023,1,5,0.58,19.2,24.7
2023,1,5,99.0,19.2,24.7
2023,1,5,99.0,19.3,24.7
2023,1,5,0.63,19.4,24.8
2023,1,5,99.0,19.4,24.8
2023,1,5,99.0,19.4,24.9
2023,1,5,0.56,19.3,24.9
2023,1,5,99.0,19.3,24.9
2023,1,5,99.0,19.4,24.9
2023,1,5,0.57,19.3,24.9
2023,1,5,99.0,19.4,25.0
2023,1,5,99.0,19.3,25.0
2023,1,5,0.55,19.3,25.0
2023,1,5,99.0,19.4,25.0
2023,1,5,99.0,19.5,25.0
2023,1,5,0.54,19.7,24.9
2023,1,5,99.0,19.6,24.9
2023,1,5,99.0,19.6,24.9
2023,1,5,0.73,19.5,24.9
2023,1,5,99.0,19.5,24.9
2023,1,5,99.0,19.4,24.9
2023,1,5,0.7,19.5,24.9
2023,1,5,99.0,19.5,24.9
2023,1,5,99.0,19.5,24.9
2023,1,5,0.72,19.7,24.9
2023,1,5,99.0,19.7,24.8
2023,1,6,99.0,19.7,24.8
2023,1,6,0.73,19.7,24.8
2023,1,6,99.0,19.8,24.8
2023,1,6,99.0,19.8,24.8
2023,1,6,0.7,19.8,24.8
2023,1,6,99.0,19.7,24.8
2023,1,6,99.0,19.6,24.8
2023,1,6,0.68,19.5,24.8
