#YY,MM,DD,WVHT,ATMP,WTMP
2021,1,1,99.0,999.0,18.2
2021,1,1,99.0,999.0,18.2
2021,1,1,99.0,999.0,18.2
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,17.9
2021,1,1,99.0,999.0,17.8
2021,1,1,99.0,999.0,17.8
2021,1,1,99.0,999.0,17.8
2021,1,1,99.0,999.0,17.8
2021,1,1,99.0,999.0,17.8
2021,1,1,99.0,999.0,17.8
2021,1,1,99.0,999.0,17.9
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.2
2021,1,1,99.0,999.0,18.2
2021,1,1,99.0,999.0,18.2
2021,1,1,99.0,999.0,18.2
2021,1,1,99.0,999.0,18.2
2021,1,1,99.0,999.0,18.2
2021,1,1,99.0,999.0,18.2
2021,1,1,99.0,999.0,18.1
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,17.7
2021,1,1,99.0,999.0,17.6
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.3
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.3
2021,1,1,99.0,999.0,17.3
2021,1,1,99.0,999.0,17.3
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.3
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.3
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.4
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.5
2021,1,1,99.0,999.0,17.6
2021,1,1,99.0,999.0,17.6
2021,1,1,99.0,999.0,17.7
2021,1,1,99.0,999.0,17.7
2021,1,1,99.0,999.0,17.8
2021,1,1,99.0,999.0,17.8
2021,1,1,99.0,999.0,17.8
2021,1,1,99.0,999.0,17.9
2021,1,1,99.0,999.0,17.9
2021,1,1,99.0,999.0,17.9
2021,1,1,99.0,999.0,17.9
2021,1,1,99.0,999.0,17.9
2021,1,1,99.0,999.0,17.9
2021,1,1,99.0,999.0,17.9
2021,1,1,99.0,999.0,17.9
2021,1,1,99.0,999.0,17.9
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
2021,1,1,99.0,999.0,18.0
