#YY,MM,DD,WVHT,ATMP,WTMP
2022,1,3,99.0,99.0,99.0
2022,1,7,99.0,99.0,99.0
2022,1,10,36.4,99.0,99.0
2022,1,25,36.5,99.0,99.0
2022,1,25,36.5,99.0,99.0
2022,1,25,36.5,99.0,99.0
2022,1,25,36.5,99.0,99.0
2022,1,25,36.5,99.0,99.0
2022,1,25,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,26,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.4,99.0,99.0
2022,1,27,36.4,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,27,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,28,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,29,36.5,99.0,99.0
2022,1,30,36.5,99.0,99.0
2022,1,30,36.5,99.0,99.0
2022,1,30,36.5,99.0,99.0
2022,1,30,36.5,99.0,99.0
2022,1,30,36.5,99.0,99.0
2022,1,30,36.5,99.0,99.0
