#YY,MM,DD,WVHT,ATMP,WTMP
2021,1,1,1.78,999.0,14.0
2021,1,1,1.72,999.0,14.0
2021,1,1,1.64,999.0,14.1
2021,1,1,1.6,999.0,14.1
2021,1,1,1.56,999.0,14.1
2021,1,1,1.52,999.0,14.1
2021,1,1,1.52,999.0,14.3
2021,1,1,1.51,999.0,14.3
2021,1,1,1.53,999.0,14.2
2021,1,1,1.54,999.0,14.2
2021,1,1,1.5,999.0,14.0
2021,1,1,1.48,999.0,13.7
2021,1,1,1.39,999.0,13.5
2021,1,1,1.39,999.0,13.4
2021,1,1,1.45,999.0,13.2
2021,1,1,1.37,999.0,13.2
2021,1,1,1.46,999.0,13.2
2021,1,1,1.46,999.0,13.1
2021,1,1,1.43,999.0,13.0
2021,1,1,1.4,999.0,13.0
2021,1,1,1.45,999.0,13.0
2021,1,1,1.44,999.0,13.0
2021,1,1,1.38,999.0,13.0
2021,1,1,1.33,999.0,13.1
2021,1,1,1.3,999.0,13.2
2021,1,1,1.34,999.0,13.2
2021,1,1,1.32,999.0,13.4
2021,1,1,1.29,999.0,13.6
2021,1,1,1.33,999.0,13.7
2021,1,1,1.33,999.0,13.8
2021,1,1,1.31,999.0,13.9
2021,1,1,1.36,999.0,13.9
2021,1,1,1.27,999.0,13.9
2021,1,1,1.34,999.0,13.9
2021,1,1,1.29,999.0,14.0
2021,1,1,1.34,999.0,13.9
2021,1,1,1.25,999.0,13.9
2021,1,1,1.3,999.0,13.9
2021,1,1,1.28,999.0,14.0
2021,1,1,1.27,999.0,13.9
2021,1,1,1.28,999.0,13.9
2021,1,1,1.28,999.0,13.8
2021,1,1,1.21,999.0,13.7
2021,1,1,1.26,999.0,13.8
2021,1,1,1.25,999.0,13.9
2021,1,1,1.26,999.0,13.7
2021,1,1,1.24,999.0,13.9
2021,1,1,1.24,999.0,14.0
2021,1,2,1.18,999.0,14.1
2021,1,2,1.25,999.0,14.2
2021,1,2,1.25,999.0,14.2
2021,1,2,1.19,999.0,14.3
2021,1,2,1.19,999.0,14.4
2021,1,2,1.2,999.0,14.4
2021,1,2,1.23,999.0,14.4
2021,1,2,1.29,999.0,14.4
2021,1,2,1.28,999.0,14.4
2021,1,2,1.39,999.0,14.4
2021,1,2,1.37,999.0,14.4
2021,1,2,1.47,999.0,14.3
2021,1,2,1.54,999.0,14.3
2021,1,2,1.65,999.0,14.4
2021,1,2,1.77,999.0,14.4
2021,1,2,1.71,999.0,14.4
2021,1,2,1.76,999.0,14.4
2021,1,2,1.7,999.0,14.4
2021,1,2,1.77,999.0,14.4
2021,1,2,1.81,999.0,14.4
2021,1,2,1.85,999.0,14.4
2021,1,2,1.9,999.0,14.4
2021,1,2,1.73,999.0,14.5
2021,1,2,1.67,999.0,14.6
2021,1,2,1.64,999.0,14.7
2021,1,2,1.61,999.0,14.7
2021,1,2,1.47,999.0,14.7
2021,1,2,1.52,999.0,14.7
2021,1,2,1.5,999.0,14.6
2021,1,2,1.49,999.0,14.7
2021,1,2,1.57,999.0,14.8
2021,1,2,1.47,999.0,14.9
2021,1,2,1.58,999.0,14.9
2021,1,2,1.47,999.0,14.9
2021,1,2,1.48,999.0,14.9
2021,1,2,1.47,999.0,14.9
2021,1,2,1.48,999.0,14.3
2021,1,2,1.54,999.0,13.9
2021,1,2,1.48,999.0,13.9
2021,1,2,1.56,999.0,13.9
2021,1,2,1.6,999.0,13.9
2021,1,2,1.56,999.0,13.9
2021,1,2,1.62,999.0,13.9
2021,1,2,1.55,999.0,13.8
2021,1,2,1.41,999.0,13.9
2021,1,2,1.49,999.0,13.9
2021,1,3,1.42,999.0,13.9
2021,1,3,1.4,999.0,13.9
2021,1,3,1.36,999.0,13.9
2021,1,3,1.38,999.0,13.7
2021,1,3,1.3,999.0,13.7
2021,1,3,1.29,999.0,13.7
2021,1,3,1.18,999.0,13.7
2021,1,3,1.21,999.0,13.7
2021,1,3,1.26,999.0,13.7
2021,1,3,1.09,999.0,13.7
2021,1,3,1.22,999.0,13.7
2021,1,3,1.12,999.0,13.7
2021,1,3,1.1,999.0,13.7
2021,1,3,1.06,999.0,13.7
2021,1,3,1.08,999.0,13.7
2021,1,3,1.08,999.0,13.7
2021,1,3,1.07,999.0,13.8
2021,1,3,1.04,999.0,13.8
2021,1,3,1.09,999.0,13.9
2021,1,3,1.05,999.0,14.0
2021,1,3,1.08,999.0,14.1
2021,1,3,1.17,999.0,14.3
2021,1,3,1.24,999.0,14.4
2021,1,3,1.28,999.0,14.5
2021,1,3,1.32,999.0,14.6
2021,1,3,1.49,999.0,14.7
2021,1,3,1.45,999.0,14.7
2021,1,3,1.54,999.0,14.8
