#YY,MM,DD,WVHT,ATMP,WTMP
2019,2,1,2.03,999.0,11.8
2019,2,1,1.96,999.0,11.8
2019,2,1,1.94,999.0,11.8
2019,2,1,2.2,999.0,11.8
2019,2,1,1.88,999.0,11.8
2019,2,1,2.17,999.0,11.8
2019,2,1,1.89,999.0,11.8
2019,2,1,2.09,999.0,11.8
2019,2,1,2.1,999.0,11.8
2019,2,1,2.0,999.0,11.8
2019,2,1,1.91,999.0,11.7
2019,2,1,1.93,999.0,11.8
2019,2,1,1.98,999.0,11.7
2019,2,1,2.07,999.0,11.8
2019,2,1,2.07,999.0,11.8
2019,2,1,2.09,999.0,11.8
2019,2,1,2.0,999.0,11.8
2019,2,1,2.0,999.0,11.8
2019,2,1,2.18,999.0,11.8
2019,2,1,2.2,999.0,11.8
2019,2,1,2.23,999.0,11.8
2019,2,1,2.33,999.0,11.7
2019,2,1,2.16,999.0,11.7
2019,2,1,2.19,999.0,11.7
2019,2,1,2.16,999.0,11.7
2019,2,1,2.26,999.0,11.7
2019,2,1,2.41,999.0,11.7
2019,2,1,2.39,999.0,11.7
2019,2,1,2.41,999.0,11.8
2019,2,1,2.66,999.0,11.8
2019,2,1,2.62,999.0,11.8
2019,2,1,2.9,999.0,11.8
2019,2,1,3.02,999.0,11.8
2019,2,1,2.83,999.0,11.8
2019,2,1,3.29,999.0,11.8
2019,2,1,3.06,999.0,11.8
2019,2,1,2.92,999.0,11.8
2019,2,1,2.75,999.0,11.7
2019,2,1,3.26,999.0,11.8
2019,2,1,3.21,999.0,11.8
2019,2,1,3.51,999.0,11.7
2019,2,1,3.28,999.0,11.7
2019,2,1,3.25,999.0,11.7
2019,2,1,3.08,999.0,11.8
2019,2,1,3.03,999.0,11.8
2019,2,1,3.24,999.0,11.8
2019,2,1,3.09,999.0,11.8
2019,2,1,3.01,999.0,11.8
2019,2,2,3.07,999.0,11.8
2019,2,2,3.06,999.0,11.8
2019,2,2,3.11,999.0,11.8
2019,2,2,2.8,999.0,11.8
2019,2,2,2.92,999.0,11.9
2019,2,2,2.83,999.0,11.8
2019,2,2,2.78,999.0,11.8
2019,2,2,2.71,999.0,11.8
2019,2,2,2.81,999.0,11.8
2019,2,2,2.8,999.0,11.8
2019,2,2,2.86,999.0,11.8
2019,2,2,2.85,999.0,11.8
2019,2,2,2.71,999.0,11.8
