#YY,MM,DD,WVHT,ATMP,WTMP
2021,1,1,1.47,999.0,19.0
2021,1,1,1.47,999.0,19.0
2021,1,1,1.45,999.0,19.0
2021,1,1,1.41,999.0,19.1
2021,1,1,1.36,999.0,19.2
2021,1,1,1.29,999.0,19.2
2021,1,1,1.35,999.0,19.3
2021,1,1,1.35,999.0,19.3
2021,1,1,1.44,999.0,19.2
2021,1,1,1.35,999.0,19.2
2021,1,1,1.38,999.0,19.3
2021,1,1,1.38,999.0,19.3
2021,1,1,1.27,999.0,19.3
2021,1,1,1.27,999.0,19.2
2021,1,1,1.29,999.0,19.1
2021,1,1,1.32,999.0,19.1
2021,1,1,1.37,999.0,19.1
2021,1,1,1.39,999.0,19.2
2021,1,1,1.4,999.0,19.2
2021,1,1,1.48,999.0,19.2
2021,1,1,1.41,999.0,19.2
2021,1,1,1.47,999.0,19.2
2021,1,1,1.47,999.0,19.2
2021,1,1,1.51,999.0,19.2
2021,1,1,1.53,999.0,19.2
2021,1,1,1.52,999.0,19.2
2021,1,1,1.43,999.0,19.2
2021,1,1,1.5,999.0,19.2
2021,1,1,1.45,999.0,19.1
2021,1,1,1.4,999.0,19.1
2021,1,1,1.43,999.0,19.2
2021,1,1,1.36,999.0,19.2
2021,1,1,1.34,999.0,19.3
2021,1,1,1.3,999.0,19.4
2021,1,1,1.21,999.0,19.4
2021,1,1,1.24,999.0,19.5
2021,1,1,1.21,999.0,19.5
2021,1,1,1.14,999.0,19.5
2021,1,1,1.11,999.0,19.6
2021,1,1,1.22,999.0,19.7
2021,1,1,1.3,999.0,19.7
2021,1,1,1.29,999.0,19.6
2021,1,1,1.24,999.0,19.7
2021,1,1,1.31,999.0,20.1
2021,1,1,1.29,999.0,20.3
2021,1,1,1.33,999.0,20.2
2021,1,1,1.32,999.0,20.2
2021,1,1,1.26,999.0,20.2
2021,1,2,1.32,999.0,20.2
2021,1,2,1.32,999.0,20.2
2021,1,2,1.28,999.0,20.2
2021,1,2,1.34,999.0,20.4
2021,1,2,1.34,999.0,20.4
2021,1,2,1.28,999.0,20.5
2021,1,2,1.26,999.0,20.5
2021,1,2,1.2,999.0,20.5
2021,1,2,1.21,999.0,20.6
2021,1,2,1.24,999.0,20.6
2021,1,2,1.16,999.0,20.6
2021,1,2,1.11,999.0,20.6
2021,1,2,1.12,999.0,20.6
2021,1,2,1.13,999.0,20.6
2021,1,2,1.03,999.0,20.6
2021,1,2,0.99,999.0,20.5
2021,1,2,0.96,999.0,20.5
2021,1,2,0.98,999.0,20.5
2021,1,2,0.92,999.0,20.5
2021,1,2,0.91,999.0,20.5
2021,1,2,0.97,999.0,20.5
2021,1,2,0.96,999.0,20.6
2021,1,2,0.91,999.0,20.6
2021,1,2,0.86,999.0,20.6
2021,1,2,0.93,999.0,20.6
2021,1,2,0.95,999.0,20.7
2021,1,2,0.98,999.0,20.7
2021,1,2,0.97,999.0,20.8
2021,1,2,0.92,999.0,20.9
2021,1,2,0.9,999.0,20.9
2021,1,2,0.9,999.0,21.0
2021,1,2,0.92,999.0,21.2
2021,1,2,0.93,999.0,21.2
2021,1,2,0.86,999.0,21.2
2021,1,2,0.92,999.0,21.2
2021,1,2,0.96,999.0,21.1
2021,1,2,0.99,999.0,21.2
2021,1,2,1.02,999.0,21.2
2021,1,2,1.08,999.0,21.2
2021,1,2,1.09,999.0,21.2
2021,1,2,1.16,999.0,21.2
2021,1,2,1.1,999.0,21.1
2021,1,2,1.17,999.0,21.1
2021,1,2,1.17,999.0,21.1
2021,1,2,1.2,999.0,21.0
2021,1,2,1.15,999.0,21.1
2021,1,2,1.2,999.0,21.0
2021,1,2,1.17,999.0,21.0
2021,1,3,1.2,999.0,21.1
2021,1,3,1.25,999.0,21.1
2021,1,3,1.17,999.0,21.1
2021,1,3,1.15,999.0,21.1
2021,1,3,1.12,999.0,21.1
2021,1,3,1.1,999.0,21.1
2021,1,3,1.01,999.0,21.1
2021,1,3,0.96,999.0,21.1
2021,1,3,0.93,999.0,21.1
2021,1,3,0.92,999.0,21.1
2021,1,3,0.88,999.0,21.1
2021,1,3,0.85,999.0,21.1
2021,1,3,0.87,999.0,21.1
2021,1,3,0.87,999.0,21.1
2021,1,3,0.87,999.0,21.1
2021,1,3,0.84,999.0,21.0
2021,1,3,0.88,999.0,21.0
2021,1,3,0.93,999.0,21.0
2021,1,3,0.87,999.0,21.0
2021,1,3,0.86,999.0,21.0
2021,1,3,0.85,999.0,21.0
2021,1,3,0.86,999.0,21.0
2021,1,3,0.86,999.0,21.0
2021,1,3,0.89,999.0,21.0
2021,1,3,0.84,999.0,21.0
2021,1,3,0.85,999.0,21.0
2021,1,3,0.86,999.0,21.0
2021,1,3,0.81,999.0,21.0
2021,1,3,0.79,999.0,21.1
2021,1,3,0.79,999.0,21.1
2021,1,3,0.76,999.0,21.1
2021,1,3,0.75,999.0,21.1
2021,1,3,0.76,999.0,21.2
2021,1,3,0.73,999.0,21.2
2021,1,3,0.72,999.0,21.2
2021,1,3,0.72,999.0,21.1
2021,1,3,0.63,999.0,21.1
2021,1,3,0.61,999.0,21.1
2021,1,3,0.56,999.0,21.2
2021,1,3,0.55,999.0,21.1
2021,1,3,0.55,999.0,21.1
2021,1,3,0.52,999.0,21.1
2021,1,3,0.48,999.0,21.1
2021,1,3,0.5,999.0,21.1
2021,1,3,0.5,999.0,21.1
2021,1,3,0.52,999.0,21.2
2021,1,3,0.51,999.0,21.2
2021,1,4,0.49,999.0,21.1
2021,1,4,0.52,999.0,21.1
2021,1,4,0.5,999.0,21.2
2021,1,4,0.49,999.0,21.2
2021,1,4,0.47,999.0,21.2
2021,1,4,0.47,999.0,21.2
2021,1,4,0.45,999.0,21.2
2021,1,4,0.46,999.0,21.2
2021,1,4,0.43,999.0,21.2
2021,1,4,0.42,999.0,21.2
2021,1,4,0.45,999.0,21.1
2021,1,4,0.44,999.0,21.1
2021,1,4,0.47,999.0,21.1
2021,1,4,0.45,999.0,21.1
2021,1,4,0.47,999.0,21.1
2021,1,4,0.47,999.0,21.1
2021,1,4,0.49,999.0,21.1
2021,1,4,0.45,999.0,21.0
2021,1,4,0.46,999.0,21.0
2021,1,4,0.47,999.0,21.0
2021,1,4,0.46,999.0,21.0
