#YY,MM,DD,WVHT,ATMP,WTMP
2023,1,1,0.29,9.8,6.8
2023,1,1,0.27,9.8,6.8
2023,1,1,0.29,9.6,6.9
2023,1,1,0.27,9.4,7.0
2023,1,1,0.26,9.8,7.0
2023,1,1,0.28,9.4,7.0
2023,1,1,0.28,9.2,7.0
2023,1,1,0.3,9.1,7.0
2023,1,1,0.27,8.7,7.0
2023,1,1,0.24,8.8,7.0
2023,1,1,0.2,8.8,7.0
2023,1,1,0.17,9.0,7.0
2023,1,1,0.15,9.2,7.0
2023,1,1,99.0,9.3,6.9
2023,1,1,99.0,9.4,6.9
2023,1,1,0.33,9.0,6.9
2023,1,1,0.33,8.7,6.8
2023,1,1,0.27,9.0,6.8
2023,1,1,0.3,8.9,6.8
2023,1,1,0.29,8.7,6.8
2023,1,1,0.33,8.3,6.8
2023,1,1,0.34,8.5,6.8
2023,1,1,0.36,8.6,6.8
2023,1,1,0.39,8.3,6.8
2023,1,1,0.37,8.6,6.8
2023,1,1,0.4,9.1,6.8
2023,1,1,0.46,9.0,6.8
2023,1,1,0.48,8.9,6.8
2023,1,1,0.48,8.9,6.8
2023,1,1,0.44,9.7,6.8
2023,1,1,0.45,9.5,6.8
2023,1,1,0.48,9.7,6.8
2023,1,1,0.5,10.0,6.9
2023,1,1,0.54,9.3,6.9
2023,1,1,0.46,9.1,6.9
2023,1,1,0.44,10.0,6.9
2023,1,1,0.48,9.4,6.9
2023,1,1,0.45,8.7,6.9
2023,1,1,0.42,9.1,6.9
2023,1,1,0.44,9.0,6.9
2023,1,1,0.43,9.1,7.0
2023,1,1,0.41,8.5,6.9
2023,1,1,0.4,999.0,6.9
2023,1,1,0.43,8.3,6.9
2023,1,1,0.43,8.1,6.8
2023,1,1,0.44,8.1,6.8
2023,1,1,0.48,8.0,6.8
2023,1,1,0.45,7.6,6.8
2023,1,2,0.49,7.3,6.8
2023,1,2,0.55,7.1,6.8
2023,1,2,0.61,6.8,6.8
2023,1,2,0.66,6.7,6.8
2023,1,2,0.58,6.4,6.8
2023,1,2,0.58,6.3,6.7
2023,1,2,0.62,6.3,6.7
2023,1,2,0.62,6.4,6.7
2023,1,2,0.56,6.3,6.7
2023,1,2,0.54,6.1,6.7
2023,1,2,0.5,6.1,6.7
2023,1,2,0.47,6.0,6.7
2023,1,2,0.45,5.9,6.7
2023,1,2,0.44,5.9,6.7
2023,1,2,0.43,5.7,6.7
2023,1,2,0.4,5.6,6.7
2023,1,2,0.39,5.6,6.7
2023,1,2,0.39,5.6,6.7
2023,1,2,0.39,5.6,6.7
2023,1,2,0.4,5.4,6.6
2023,1,2,0.4,5.0,6.6
2023,1,2,0.38,4.9,6.6
2023,1,2,0.34,4.8,6.6
2023,1,2,0.36,4.7,6.6
2023,1,2,0.39,4.8,6.6
2023,1,2,0.37,5.1,6.6
2023,1,2,0.34,5.1,6.6
2023,1,2,0.32,5.3,6.6
2023,1,2,0.34,5.9,6.6
2023,1,2,0.35,5.5,6.6
2023,1,2,0.32,6.9,6.6
2023,1,2,0.41,6.7,6.6
2023,1,2,0.45,6.6,6.6
2023,1,2,0.45,6.6,6.6
2023,1,2,0.38,6.7,6.7
2023,1,2,0.33,6.9,6.7
2023,1,2,0.29,7.5,6.7
2023,1,2,0.27,7.6,6.7
2023,1,2,0.28,7.5,6.7
2023,1,2,0.27,7.5,6.7
2023,1,2,0.28,7.4,6.7
2023,1,2,0.33,7.3,6.7
2023,1,2,0.36,7.2,6.6
2023,1,2,0.35,7.0,6.6
2023,1,2,0.34,6.9,6.6
2023,1,2,0.33,6.7,6.6
2023,1,2,0.33,6.5,6.6
2023,1,3,0.32,6.4,6.6
2023,1,3,0.31,6.2,6.6
2023,1,3,0.29,6.3,6.5
2023,1,3,0.25,6.3,6.5
2023,1,3,99.0,6.3,6.5
2023,1,3,99.0,6.4,6.5
2023,1,3,99.0,6.2,6.5
2023,1,3,99.0,6.0,6.5
2023,1,3,99.0,6.1,6.5
2023,1,3,99.0,6.0,6.5
2023,1,3,0.13,5.9,6.5
2023,1,3,0.12,5.8,6.5
2023,1,3,0.11,6.0,6.5
2023,1,3,0.12,5.7,6.5
2023,1,3,0.09,5.7,6.5
2023,1,3,0.08,6.1,6.5
2023,1,3,0.07,6.4,6.5
2023,1,3,99.0,6.2,6.5
2023,1,3,99.0,5.6,6.5
2023,1,3,99.0,6.2,6.5
2023,1,3,99.0,6.2,6.5
2023,1,3,99.0,6.4,6.5
2023,1,3,99.0,6.9,6.5
