#YY,MM,DD,WVHT,ATMP,WTMP
2023,1,1,1.3,26.6,27.3
2023,1,1,99.0,26.6,999.0
2023,1,1,99.0,26.5,999.0
2023,1,1,99.0,26.6,999.0
2023,1,1,99.0,26.6,999.0
2023,1,1,99.0,26.7,999.0
2023,1,1,1.4,26.5,27.2
2023,1,1,99.0,26.7,999.0
2023,1,1,99.0,26.4,999.0
2023,1,1,99.0,26.4,999.0
2023,1,1,99.0,26.5,999.0
2023,1,1,99.0,26.3,999.0
2023,1,1,1.3,26.5,27.3
2023,1,1,99.0,26.5,999.0
2023,1,1,99.0,26.3,999.0
2023,1,1,99.0,26.3,999.0
2023,1,1,99.0,26.2,999.0
2023,1,1,99.0,26.4,999.0
2023,1,1,1.4,26.3,27.2
2023,1,1,99.0,26.2,999.0
2023,1,1,99.0,26.2,999.0
2023,1,1,99.0,26.3,999.0
2023,1,1,99.0,26.2,999.0
2023,1,1,99.0,26.2,999.0
2023,1,1,1.4,26.2,27.2
2023,1,1,99.0,25.9,999.0
2023,1,1,99.0,25.9,999.0
2023,1,1,99.0,25.9,999.0
2023,1,1,99.0,25.9,999.0
2023,1,1,99.0,25.9,999.0
2023,1,1,1.4,25.8,27.2
2023,1,1,99.0,25.9,999.0
2023,1,1,99.0,25.5,999.0
2023,1,1,99.0,25.1,999.0
2023,1,1,99.0,24.5,999.0
2023,1,1,99.0,24.4,999.0
2023,1,1,1.4,24.4,26.9
2023,1,1,99.0,24.3,999.0
2023,1,1,99.0,24.5,999.0
2023,1,1,99.0,24.3,999.0
2023,1,1,99.0,24.0,999.0
2023,1,1,99.0,23.8,999.0
2023,1,1,1.4,24.2,26.9
2023,1,1,99.0,24.1,999.0
2023,1,1,99.0,23.9,999.0
2023,1,1,99.0,23.7,999.0
2023,1,1,99.0,23.6,999.0
2023,1,1,99.0,23.7,999.0
2023,1,1,1.4,24.2,27.2
2023,1,1,99.0,24.0,999.0
2023,1,1,99.0,23.8,999.0
2023,1,1,99.0,23.7,999.0
2023,1,1,99.0,23.7,999.0
2023,1,1,99.0,23.8,999.0
2023,1,1,1.6,23.9,27.2
2023,1,1,99.0,24.4,999.0
2023,1,1,99.0,23.8,999.0
2023,1,1,99.0,23.7,999.0
2023,1,1,99.0,23.8,999.0
2023,1,1,99.0,24.0,999.0
2023,1,1,1.5,24.2,27.2
2023,1,1,99.0,24.5,999.0
2023,1,1,99.0,24.6,999.0
2023,1,1,99.0,24.3,999.0
2023,1,1,99.0,24.0,999.0
2023,1,1,99.0,23.7,999.0
2023,1,1,1.4,23.8,27.1
2023,1,1,99.0,23.8,999.0
2023,1,1,99.0,24.0,999.0
2023,1,1,99.0,24.1,999.0
2023,1,1,99.0,24.2,999.0
2023,1,1,99.0,24.5,999.0
2023,1,1,1.5,24.6,27.0
2023,1,1,99.0,24.9,999.0
2023,1,1,99.0,25.2,999.0
2023,1,1,99.0,25.6,999.0
2023,1,1,99.0,25.8,999.0
2023,1,1,99.0,25.6,999.0
2023,1,1,1.4,25.6,27.2
2023,1,1,99.0,25.7,999.0
2023,1,1,99.0,25.9,999.0
2023,1,1,99.0,25.7,999.0
2023,1,1,99.0,25.5,999.0
2023,1,1,99.0,26.0,999.0
2023,1,1,1.3,25.9,27.1
2023,1,1,99.0,26.3,999.0
2023,1,1,99.0,26.4,999.0
2023,1,1,99.0,26.1,999.0
2023,1,1,99.0,26.4,999.0
2023,1,1,99.0,26.5,999.0
2023,1,1,1.2,26.5,27.3
2023,1,1,99.0,26.6,999.0
2023,1,1,99.0,26.8,999.0
2023,1,1,99.0,26.9,999.0
2023,1,1,99.0,26.9,999.0
2023,1,1,99.0,26.8,999.0
2023,1,1,1.2,26.8,27.4
2023,1,1,99.0,26.9,999.0
2023,1,1,99.0,26.8,999.0
2023,1,1,99.0,26.9,999.0
2023,1,1,99.0,26.9,999.0
2023,1,1,99.0,26.8,999.0
2023,1,1,1.3,26.9,27.3
2023,1,1,99.0,26.8,999.0
2023,1,1,99.0,26.9,999.0
2023,1,1,99.0,26.9,999.0
2023,1,1,99.0,26.9,999.0
2023,1,1,99.0,26.9,999.0
2023,1,1,1.4,26.9,27.3
2023,1,1,99.0,26.9,999.0
2023,1,1,99.0,26.8,999.0
2023,1,1,99.0,26.1,999.0
2023,1,1,99.0,25.9,999.0
2023,1,1,99.0,26.2,999.0
2023,1,1,1.4,26.6,27.4
2023,1,1,99.0,26.6,999.0
2023,1,1,99.0,26.5,999.0
2023,1,1,99.0,26.7,999.0
2023,1,1,99.0,26.7,999.0
2023,1,1,99.0,26.6,999.0
2023,1,1,1.3,26.3,27.3
2023,1,1,99.0,26.5,999.0
2023,1,1,99.0,26.1,999.0
2023,1,1,99.0,999.0,999.0
2023,1,1,99.0,999.0,999.0
2023,1,1,99.0,999.0,999.0
2023,1,1,1.2,999.0,27.3
2023,1,1,99.0,999.0,999.0
2023,1,1,99.0,999.0,999.0
2023,1,1,99.0,999.0,999.0
2023,1,1,99.0,999.0,999.0
2023,1,1,99.0,999.0,999.0
2023,1,1,1.4,999.0,27.3
