#YY,MM,DD,WVHT,ATMP,WTMP
2020,1,1,1.97,999.0,8.8
2020,1,1,2.08,999.0,8.8
2020,1,1,1.94,999.0,8.8
2020,1,1,2.04,999.0,8.8
2020,1,1,2.09,999.0,8.8
2020,1,1,2.06,999.0,8.7
2020,1,1,2.12,999.0,8.7
2020,1,1,1.99,999.0,8.7
2020,1,1,1.97,999.0,8.7
2020,1,1,1.87,999.0,8.7
2020,1,1,1.82,999.0,8.7
2020,1,1,1.85,999.0,8.7
2020,1,1,1.62,999.0,8.7
2020,1,1,1.73,999.0,8.7
2020,1,1,1.76,999.0,8.7
2020,1,1,1.84,999.0,8.7
2020,1,1,1.92,999.0,8.7
2020,1,1,1.81,999.0,8.7
2020,1,1,1.91,999.0,8.7
2020,1,1,1.83,999.0,8.7
2020,1,1,2.05,999.0,8.7
2020,1,1,2.14,999.0,8.7
2020,1,1,2.07,999.0,8.7
2020,1,1,2.02,999.0,8.7
2020,1,1,2.04,999.0,8.7
2020,1,1,2.12,999.0,8.7
2020,1,1,2.1,999.0,8.7
2020,1,1,2.04,999.0,8.7
2020,1,1,2.05,999.0,8.7
2020,1,1,1.94,999.0,8.7
2020,1,1,2.01,999.0,8.7
2020,1,1,2.01,999.0,8.7
2020,1,1,2.02,999.0,8.7
2020,1,1,1.95,999.0,8.7
2020,1,1,2.0,999.0,8.7
2020,1,1,2.04,999.0,8.7
2020,1,1,2.01,999.0,8.7
2020,1,1,2.04,999.0,8.7
2020,1,1,2.12,999.0,8.7
2020,1,1,2.17,999.0,8.7
2020,1,1,2.13,999.0,8.8
2020,1,1,2.13,999.0,8.8
2020,1,1,1.95,999.0,8.8
2020,1,1,2.03,999.0,8.8
2020,1,1,1.98,999.0,8.8
2020,1,1,2.15,999.0,8.8
2020,1,1,2.06,999.0,8.7
2020,1,1,1.88,999.0,8.7
2020,1,2,2.08,999.0,8.7
2020,1,2,1.94,999.0,8.7
2020,1,2,2.01,999.0,8.7
2020,1,2,1.94,999.0,8.7
2020,1,2,1.9,999.0,8.7
2020,1,2,1.96,999.0,8.7
2020,1,2,1.99,999.0,8.7
2020,1,2,1.89,999.0,8.7
2020,1,2,1.85,999.0,8.7
2020,1,2,1.93,999.0,8.7
2020,1,2,1.82,999.0,8.8
2020,1,2,1.79,999.0,8.7
2020,1,2,1.78,999.0,8.7
2020,1,2,1.71,999.0,8.8
2020,1,2,1.61,999.0,8.8
2020,1,2,1.58,999.0,8.8
2020,1,2,1.67,999.0,8.8
2020,1,2,1.62,999.0,8.8
2020,1,2,1.6,999.0,8.8
2020,1,2,1.56,999.0,8.8
2020,1,2,1.37,999.0,8.8
2020,1,2,1.33,999.0,8.9
2020,1,2,1.38,999.0,8.8
2020,1,2,1.4,999.0,8.8
2020,1,2,1.43,999.0,8.9
2020,1,2,1.32,999.0,8.8
2020,1,2,1.43,999.0,8.8
2020,1,2,1.42,999.0,8.8
2020,1,2,1.43,999.0,8.8
2020,1,2,1.43,999.0,8.8
2020,1,2,1.35,999.0,8.8
2020,1,2,1.44,999.0,8.8
2020,1,2,1.42,999.0,8.8
2020,1,2,1.52,999.0,8.9
2020,1,2,1.52,999.0,8.9
2020,1,2,1.61,999.0,8.9
