#YY,MM,DD,WVHT,ATMP,WTMP
2023,1,1,0.85,999.0,15.3
2023,1,1,0.9,999.0,15.3
2023,1,1,0.95,999.0,15.2
2023,1,1,0.91,999.0,15.2
2023,1,1,0.87,999.0,15.2
2023,1,1,0.96,999.0,15.2
2023,1,1,1.0,999.0,15.2
2023,1,1,0.99,999.0,15.2
2023,1,1,1.06,999.0,15.2
2023,1,1,1.02,999.0,15.2
2023,1,1,1.03,999.0,15.2
2023,1,1,1.15,999.0,15.2
2023,1,1,1.3,999.0,15.1
2023,1,1,1.26,999.0,15.1
2023,1,1,1.37,999.0,15.0
2023,1,1,1.47,999.0,15.0
2023,1,1,1.55,999.0,15.0
2023,1,1,1.51,999.0,15.1
2023,1,1,1.64,999.0,15.2
2023,1,1,1.66,999.0,15.2
2023,1,1,1.63,999.0,15.2
2023,1,1,1.58,999.0,15.2
2023,1,1,1.64,999.0,15.2
2023,1,1,1.63,999.0,15.2
2023,1,1,1.68,999.0,15.3
2023,1,1,1.74,999.0,15.3
2023,1,1,1.83,999.0,15.3
2023,1,1,1.94,999.0,15.4
2023,1,1,1.89,999.0,15.4
2023,1,1,1.88,999.0,15.4
2023,1,1,1.96,999.0,15.4
2023,1,1,1.98,999.0,15.4
2023,1,1,2.39,999.0,15.4
2023,1,1,2.41,999.0,15.4
2023,1,1,2.55,999.0,15.4
2023,1,1,2.69,999.0,15.4
2023,1,1,2.87,999.0,15.4
2023,1,1,3.06,999.0,15.4
2023,1,1,2.96,999.0,15.4
2023,1,1,2.84,999.0,15.4
2023,1,1,3.07,999.0,15.4
2023,1,1,2.89,999.0,15.4
2023,1,1,2.81,999.0,15.4
2023,1,1,2.91,999.0,15.4
2023,1,1,3.01,999.0,15.4
2023,1,1,2.89,999.0,15.3
2023,1,1,2.92,999.0,15.2
2023,1,1,2.85,999.0,15.2
2023,1,2,2.88,999.0,15.1
2023,1,2,2.89,999.0,15.1
2023,1,2,2.92,999.0,15.1
2023,1,2,3.08,999.0,15.1
2023,1,2,3.15,999.0,15.0
2023,1,2,3.01,999.0,15.0
2023,1,2,3.16,999.0,15.1
2023,1,2,3.3,999.0,15.1
2023,1,2,3.09,999.0,15.1
2023,1,2,2.9,999.0,15.1
2023,1,2,3.2,999.0,15.1
2023,1,2,3.05,999.0,15.0
2023,1,2,2.95,999.0,15.0
2023,1,2,2.99,999.0,15.1
2023,1,2,2.74,999.0,15.1
2023,1,2,2.82,999.0,15.1
2023,1,2,2.76,999.0,15.1
2023,1,2,2.7,999.0,15.1
2023,1,2,2.64,999.0,15.1
2023,1,2,2.43,999.0,15.0
2023,1,2,2.59,999.0,15.0
2023,1,2,2.6,999.0,15.0
2023,1,2,2.46,999.0,15.0
2023,1,2,2.39,999.0,14.9
2023,1,2,2.38,999.0,14.9
2023,1,2,2.44,999.0,14.9
2023,1,2,2.34,999.0,14.9
2023,1,2,2.37,999.0,15.0
2023,1,2,2.42,999.0,15.0
2023,1,2,2.43,999.0,15.0
2023,1,2,2.22,999.0,14.9
2023,1,2,2.28,999.0,14.9
2023,1,2,2.17,999.0,14.9
2023,1,2,2.14,999.0,15.0
2023,1,2,2.14,999.0,15.0
2023,1,2,2.04,999.0,15.0
2023,1,2,1.93,999.0,15.0
2023,1,2,1.89,999.0,14.8
2023,1,2,1.8,999.0,14.8
2023,1,2,1.92,999.0,14.8
2023,1,2,1.85,999.0,14.8
2023,1,2,1.91,999.0,14.8
2023,1,2,1.76,999.0,14.8
2023,1,2,1.76,999.0,14.8
2023,1,2,1.75,999.0,14.7
2023,1,2,1.62,999.0,14.7
2023,1,2,1.61,999.0,14.7
2023,1,3,1.61,999.0,14.8
2023,1,3,1.63,999.0,14.8
2023,1,3,1.59,999.0,14.7
2023,1,3,1.54,999.0,14.7
2023,1,3,1.5,999.0,14.7
2023,1,3,1.38,999.0,14.7
2023,1,3,1.45,999.0,14.7
2023,1,3,1.38,999.0,14.7
2023,1,3,1.52,999.0,14.8
2023,1,3,1.52,999.0,14.7
2023,1,3,1.54,999.0,14.7
2023,1,3,1.35,999.0,14.7
2023,1,3,1.39,999.0,14.7
2023,1,3,1.61,999.0,14.7
2023,1,3,1.57,999.0,14.7
2023,1,3,1.55,999.0,14.7
2023,1,3,1.47,999.0,14.7
2023,1,3,1.43,999.0,14.7
2023,1,3,1.49,999.0,14.7
2023,1,3,1.42,999.0,14.7
2023,1,3,1.46,999.0,14.7
2023,1,3,1.43,999.0,14.7
2023,1,3,1.41,999.0,14.7
2023,1,3,1.37,999.0,14.7
2023,1,3,1.53,999.0,14.7
2023,1,3,1.56,999.0,14.7
2023,1,3,1.67,999.0,14.7
2023,1,3,1.73,999.0,14.7
2023,1,3,1.75,999.0,14.7
2023,1,3,1.74,999.0,14.8
2023,1,3,1.73,999.0,14.8
2023,1,3,1.7,999.0,14.8
2023,1,3,1.85,999.0,14.8
2023,1,3,1.81,999.0,14.9
2023,1,3,1.87,999.0,14.9
2023,1,3,2.05,999.0,14.9
2023,1,3,2.07,999.0,15.0
2023,1,3,2.0,999.0,15.0
2023,1,3,1.99,999.0,15.0
2023,1,4,2.03,999.0,15.0
2023,1,4,2.09,999.0,15.0
2023,1,4,1.9,999.0,15.0
2023,1,4,1.9,999.0,15.0
2023,1,4,1.86,999.0,15.0
2023,1,4,2.06,999.0,15.0
2023,1,4,1.88,999.0,15.0
2023,1,4,2.05,999.0,15.0
2023,1,4,1.86,999.0,15.0
2023,1,4,1.98,999.0,15.0
2023,1,4,1.91,999.0,15.0
2023,1,4,1.88,999.0,15.0
2023,1,4,1.94,999.0,15.0
2023,1,4,1.82,999.0,15.0
2023,1,4,1.96,999.0,15.0
2023,1,4,1.85,999.0,15.0
2023,1,4,1.92,999.0,15.0
2023,1,4,1.87,999.0,15.0
2023,1,4,2.04,999.0,15.0
2023,1,4,1.92,999.0,15.0
2023,1,4,2.0,999.0,15.0
2023,1,4,1.9,999.0,15.0
2023,1,4,1.79,999.0,15.0
2023,1,4,1.94,999.0,15.0
2023,1,4,1.82,999.0,15.0
2023,1,4,1.73,999.0,15.0
2023,1,4,2.12,999.0,14.9
2023,1,4,1.93,999.0,14.9
2023,1,4,1.8,999.0,14.9
2023,1,4,1.81,999.0,14.9
2023,1,4,1.85,999.0,14.9
2023,1,4,1.9,999.0,14.9
2023,1,4,1.77,999.0,14.9
2023,1,4,1.88,999.0,15.0
2023,1,4,1.89,999.0,15.0
2023,1,4,1.77,999.0,15.0
2023,1,4,1.84,999.0,15.0
2023,1,4,1.89,999.0,15.1
2023,1,4,1.72,999.0,15.1
2023,1,4,1.79,999.0,15.1
2023,1,4,1.82,999.0,15.1
2023,1,4,1.59,999.0,15.1
2023,1,4,1.73,999.0,15.2
2023,1,4,1.7,999.0,15.1
2023,1,4,1.62,999.0,15.2
2023,1,4,1.73,999.0,15.1
2023,1,4,1.69,999.0,15.1
2023,1,4,1.64,999.0,15.1
2023,1,5,1.48,999.0,15.1
2023,1,5,1.54,999.0,15.1
2023,1,5,1.5,999.0,15.1
2023,1,5,1.55,999.0,15.1
2023,1,5,1.46,999.0,15.1
2023,1,5,1.52,999.0,15.1
2023,1,5,1.46,999.0,15.1
2023,1,5,1.65,999.0,15.1
2023,1,5,1.59,999.0,15.1
2023,1,5,1.48,999.0,15.1
2023,1,5,1.49,999.0,15.1
2023,1,5,1.53,999.0,15.1
2023,1,5,1.52,999.0,15.1
2023,1,5,1.66,999.0,15.1
2023,1,5,1.42,999.0,15.1
2023,1,5,1.75,999.0,15.1
2023,1,5,1.53,999.0,15.1
2023,1,5,1.42,999.0,15.2
2023,1,5,1.56,999.0,15.1
2023,1,5,1.5,999.0,15.1
2023,1,5,1.4,999.0,15.1
2023,1,5,1.51,999.0,15.1
2023,1,5,1.24,999.0,15.1
2023,1,5,1.32,999.0,15.1
2023,1,5,1.3,999.0,15.1
2023,1,5,1.39,999.0,15.0
2023,1,5,1.35,999.0,15.0
2023,1,5,1.4,999.0,15.0
2023,1,5,1.41,999.0,15.1
2023,1,5,1.5,999.0,15.0
2023,1,5,1.63,999.0,15.0
2023,1,5,1.67,999.0,15.0
2023,1,5,1.74,999.0,15.0
2023,1,5,1.7,999.0,15.0
2023,1,5,1.89,999.0,15.0
2023,1,5,2.02,999.0,15.0
2023,1,5,2.01,999.0,15.1
2023,1,5,2.21,999.0,15.0
2023,1,5,2.43,999.0,15.0
2023,1,5,2.41,999.0,15.0
2023,1,5,2.81,999.0,15.0
2023,1,5,2.98,999.0,15.0
2023,1,5,2.9,999.0,15.0
2023,1,5,3.0,999.0,15.0
2023,1,5,3.19,999.0,15.1
2023,1,5,3.26,999.0,15.0
2023,1,5,3.35,999.0,15.1
2023,1,5,3.57,999.0,15.1
2023,1,6,3.45,999.0,15.1
2023,1,6,3.64,999.0,15.1
2023,1,6,3.36,999.0,15.1
2023,1,6,3.89,999.0,15.0
2023,1,6,3.93,999.0,15.0
2023,1,6,4.32,999.0,15.0
2023,1,6,3.52,999.0,15.0
2023,1,6,4.27,999.0,15.0
2023,1,6,3.43,999.0,15.1
2023,1,6,3.59,999.0,15.1
2023,1,6,3.62,999.0,15.1
2023,1,6,3.49,999.0,15.1
2023,1,6,3.42,999.0,15.1
2023,1,6,3.54,999.0,15.1
2023,1,6,3.41,999.0,15.1
2023,1,6,4.15,999.0,15.1
