#YY,MM,DD,WVHT,ATMP,WTMP
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.9
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
2022,1,1,99.0,999.0,14.8
