#YY,MM,DD,WVHT,ATMP,WTMP
2019,1,1,2.61,999.0,11.7
2019,1,1,2.69,999.0,11.8
2019,1,1,2.65,999.0,11.8
2019,1,1,2.6,999.0,11.8
2019,1,1,2.81,999.0,11.8
2019,1,1,2.65,999.0,11.7
2019,1,1,2.72,999.0,11.7
2019,1,1,2.83,999.0,11.6
2019,1,1,2.95,999.0,11.6
2019,1,1,2.87,999.0,11.6
2019,1,1,2.77,999.0,11.7
2019,1,1,2.61,999.0,11.7
2019,1,1,2.58,999.0,11.7
2019,1,1,2.57,999.0,11.7
2019,1,1,2.45,999.0,11.7
2019,1,1,2.36,999.0,11.7
2019,1,1,2.35,999.0,11.7
2019,1,1,2.24,999.0,11.7
2019,1,1,2.14,999.0,11.6
2019,1,1,2.08,999.0,11.7
2019,1,1,2.03,999.0,11.7
2019,1,1,2.09,999.0,11.6
2019,1,1,2.07,999.0,11.5
2019,1,1,1.99,999.0,11.5
2019,1,1,2.09,999.0,11.5
2019,1,1,1.98,999.0,11.5
2019,1,1,1.97,999.0,11.5
2019,1,1,2.07,999.0,11.5
2019,1,1,2.0,999.0,11.6
2019,1,1,2.19,999.0,11.5
2019,1,1,1.99,999.0,11.5
2019,1,1,2.1,999.0,11.5
2019,1,1,2.05,999.0,11.5
2019,1,1,2.27,999.0,11.5
2019,1,1,2.17,999.0,11.5
2019,1,1,2.06,999.0,11.4
2019,1,1,2.03,999.0,11.4
2019,1,1,1.99,999.0,11.5
2019,1,1,2.03,999.0,11.6
2019,1,1,2.0,999.0,11.7
2019,1,1,1.97,999.0,11.7
2019,1,1,1.89,999.0,11.6
2019,1,1,2.04,999.0,11.6
2019,1,1,1.79,999.0,11.7
2019,1,2,2.2,999.0,11.7
2019,1,2,1.9,999.0,11.8
2019,1,2,1.91,999.0,11.8
2019,1,2,2.05,999.0,11.8
2019,1,2,2.1,999.0,11.8
2019,1,2,1.95,999.0,11.7
2019,1,2,2.41,999.0,11.7
2019,1,2,2.12,999.0,11.8
2019,1,2,2.09,999.0,11.7
2019,1,2,1.77,999.0,11.8
2019,1,2,2.2,999.0,11.7
2019,1,2,2.04,999.0,11.7
2019,1,2,2.14,999.0,11.7
2019,1,2,2.36,999.0,11.8
2019,1,2,2.15,999.0,11.7
2019,1,2,2.29,999.0,11.7
2019,1,2,2.14,999.0,11.8
2019,1,2,2.22,999.0,11.8
2019,1,2,1.9,999.0,11.7
2019,1,2,2.23,999.0,11.7
2019,1,2,1.94,999.0,11.7
2019,1,2,2.11,999.0,11.7
2019,1,2,1.95,999.0,11.7
2019,1,2,1.77,999.0,11.7
2019,1,2,1.82,999.0,11.7
2019,1,2,1.98,999.0,11.9
2019,1,2,1.95,999.0,11.9
2019,1,2,2.2,999.0,11.8
2019,1,2,2.02,999.0,12.0
2019,1,2,2.12,999.0,12.1
2019,1,2,2.3,999.0,12.1
2019,1,3,2.16,999.0,12.1
2019,1,3,2.1,999.0,12.0
2019,1,3,2.14,999.0,12.0
2019,1,3,1.92,999.0,12.0
2019,1,3,1.76,999.0,11.9
2019,1,3,1.9,999.0,12.0
2019,1,3,1.95,999.0,11.9
2019,1,3,1.73,999.0,11.9
2019,1,3,1.89,999.0,11.9
2019,1,3,2.21,999.0,11.9
2019,1,3,2.0,999.0,11.8
2019,1,3,1.91,999.0,11.7
2019,1,3,1.78,999.0,11.7
2019,1,3,1.83,999.0,11.8
2019,1,3,1.96,999.0,11.8
2019,1,3,1.75,999.0,11.8
2019,1,3,1.85,999.0,11.8
2019,1,3,1.75,999.0,11.7
2019,1,3,1.84,999.0,11.7
2019,1,3,1.99,999.0,11.8
2019,1,3,1.93,999.0,11.7
2019,1,3,1.86,999.0,11.7
2019,1,3,1.76,999.0,11.8
2019,1,3,1.9,999.0,11.8
2019,1,3,1.79,999.0,11.8
2019,1,3,1.82,999.0,11.8
2019,1,3,1.83,999.0,11.8
2019,1,3,1.82,999.0,11.8
2019,1,3,1.89,999.0,11.9
2019,1,3,1.84,999.0,12.0
2019,1,3,2.14,999.0,12.0
2019,1,3,1.69,999.0,12.0
2019,1,3,1.99,999.0,12.0
2019,1,3,2.18,999.0,12.0
2019,1,3,1.99,999.0,12.0
2019,1,3,2.18,999.0,12.0
2019,1,3,2.01,999.0,12.0
2019,1,3,2.09,999.0,12.0
2019,1,3,2.27,999.0,12.0
2019,1,3,2.12,999.0,12.0
2019,1,3,2.45,999.0,12.0
2019,1,3,2.37,999.0,12.1
2019,1,3,2.42,999.0,12.1
2019,1,3,2.39,999.0,12.1
2019,1,3,2.52,999.0,12.0
2019,1,3,2.44,999.0,12.0
2019,1,3,2.58,999.0,12.0
2019,1,3,2.37,999.0,12.0
2019,1,4,2.41,999.0,12.0
2019,1,4,2.36,999.0,12.0
2019,1,4,2.56,999.0,12.0
2019,1,4,2.61,999.0,12.0
2019,1,4,2.38,999.0,12.0
2019,1,4,2.7,999.0,12.0
2019,1,4,2.39,999.0,11.9
2019,1,4,2.46,999.0,12.0
2019,1,4,2.6,999.0,11.9
2019,1,4,2.74,999.0,11.9
2019,1,4,2.67,999.0,11.9
2019,1,4,2.58,999.0,11.9
2019,1,4,2.73,999.0,12.0
2019,1,4,2.51,999.0,12.0
2019,1,4,2.63,999.0,12.0
2019,1,4,2.84,999.0,12.0
2019,1,4,2.79,999.0,12.0
2019,1,4,3.08,999.0,12.0
2019,1,4,2.99,999.0,12.0
2019,1,4,3.13,999.0,12.0
2019,1,4,3.02,999.0,12.0
