#YY,MM,DD,WVHT,ATMP,WTMP
2023,1,1,99.0,8.7,9.9
2023,1,1,3.09,8.7,9.9
2023,1,1,99.0,8.7,9.9
2023,1,1,99.0,8.7,9.9
2023,1,1,3.12,8.7,9.9
2023,1,1,99.0,8.6,9.9
2023,1,1,99.0,8.7,9.9
2023,1,1,3.08,8.6,10.0
2023,1,1,99.0,8.6,10.0
2023,1,1,99.0,8.6,10.0
2023,1,1,2.98,8.6,9.9
2023,1,1,99.0,8.4,10.0
2023,1,1,99.0,8.5,999.0
2023,1,1,3.24,8.6,10.0
2023,1,1,99.0,8.5,10.0
2023,1,1,99.0,8.5,10.0
2023,1,1,3.07,8.4,10.0
2023,1,1,99.0,8.4,10.0
2023,1,1,99.0,8.5,10.0
2023,1,1,2.75,8.5,10.0
2023,1,1,99.0,8.4,10.0
2023,1,1,99.0,8.4,10.0
2023,1,1,3.16,8.4,10.0
2023,1,1,99.0,8.4,10.0
2023,1,1,99.0,8.3,10.0
2023,1,1,3.06,8.4,10.0
2023,1,1,99.0,8.4,999.0
2023,1,1,99.0,8.4,10.0
2023,1,1,3.18,8.4,10.0
2023,1,1,99.0,8.4,10.0
2023,1,1,99.0,8.4,10.0
2023,1,1,3.21,8.4,10.0
2023,1,1,99.0,8.3,10.0
2023,1,1,99.0,8.3,10.0
2023,1,1,3.0,8.2,10.0
2023,1,1,99.0,7.8,10.0
2023,1,1,99.0,7.9,10.0
2023,1,1,3.17,7.8,10.0
2023,1,1,99.0,8.0,10.0
2023,1,1,99.0,8.1,10.0
2023,1,1,3.37,8.1,10.0
2023,1,1,99.0,8.1,10.0
2023,1,1,99.0,8.3,10.0
2023,1,1,3.08,8.4,10.0
2023,1,1,99.0,8.2,10.0
2023,1,1,99.0,8.2,10.0
2023,1,1,3.05,7.9,10.0
2023,1,1,99.0,7.9,10.0
2023,1,1,99.0,8.0,10.0
2023,1,1,3.04,7.9,10.0
2023,1,1,99.0,8.1,10.0
2023,1,1,99.0,8.1,10.0
2023,1,1,3.43,7.9,10.0
2023,1,1,99.0,7.8,10.0
2023,1,1,99.0,8.1,10.0
2023,1,1,3.09,8.1,9.9
2023,1,1,99.0,8.2,10.0
2023,1,1,99.0,8.1,10.0
2023,1,1,3.56,8.0,10.0
2023,1,1,99.0,8.1,9.9
2023,1,1,99.0,8.2,10.0
2023,1,1,3.26,8.2,9.9
2023,1,1,99.0,8.2,9.9
2023,1,1,99.0,8.2,9.9
2023,1,1,3.42,8.2,9.9
2023,1,1,99.0,8.3,9.9
2023,1,1,99.0,8.2,10.0
2023,1,1,3.19,8.2,9.9
2023,1,1,99.0,8.3,10.0
2023,1,1,99.0,8.2,10.0
2023,1,1,3.44,8.2,9.9
2023,1,1,99.0,8.0,9.9
2023,1,1,99.0,7.8,9.9
2023,1,1,3.08,7.7,9.9
2023,1,1,99.0,7.8,9.9
2023,1,1,99.0,7.6,9.9
2023,1,1,3.4,7.6,9.9
2023,1,1,99.0,7.7,9.9
2023,1,1,99.0,7.7,9.9
2023,1,1,3.38,7.7,9.9
2023,1,1,99.0,7.5,9.9
2023,1,1,99.0,7.5,9.9
2023,1,1,3.03,7.5,9.9
2023,1,1,99.0,7.4,9.9
2023,1,1,99.0,7.3,9.9
2023,1,1,3.05,7.4,9.9
2023,1,1,99.0,7.4,9.9
2023,1,1,99.0,7.4,9.9
2023,1,1,3.05,7.1,9.9
2023,1,1,99.0,7.0,9.9
2023,1,1,99.0,6.8,9.9
2023,1,1,2.76,6.8,9.9
2023,1,1,99.0,6.7,9.9
2023,1,1,99.0,6.5,9.9
2023,1,1,2.61,6.5,10.0
2023,1,1,99.0,6.4,9.9
2023,1,1,99.0,6.5,9.9
2023,1,1,2.58,6.4,9.9
2023,1,1,99.0,6.5,9.9
2023,1,1,99.0,6.6,9.9
