#YY,MM,DD,WVHT,ATMP,WTMP
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.3,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,1,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.2,99.0,99.0
2023,1,2,32.1,99.0,99.0
2023,1,2,32.1,99.0,99.0
2023,1,2,32.1,99.0,99.0
2023,1,2,32.1,99.0,99.0
2023,1,2,32.1,99.0,99.0
2023,1,2,32.1,99.0,99.0
2023,1,2,32.1,99.0,99.0
2023,1,2,32.1,99.0,99.0
2023,1,2,32.1,99.0,99.0
2023,1,2,32.1,99.0,99.0
2023,1,2,32.1,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,31.9,99.0,99.0
2023,1,2,31.9,99.0,99.0
2023,1,2,31.9,99.0,99.0
2023,1,2,31.9,99.0,99.0
2023,1,2,31.9,99.0,99.0
2023,1,2,31.9,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,2,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,31.9,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,31.9,99.0,99.0
2023,1,3,31.9,99.0,99.0
2023,1,3,31.9,99.0,99.0
2023,1,3,31.9,99.0,99.0
2023,1,3,31.9,99.0,99.0
2023,1,3,31.9,99.0,99.0
2023,1,3,31.9,99.0,99.0
2023,1,3,31.9,99.0,99.0
2023,1,3,31.9,99.0,99.0
2023,1,3,31.9,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.0,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.1,99.0,99.0
2023,1,3,32.2,99.0,99.0
2023,1,3,32.2,99.0,99.0
2023,1,3,32.2,99.0,99.0
2023,1,3,32.2,99.0,99.0
2023,1,3,32.2,99.0,99.0
2023,1,3,32.2,99.0,99.0
2023,1,3,32.2,99.0,99.0
2023,1,3,32.2,99.0,99.0
2023,1,3,32.2,99.0,99.0
2023,1,3,32.2,99.0,99.0
2023,1,3,32.2,99.0,99.0
2023,1,3,32.2,99.0,99.0
2023,1,3,32.2,99.0,99.0
2023,1,3,32.2,99.0,99.0
2023,1,3,32.2,99.0,99.0
