#YY,MM,DD,WVHT,ATMP,WTMP
2022,1,1,0.65,999.0,21.3
2022,1,1,0.65,999.0,21.3
2022,1,1,0.67,999.0,21.3
2022,1,1,0.71,999.0,21.4
2022,1,1,0.62,999.0,21.3
2022,1,1,0.61,999.0,21.3
2022,1,1,0.63,999.0,21.3
2022,1,1,0.59,999.0,21.3
2022,1,1,0.56,999.0,21.3
2022,1,1,0.58,999.0,21.3
2022,1,1,0.53,999.0,21.3
2022,1,1,0.56,999.0,21.3
2022,1,1,0.59,999.0,21.3
2022,1,1,0.56,999.0,21.2
2022,1,1,0.56,999.0,21.2
2022,1,1,0.57,999.0,21.3
2022,1,1,0.57,999.0,21.3
2022,1,1,0.56,999.0,21.2
2022,1,1,0.56,999.0,21.2
2022,1,1,0.54,999.0,21.2
2022,1,1,0.54,999.0,21.2
2022,1,1,0.52,999.0,21.2
2022,1,1,0.56,999.0,21.2
2022,1,1,0.51,999.0,21.2
2022,1,1,0.51,999.0,21.2
2022,1,1,0.52,999.0,21.2
2022,1,1,0.55,999.0,21.3
2022,1,1,0.54,999.0,21.3
2022,1,1,0.54,999.0,21.3
2022,1,1,0.56,999.0,21.3
2022,1,1,0.57,999.0,21.4
2022,1,1,0.56,999.0,21.4
2022,1,1,0.57,999.0,21.5
2022,1,1,0.59,999.0,21.5
2022,1,1,0.57,999.0,21.6
2022,1,1,0.6,999.0,21.7
2022,1,1,0.63,999.0,21.7
2022,1,1,0.64,999.0,21.8
2022,1,1,0.62,999.0,21.8
2022,1,1,0.7,999.0,21.8
2022,1,1,0.7,999.0,21.9
2022,1,1,0.72,999.0,21.9
2022,1,1,0.71,999.0,21.8
2022,1,1,0.75,999.0,21.8
2022,1,1,0.77,999.0,21.7
2022,1,1,0.77,999.0,21.6
2022,1,1,0.82,999.0,21.6
2022,1,1,0.75,999.0,21.6
2022,1,2,0.79,999.0,21.5
2022,1,2,0.81,999.0,21.6
2022,1,2,0.83,999.0,21.5
2022,1,2,0.8,999.0,21.6
2022,1,2,0.83,999.0,21.5
2022,1,2,0.82,999.0,21.5
2022,1,2,0.79,999.0,21.5
2022,1,2,0.82,999.0,21.5
2022,1,2,0.8,999.0,21.5
2022,1,2,0.81,999.0,21.5
2022,1,2,0.78,999.0,21.5
2022,1,2,0.8,999.0,21.4
2022,1,2,0.83,999.0,21.4
2022,1,2,0.84,999.0,21.4
2022,1,2,0.79,999.0,21.4
2022,1,2,0.84,999.0,21.4
2022,1,2,0.85,999.0,21.5
2022,1,2,0.88,999.0,21.5
2022,1,2,0.92,999.0,21.6
2022,1,2,0.96,999.0,21.6
2022,1,2,0.93,999.0,21.6
2022,1,2,0.99,999.0,21.5
2022,1,2,0.97,999.0,21.5
2022,1,2,0.94,999.0,21.5
2022,1,2,0.95,999.0,21.4
2022,1,2,0.98,999.0,21.4
2022,1,2,0.99,999.0,21.5
2022,1,2,1.03,999.0,21.5
2022,1,2,1.04,999.0,21.5
2022,1,2,1.02,999.0,21.5
2022,1,2,1.02,999.0,21.6
2022,1,2,1.01,999.0,21.6
2022,1,2,0.99,999.0,21.7
2022,1,2,1.01,999.0,21.8
2022,1,2,1.06,999.0,21.8
2022,1,2,1.0,999.0,21.9
2022,1,2,1.0,999.0,22.0
2022,1,2,0.94,999.0,22.2
2022,1,2,1.01,999.0,22.1
2022,1,2,0.95,999.0,22.1
2022,1,2,0.98,999.0,22.2
2022,1,2,0.93,999.0,22.1
2022,1,2,1.03,999.0,22.1
2022,1,2,0.97,999.0,22.1
2022,1,2,0.95,999.0,22.1
2022,1,2,1.0,999.0,22.1
2022,1,2,1.02,999.0,22.0
2022,1,2,1.03,999.0,21.9
2022,1,3,1.01,999.0,21.9
2022,1,3,1.02,999.0,22.0
2022,1,3,0.99,999.0,22.0
2022,1,3,0.95,999.0,22.0
2022,1,3,0.99,999.0,21.9
2022,1,3,1.05,999.0,21.9
2022,1,3,1.02,999.0,21.9
2022,1,3,1.09,999.0,21.8
2022,1,3,1.07,999.0,21.8
2022,1,3,1.17,999.0,21.8
2022,1,3,1.19,999.0,21.8
2022,1,3,1.28,999.0,21.9
2022,1,3,1.27,999.0,21.9
2022,1,3,1.28,999.0,21.8
2022,1,3,1.31,999.0,21.8
2022,1,3,1.35,999.0,21.8
2022,1,3,1.41,999.0,21.8
2022,1,3,1.47,999.0,21.8
2022,1,3,1.55,999.0,21.7
2022,1,3,1.79,999.0,21.6
2022,1,3,1.91,999.0,21.6
2022,1,3,1.89,999.0,21.5
2022,1,3,2.07,999.0,21.5
2022,1,3,2.04,999.0,21.5
2022,1,3,2.0,999.0,21.5
2022,1,3,2.14,999.0,21.5
2022,1,3,2.17,999.0,21.5
2022,1,3,2.28,999.0,21.5
2022,1,3,2.32,999.0,21.5
2022,1,3,2.14,999.0,21.5
2022,1,3,2.16,999.0,21.5
2022,1,3,2.12,999.0,21.5
2022,1,3,2.05,999.0,21.6
2022,1,3,1.98,999.0,21.5
2022,1,3,1.9,999.0,21.5
2022,1,3,1.98,999.0,21.5
2022,1,3,1.94,999.0,21.4
2022,1,3,2.03,999.0,21.4
