#YY,MM,DD,WVHT,ATMP,WTMP
2019,1,1,2.97,999.0,24.6
2019,1,2,2.65,999.0,24.6
2019,1,3,3.16,999.0,24.6
2019,1,4,3.09,999.0,24.6
2019,1,5,3.21,999.0,24.6
2019,1,6,2.86,999.0,24.6
2019,1,7,1.61,999.0,25.2
2019,1,8,2.5,999.0,24.6
2019,1,9,3.77,999.0,24.6
2019,1,10,3.71,999.0,24.6
2019,1,11,2.58,999.0,24.7
2019,1,12,2.29,999.0,24.8
2019,1,13,3.72,999.0,24.7
2019,1,14,3.26,999.0,24.7
2019,1,15,3.06,999.0,24.6
2019,1,16,3.14,999.0,24.9
2019,1,17,2.39,999.0,25.1
2019,1,18,2.41,999.0,24.9
2019,1,19,3.02,999.0,24.8
2019,1,20,2.38,999.0,24.5
2019,1,21,2.13,999.0,24.5
2019,1,22,2.1,999.0,24.4
2019,1,23,2.51,999.0,24.5
2019,1,24,3.45,999.0,24.6
2019,1,25,2.86,999.0,24.6
2019,1,26,3.62,999.0,24.5
2019,1,27,3.58,999.0,24.4
2019,1,28,2.95,999.0,24.1
2019,1,29,4.9,999.0,24.1
2019,2,1,4.43,999.0,23.9
2019,2,2,3.97,999.0,24.0
2019,2,3,3.12,999.0,23.9
2019,2,4,2.29,999.0,24.0
2019,2,5,2.68,999.0,24.0
2019,2,6,2.74,999.0,24.0
2019,2,7,2.59,999.0,24.0
2019,2,8,2.94,999.0,24.2
2019,2,9,5.04,999.0,24.0
2019,2,10,5.15,999.0,24.0
2019,2,11,7.73,999.0,23.7
2019,2,12,4.12,999.0,23.7
2019,2,13,4.92,999.0,23.3
2019,2,14,5.31,999.0,23.5
2019,2,15,5.15,999.0,23.5
2019,2,16,5.49,999.0,23.7
2019,2,17,4.84,999.0,23.6
2019,2,18,4.29,999.0,23.5
2019,2,19,3.87,999.0,23.9
2019,2,20,3.24,999.0,23.5
2019,2,21,3.24,999.0,23.8
2019,2,22,2.45,999.0,23.9
2019,2,23,1.95,999.0,24.1
2019,2,24,1.52,999.0,24.2
2019,2,25,1.32,999.0,23.8
2019,2,26,2.51,999.0,24.1
2019,2,27,2.61,999.0,24.1
2019,2,28,4.04,999.0,24.0
2019,3,1,3.88,999.0,24.0
2019,3,2,2.32,999.0,24.5
2019,3,3,2.09,999.0,24.2
2019,3,4,2.62,999.0,24.0
2019,3,5,3.03,999.0,23.9
2019,3,6,2.84,999.0,23.9
2019,3,7,2.91,999.0,23.8
2019,3,8,3.33,999.0,23.7
2019,3,9,3.16,999.0,23.7
2019,3,10,3.99,999.0,23.6
2019,3,11,4.02,999.0,23.3
2019,3,12,2.88,999.0,23.4
2019,3,13,2.32,999.0,23.5
2019,3,14,2.14,999.0,23.5
2019,3,15,2.24,999.0,23.8
2019,3,16,1.86,999.0,24.2
2019,3,17,3.31,999.0,24.1
2019,3,18,6.35,999.0,23.8
2019,3,19,5.01,999.0,23.9
2019,3,20,2.53,999.0,23.8
2019,3,21,2.55,999.0,23.9
2019,3,22,2.86,999.0,23.7
2019,3,23,3.8,999.0,23.7
2019,3,24,3.48,999.0,23.8
2019,3,25,3.05,999.0,23.7
2019,3,26,2.53,999.0,23.7
2019,3,27,1.88,999.0,23.8
2019,3,28,2.36,999.0,24.2
2019,3,29,2.79,999.0,25.0
2019,3,30,3.38,999.0,24.7
2019,3,31,2.71,999.0,25.3
2019,4,1,2.45,999.0,25.4
2019,4,2,1.89,999.0,24.7
2019,4,3,2.68,999.0,24.6
2019,4,4,2.47,999.0,24.6
2019,4,5,1.95,999.0,24.4
2019,4,6,1.95,999.0,24.1
2019,4,7,1.83,999.0,24.9
2019,4,8,2.32,999.0,24.8
2019,4,9,2.35,999.0,24.8
2019,4,10,2.49,999.0,24.4
2019,4,11,3.38,999.0,24.3
2019,4,12,3.72,999.0,24.2
2019,4,13,3.85,999.0,24.2
2019,4,14,4.06,999.0,24.3
2019,4,15,3.02,999.0,24.1
2019,4,16,2.39,999.0,24.1
2019,4,17,2.04,999.0,24.4
2019,4,18,1.72,999.0,24.1
2019,4,19,2.26,999.0,24.0
2019,4,20,2.3,999.0,24.1
2019,4,21,2.36,999.0,23.9
2019,4,22,2.04,999.0,23.9
2019,4,23,2.35,999.0,24.0
2019,4,24,2.14,999.0,24.1
2019,4,25,2.05,999.0,24.2
2019,4,26,2.07,999.0,24.3
2019,4,27,1.99,999.0,24.2
2019,4,28,1.73,999.0,24.9
2019,4,29,1.97,999.0,24.8
2019,4,30,1.75,999.0,24.9
2019,5,1,1.83,999.0,25.0
2019,5,2,1.98,999.0,24.4
2019,5,3,1.74,999.0,24.7
2019,5,4,1.35,999.0,25.3
2019,5,5,2.7,999.0,24.7
2019,5,6,2.97,999.0,24.8
2019,5,7,2.23,999.0,25.7
2019,5,8,1.68,999.0,25.1
2019,5,9,1.52,999.0,25.9
2019,5,10,1.71,999.0,26.1
2019,5,11,1.71,999.0,26.3
2019,5,12,1.31,999.0,26.3
2019,5,13,1.14,999.0,25.8
2019,5,14,1.24,999.0,25.6
2019,5,15,1.48,999.0,25.5
2019,5,16,1.72,999.0,25.5
2019,5,17,1.55,999.0,25.2
2019,5,18,1.39,999.0,25.2
2019,5,19,1.78,999.0,25.2
2019,5,20,1.75,999.0,25.3
2019,5,21,1.6,999.0,25.3
2019,5,22,1.61,999.0,25.9
2019,5,23,2.01,999.0,25.4
2019,5,24,2.37,999.0,25.1
2019,5,25,2.45,999.0,25.0
2019,5,26,2.6,999.0,25.0
2019,5,27,2.38,999.0,25.9
2019,5,28,1.97,999.0,25.2
2019,5,29,1.94,999.0,25.5
2019,5,30,1.62,999.0,26.0
2019,5,31,1.94,999.0,25.5
2019,6,1,2.18,999.0,25.5
2019,6,2,2.1,999.0,25.5
2019,6,3,1.91,999.0,25.1
2019,6,4,2.03,999.0,25.0
2019,6,5,1.99,999.0,25.8
2019,6,6,1.85,999.0,25.5
2019,6,7,1.69,999.0,25.4
2019,6,8,1.36,999.0,25.7
2019,6,9,1.43,999.0,26.0
2019,6,10,1.43,999.0,26.1
2019,6,11,1.57,999.0,26.4
2019,6,12,1.51,999.0,26.3
2019,6,13,1.42,999.0,26.1
