#YY,MM,DD,WVHT,ATMP,WTMP
2019,1,1,0.93,14.4,15.6
2019,1,2,1.3,13.3,15.8
2019,1,3,2.09,15.3,15.6
2019,1,4,1.19,10.4,15.3
2019,1,5,0.74,13.6,13.7
2019,1,6,0.4,16.6,15.6
2019,1,7,1.21,16.8,14.6
2019,1,8,0.96,16.9,15.1
2019,1,9,1.45,13.6,15.2
2019,1,10,0.88,13.2,14.7
2019,1,11,0.7,16.7,16.3
2019,1,12,1.55,16.6,15.9
2019,1,13,1.1,11.6,15.8
2019,1,14,0.85,9.9,15.6
2019,1,15,0.55,10.1,15.6
2019,1,16,0.76,16.0,15.8
2019,1,17,1.14,17.1,15.4
2019,1,18,0.84,16.1,15.9
2019,1,19,2.09,13.1,15.6
2019,1,20,1.81,9.3,15.2
2019,1,21,0.97,15.6,14.7
2019,1,22,2.26,17.4,14.6
2019,1,23,2.36,11.0,999.0
2019,1,24,1.24,9.2,14.6
2019,1,25,0.66,12.8,13.9
2019,1,26,0.93,14.2,13.5
2019,1,27,0.78,11.2,13.3
2019,1,28,0.78,16.1,14.6
2019,1,29,1.97,7.4,14.2
2019,1,30,1.17,10.7,14.7
2019,1,31,1.66,15.0,14.6
2019,2,1,1.68,16.0,14.7
2019,2,2,1.17,15.2,14.6
2019,2,3,0.8,15.6,15.0
2019,2,4,0.53,16.7,15.1
2019,2,5,0.4,18.0,15.8
2019,2,6,0.89,18.1,16.5
2019,2,7,1.43,15.2,15.7
2019,2,8,1.57,6.4,15.1
2019,2,9,1.4,7.9,15.3
2019,2,10,1.66,14.4,15.2
2019,2,11,1.05,17.2,15.7
2019,2,12,0.92,16.7,16.7
2019,2,13,0.96,13.2,15.3
2019,2,14,1.29,17.4,15.8
2019,2,15,1.12,17.5,16.4
2019,2,16,0.92,18.4,16.7
2019,2,17,1.31,13.4,16.6
2019,2,18,2.3,12.7,16.0
2019,2,19,2.38,14.4,16.1
2019,2,20,1.21,17.9,16.1
2019,2,21,1.37,14.3,16.4
2019,2,22,0.96,15.4,16.3
2019,2,23,0.92,19.3,17.7
2019,2,24,1.06,12.5,16.0
2019,2,25,1.73,14.6,16.9
2019,2,26,1.64,16.4,16.1
2019,2,27,1.28,17.6,16.4
2019,2,28,0.69,14.2,17.7
2019,3,1,0.8,12.0,17.2
2019,3,2,0.64,18.0,17.7
2019,3,3,1.44,13.2,17.8
2019,3,4,1.64,6.3,17.2
2019,3,5,1.44,2.9,16.6
2019,3,6,0.94,10.5,16.4
2019,3,7,1.18,17.9,16.6
2019,3,8,1.23,18.3,16.2
2019,3,9,1.38,19.9,17.4
2019,3,10,1.12,18.9,16.3
2019,3,11,0.71,19.9,18.8
2019,3,12,1.23,18.8,17.8
2019,3,13,2.22,20.3,18.5
2019,3,14,2.05,20.8,18.5
2019,3,15,1.58,16.7,18.9
2019,3,16,1.35,13.9,17.9
2019,3,17,0.94,13.7,17.7
2019,3,18,1.15,16.7,17.5
2019,3,19,1.25,16.7,17.1
2019,3,20,0.93,17.1,17.2
2019,3,21,0.51,15.9,17.0
2019,3,22,0.37,18.0,17.3
2019,3,23,0.75,19.2,18.3
2019,3,24,0.84,18.7,18.5
2019,3,25,0.71,19.4,18.8
2019,3,26,1.12,17.8,18.6
2019,3,27,1.31,17.0,18.9
2019,3,28,0.9,18.8,18.5
2019,3,29,1.07,20.0,19.1
2019,3,30,1.03,20.0,19.5
2019,3,31,1.73,12.1,19.2
2019,4,1,1.15,12.4,18.7
2019,4,2,0.72,13.1,18.4
2019,4,3,1.23,18.8,18.4
2019,4,4,1.56,19.3,18.4
2019,4,5,1.01,19.6,18.8
2019,4,6,0.77,20.4,18.9
2019,4,7,1.36,19.9,19.1
2019,4,8,1.6,20.2,19.1
2019,4,9,0.68,22.3,19.7
2019,4,10,0.73,22.5,22.2
2019,4,11,1.78,21.2,20.1
2019,4,12,1.69,21.5,20.8
2019,4,13,1.61,22.4,21.3
2019,4,14,1.88,12.2,20.5
2019,4,15,0.75,20.8,20.8
2019,4,16,1.32,20.9,20.5
2019,4,17,1.24,21.2,20.6
2019,4,18,1.85,22.2,21.1
2019,4,19,1.34,20.4,21.1
2019,4,20,1.12,20.7,20.9
2019,4,21,1.21,21.2,21.0
2019,4,22,1.38,20.9,20.8
2019,4,23,1.33,21.3,21.2
2019,4,24,1.19,21.4,21.3
2019,4,25,1.16,22.4,21.7
2019,4,26,0.73,22.7,22.2
2019,4,27,0.61,23.1,23.4
2019,4,28,0.87,22.7,22.9
2019,4,29,1.24,22.7,22.7
2019,4,30,1.52,24.2,23.5
2019,5,1,1.46,23.9,23.4
2019,5,2,1.68,24.3,23.8
2019,5,3,1.19,24.3,24.2
2019,5,4,0.91,21.0,24.2
2019,5,5,0.91,23.5,24.2
2019,5,6,0.67,24.5,25.1
2019,5,7,1.12,25.1,25.4
2019,5,8,1.62,25.4,25.4
2019,5,9,1.63,25.7,25.7
2019,5,10,2.14,20.6,24.7
2019,5,11,1.29,24.1,24.8
2019,5,12,1.0,21.4,24.3
2019,5,13,0.79,22.4,24.3
2019,5,14,0.97,25.0,25.2
2019,5,15,1.27,24.5,24.8
2019,5,16,0.95,24.2,25.0
2019,5,17,1.03,25.5,25.6
2019,5,18,1.39,26.1,25.8
2019,5,19,1.52,26.0,25.5
2019,5,20,1.4,26.4,26.0
2019,5,21,2.56,26.2,25.9
2019,5,22,1.79,26.6,26.9
2019,5,23,2.05,26.6,26.6
2019,5,24,1.76,26.5,26.5
2019,5,25,1.31,26.5,26.7
2019,5,26,1.26,26.3,26.9
2019,5,27,1.33,26.6,27.1
2019,5,28,1.44,27.3,27.4
2019,5,29,1.78,26.8,27.3
2019,5,30,1.4,27.4,28.5
2019,5,31,0.92,27.6,29.0
2019,6,1,0.76,27.5,28.8
2019,6,2,0.52,28.1,29.3
2019,6,3,0.59,28.4,29.5
2019,6,4,0.93,25.0,29.4
2019,6,5,2.43,27.9,28.4
2019,6,6,2.5,28.5,28.6
2019,6,7,1.18,28.7,28.8
2019,6,8,1.01,29.4,29.4
2019,6,9,0.59,29.4,29.2
2019,6,10,0.79,28.1,29.4
2019,6,11,1.27,26.7,29.2
2019,6,12,0.64,26.8,29.2
2019,6,13,0.31,27.6,29.2
2019,6,14,0.66,28.6,29.7
2019,6,15,1.51,29.1,28.9
2019,6,16,1.79,29.0,29.4
2019,6,17,1.73,24.1,29.3
2019,6,18,0.9,28.2,29.2
2019,6,19,0.88,29.5,29.9
2019,6,20,1.38,29.4,29.4
2019,6,21,1.5,29.7,29.7
2019,6,22,1.77,29.3,29.4
2019,6,24,2.15,24.5,28.6
2019,6,25,1.55,25.7,28.3
2019,6,26,1.4,28.7,28.1
2019,6,27,1.02,28.7,28.2
2019,6,28,0.64,28.8,28.8
2019,6,29,0.74,23.8,29.1
2019,6,30,0.61,27.7,28.9
2019,7,1,0.86,28.1,28.6
2019,7,2,0.92,26.0,29.0
2019,7,3,1.4,27.8,28.5
2019,7,4,1.35,29.1,28.7
2019,7,5,1.08,29.9,29.4
2019,7,6,0.79,29.3,999.0
2019,7,7,0.47,29.9,30.0
2019,7,8,0.56,30.0,29.5
2019,7,9,0.85,29.7,29.8
2019,7,10,0.69,29.5,30.2
2019,7,11,0.74,28.9,29.7
2019,7,12,0.87,32.4,30.1
2019,7,13,1.11,28.0,29.6
2019,7,14,2.78,27.8,29.2
2019,7,15,1.92,28.8,29.2
2019,7,16,1.28,29.8,29.3
2019,7,17,0.98,29.7,29.1
2019,7,18,0.89,29.7,999.0
2019,7,19,0.79,30.1,999.0
2019,7,20,0.84,30.0,999.0
2019,7,21,1.27,26.8,999.0
2019,7,22,1.03,28.5,999.0
2019,7,23,0.83,28.4,999.0
2019,7,24,1.48,27.3,999.0
2019,7,25,1.18,28.0,999.0
2019,7,26,1.06,31.2,999.0
2019,7,27,0.86,29.1,999.0
2019,7,28,0.85,29.1,999.0
2019,7,29,0.86,29.2,999.0
2019,7,30,0.93,29.2,999.0
2019,7,31,0.73,24.4,999.0
2019,8,1,0.46,29.0,999.0
2019,8,2,0.32,29.3,999.0
2019,8,3,0.29,30.2,999.0
2019,8,4,0.37,29.8,999.0
2019,8,5,0.61,29.4,999.0
2019,8,6,0.65,30.2,999.0
2019,8,7,0.85,30.2,999.0
2019,8,8,1.08,30.5,999.0
2019,8,9,1.24,31.5,999.0
2019,8,10,0.93,30.5,999.0
2019,8,11,0.91,30.6,999.0
2019,8,12,0.81,30.4,999.0
2019,8,13,0.78,30.7,999.0
2019,8,14,0.68,30.5,999.0
2019,8,15,0.55,29.9,999.0
2019,8,16,0.46,30.4,999.0
2019,8,17,0.83,30.5,999.0
2019,8,18,1.33,31.1,999.0
