#YY,MM,DD,WVHT,ATMP,WTMP
2019,1,1,1.58,17.5,20.2
2019,1,2,1.78,18.3,20.7
2019,1,3,2.55,12.3,21.7
2019,1,4,1.79,13.1,21.3
2019,1,5,0.71,15.6,21.5
2019,1,6,1.16,21.2,21.7
2019,1,7,1.73,21.4,21.5
2019,1,8,1.05,21.7,20.8
2019,1,9,2.11,16.2,20.1
2019,1,10,1.94,16.0,20.2
2019,1,11,1.06,20.3,21.4
2019,1,12,2.13,21.1,21.0
2019,1,13,1.67,12.4,20.8
2019,1,14,1.29,12.7,20.8
2019,1,15,0.91,12.1,20.7
2019,1,16,1.35,19.5,20.5
2019,1,17,1.67,20.5,20.6
2019,1,18,0.9,21.4,20.5
2019,1,19,3.42,12.5,19.9
2019,1,20,3.15,11.2,20.0
2019,1,21,1.05,19.0,20.8
2019,1,22,4.26,21.7,20.8
2019,1,23,4.26,11.6,20.8
2019,1,24,2.22,12.3,20.5
2019,1,25,1.11,14.5,20.4
2019,1,26,1.34,17.3,20.2
2019,1,27,1.53,15.7,20.3
2019,1,28,1.31,20.0,19.8
2019,1,29,3.25,10.9,19.4
2019,1,30,1.76,10.5,19.8
2019,1,31,2.16,18.6,19.5
2019,2,1,2.7,20.0,19.5
2019,2,2,2.2,18.3,19.6
2019,2,3,1.25,20.3,20.0
2019,2,4,0.85,20.1,19.6
2019,2,5,0.59,19.4,18.8
2019,2,6,1.09,20.4,19.5
2019,2,7,1.82,17.5,19.8
2019,2,8,3.56,11.5,19.9
2019,2,9,2.73,14.8,19.7
2019,2,10,2.41,16.4,19.8
2019,2,11,1.55,20.5,19.4
2019,2,12,1.6,18.1,19.5
2019,2,13,1.97,16.9,19.2
2019,2,14,1.86,19.5,20.0
2019,2,15,1.44,20.6,20.6
2019,2,16,1.06,21.2,21.3
2019,2,17,1.68,17.2,21.9
2019,2,18,3.76,15.9,21.3
2019,2,19,3.89,17.4,21.1
2019,2,20,2.08,21.6,21.3
2019,2,21,1.89,19.1,21.0
2019,2,22,1.3,19.8,21.3
2019,2,23,1.42,22.5,21.6
2019,2,24,1.97,16.0,21.5
2019,2,25,1.97,21.0,21.4
2019,2,26,2.6,21.5,21.4
2019,2,27,1.84,22.1,21.7
2019,2,28,1.14,19.9,22.5
2019,3,1,1.24,15.7,22.1
2019,3,2,0.78,21.5,22.2
2019,3,3,2.08,15.8,22.0
2019,3,4,2.62,14.4,21.9
2019,3,5,1.99,8.3,21.1
2019,3,6,1.55,9.8,20.8
2019,3,7,1.68,21.0,19.4
2019,3,8,1.71,22.0,21.0
2019,3,9,1.55,21.9,21.0
2019,3,10,1.47,22.0,21.1
2019,3,11,1.22,22.1,21.9
2019,3,12,1.33,21.9,21.6
2019,3,13,3.09,22.4,21.4
2019,3,14,2.78,22.5,20.8
2019,3,15,3.03,18.0,20.3
2019,3,16,2.1,16.1,20.3
2019,3,17,1.75,14.8,20.8
2019,3,18,1.79,18.5,20.9
2019,3,19,2.8,18.8,21.0
2019,3,20,2.25,19.8,21.2
2019,3,21,0.93,19.2,21.3
2019,3,22,0.54,19.4,21.2
2019,3,23,1.33,21.1,21.2
2019,3,24,1.47,21.2,21.1
2019,3,25,0.98,21.7,21.5
2019,3,26,1.6,19.8,21.9
2019,3,27,1.55,19.4,21.9
2019,3,28,1.29,19.3,21.8
2019,3,29,1.52,22.1,21.8
2019,3,30,1.61,21.8,21.7
2019,3,31,3.32,14.0,21.5
2019,4,1,1.97,13.6,21.5
2019,4,2,1.29,15.0,21.2
2019,4,3,1.52,21.3,21.4
2019,4,4,1.74,22.4,21.3
2019,4,5,1.51,22.3,22.0
2019,4,6,1.26,22.9,22.6
