#YY,MM,DD,WVHT,ATMP,WTMP
2019,1,1,2.39,999.0,8.9
2019,1,2,1.81,999.0,8.7
2019,1,3,1.15,999.0,8.6
2019,1,4,0.73,999.0,8.1
2019,1,22,0.57,999.0,5.5
2019,1,23,1.48,999.0,5.9
2019,1,24,3.46,999.0,5.6
2019,1,25,3.71,999.0,5.6
2019,1,26,1.62,999.0,5.2
2019,1,27,1.37,999.0,5.2
2019,1,28,1.39,999.0,5.3
2019,1,29,1.93,999.0,5.2
2019,1,30,2.71,999.0,5.5
2019,1,31,2.7,999.0,5.4
2019,2,1,0.94,999.0,4.4
2019,2,2,1.16,999.0,4.2
2019,2,3,1.38,999.0,4.2
2019,2,4,0.37,999.0,4.9
2019,2,5,1.68,999.0,4.3
2019,2,6,1.57,999.0,4.4
2019,2,7,1.45,999.0,4.3
2019,2,8,1.57,999.0,4.8
2019,2,9,1.89,999.0,4.6
2019,2,10,1.1,999.0,4.2
2019,2,11,0.55,999.0,4.6
2019,2,12,3.46,999.0,5.0
2019,2,13,3.56,999.0,5.2
2019,2,14,1.79,999.0,5.1
2019,2,15,1.72,999.0,4.8
2019,2,16,1.71,999.0,4.7
2019,2,17,1.56,999.0,4.8
2019,2,18,1.79,999.0,4.8
2019,2,19,2.04,999.0,4.8
2019,2,20,1.48,999.0,5.1
2019,2,21,1.99,999.0,4.8
2019,2,22,1.76,999.0,5.0
2019,2,23,0.75,999.0,5.3
2019,2,24,2.2,999.0,5.3
2019,2,25,2.89,999.0,5.2
2019,2,26,2.41,999.0,5.0
2019,2,27,1.4,999.0,4.7
2019,2,28,1.48,999.0,5.1
2019,3,1,2.12,999.0,5.1
2019,3,2,2.87,999.0,5.2
2019,3,3,1.8,999.0,5.1
2019,3,4,2.46,999.0,5.0
2019,3,5,1.54,999.0,4.8
2019,3,6,1.73,999.0,5.0
2019,3,7,1.23,999.0,4.9
2019,3,8,0.83,999.0,4.8
2019,3,9,0.47,999.0,4.4
2019,3,10,3.07,999.0,4.8
2019,3,11,2.27,999.0,4.8
2019,3,12,1.42,999.0,4.9
2019,3,13,1.1,999.0,5.1
2019,3,14,0.91,999.0,5.6
2019,3,15,2.1,999.0,5.3
2019,3,16,2.5,999.0,5.3
2019,3,17,1.34,999.0,5.6
2019,3,18,0.81,999.0,5.6
2019,3,19,0.69,999.0,5.6
2019,3,20,0.6,999.0,5.8
2019,3,21,2.64,999.0,6.0
2019,3,22,3.27,999.0,6.0
2019,3,23,2.46,999.0,5.7
2019,3,24,1.53,999.0,5.9
2019,3,25,1.52,999.0,5.9
2019,3,26,2.52,999.0,5.8
2019,3,27,2.16,999.0,5.7
2019,3,28,1.77,999.0,6.0
2019,3,29,1.45,999.0,6.5
2019,3,30,1.34,999.0,7.4
2019,3,31,2.03,999.0,6.9
2019,4,1,1.99,999.0,6.3
2019,4,2,1.39,999.0,6.5
2019,4,3,2.6,999.0,6.3
2019,4,4,1.6,999.0,6.6
2019,4,5,1.34,999.0,6.6
2019,4,6,1.88,999.0,6.6
2019,4,7,1.45,999.0,7.2
2019,4,8,1.33,999.0,7.3
2019,4,9,1.34,999.0,7.9
2019,4,10,1.32,999.0,7.9
2019,4,11,1.31,999.0,7.9
2019,4,12,1.22,999.0,8.5
2019,4,13,1.92,999.0,8.2
2019,4,14,1.56,999.0,9.5
2019,4,15,3.06,999.0,9.5
2019,4,16,2.5,999.0,9.1
2019,4,17,0.84,999.0,9.0
2019,4,18,2.18,999.0,9.6
2019,4,19,2.48,999.0,9.2
2019,4,20,2.91,999.0,9.6
2019,4,21,2.77,999.0,9.6
2019,4,22,1.9,999.0,10.0
2019,4,23,1.25,999.0,10.2
2019,4,24,1.66,999.0,10.2
2019,4,25,1.15,999.0,12.0
2019,4,26,1.97,999.0,10.9
2019,4,27,2.35,999.0,10.8
2019,4,28,1.43,999.0,11.6
2019,4,29,1.44,999.0,10.6
2019,4,30,1.11,999.0,10.8
2019,5,1,1.17,999.0,11.0
