#YY,MM,DD,WVHT,ATMP,WTMP
2019,1,1,1.44,999.0,999.0
2019,1,2,0.99,999.0,999.0
2019,1,3,1.38,999.0,999.0
2019,1,4,2.51,999.0,999.0
2019,1,5,2.32,999.0,999.0
2019,1,6,0.53,999.0,999.0
2019,1,7,0.31,999.0,999.0
2019,1,8,0.35,999.0,999.0
2019,1,9,1.95,999.0,999.0
2019,1,10,1.85,999.0,999.0
2019,1,11,0.92,999.0,999.0
2019,1,12,1.77,999.0,999.0
2019,1,13,1.58,999.0,999.0
2019,1,14,1.16,999.0,999.0
2019,1,15,0.88,999.0,999.0
2019,1,16,0.48,999.0,999.0
2019,1,17,0.27,999.0,999.0
2019,1,18,0.62,999.0,999.0
2019,1,19,2.85,999.0,999.0
2019,1,20,3.19,999.0,999.0
2019,1,21,1.31,999.0,999.0
2019,1,22,3.07,999.0,999.0
2019,1,23,4.16,999.0,999.0
2019,1,24,3.44,999.0,999.0
2019,1,25,1.47,999.0,999.0
2019,1,26,0.81,999.0,999.0
2019,1,27,1.39,999.0,999.0
2019,1,28,1.32,999.0,999.0
2019,1,29,2.22,999.0,999.0
2019,1,30,1.75,999.0,999.0
2019,1,31,1.86,999.0,999.0
2019,2,1,1.79,999.0,999.0
2019,2,2,1.86,999.0,999.0
2019,2,3,1.25,999.0,999.0
2019,2,4,0.84,999.0,999.0
2019,2,5,0.73,999.0,999.0
2019,2,6,0.56,999.0,999.0
2019,2,7,0.84,999.0,999.0
2019,2,8,2.32,999.0,999.0
2019,2,9,2.31,999.0,999.0
2019,2,10,2.01,999.0,999.0
2019,2,11,2.07,999.0,999.0
2019,2,12,1.83,999.0,999.0
2019,2,13,2.39,999.0,999.0
2019,2,14,1.11,999.0,999.0
2019,2,15,1.11,999.0,999.0
2019,2,16,1.16,999.0,999.0
2019,2,17,1.0,999.0,999.0
2019,2,18,2.32,999.0,999.0
2019,2,19,3.07,999.0,999.0
2019,2,20,1.71,999.0,999.0
2019,2,21,1.43,999.0,999.0
2019,2,22,1.0,999.0,999.0
2019,2,23,1.16,999.0,999.0
2019,2,24,1.36,999.0,999.0
2019,2,25,2.63,999.0,999.0
2019,2,26,1.97,999.0,999.0
2019,2,27,1.49,999.0,999.0
2019,2,28,0.81,999.0,999.0
2019,3,1,0.46,999.0,999.0
2019,3,2,0.67,999.0,999.0
2019,3,3,1.16,999.0,999.0
2019,3,4,1.63,999.0,999.0
2019,3,5,1.48,999.0,999.0
2019,3,6,1.95,999.0,999.0
2019,3,7,0.79,999.0,999.0
2019,3,8,1.06,999.0,999.0
2019,3,9,1.26,999.0,999.0
2019,3,10,1.46,999.0,999.0
2019,3,11,1.25,999.0,999.0
2019,3,12,0.9,999.0,999.0
2019,3,13,1.97,999.0,999.0
2019,3,14,2.3,999.0,999.0
2019,3,15,1.85,999.0,999.0
2019,3,16,1.96,999.0,999.0
2019,3,17,1.3,999.0,999.0
2019,3,18,2.08,999.0,999.0
2019,3,19,2.4,999.0,999.0
2019,3,20,1.33,999.0,999.0
2019,3,21,1.26,999.0,999.0
2019,3,22,1.08,999.0,999.0
2019,3,23,0.32,999.0,999.0
2019,3,24,0.36,999.0,999.0
2019,3,25,0.4,999.0,999.0
2019,3,26,1.25,999.0,999.0
2019,3,27,1.84,999.0,999.0
2019,3,28,1.11,999.0,999.0
2019,3,29,1.04,999.0,999.0
2019,3,30,1.16,999.0,999.0
2019,3,31,2.16,999.0,999.0
2019,4,1,1.69,999.0,999.0
2019,4,2,0.84,999.0,999.0
2019,4,3,0.84,999.0,999.0
2019,4,4,1.51,999.0,999.0
2019,4,5,1.54,999.0,999.0
2019,4,6,0.84,999.0,999.0
2019,4,7,1.18,999.0,999.0
2019,4,8,1.37,999.0,999.0
