#YY,MM,DD,WVHT,ATMP,WTMP
2019,2,1,3.51,999.0,11.7
2019,2,2,3.88,999.0,11.8
2019,2,3,4.05,999.0,11.8
2019,2,4,5.21,999.0,11.4
2019,2,5,4.21,999.0,11.4
2019,2,6,3.28,999.0,11.5
2019,2,7,2.71,999.0,11.5
2019,2,8,2.32,999.0,11.6
2019,2,9,5.67,999.0,11.4
2019,2,10,5.26,999.0,11.4
2019,2,11,4.95,999.0,11.3
2019,2,12,6.04,999.0,11.3
2019,2,13,5.03,999.0,11.2
2019,2,14,3.54,999.0,11.3
2019,2,15,6.55,999.0,11.2
2019,2,16,6.23,999.0,11.2
2019,2,17,4.28,999.0,11.3
2019,2,18,3.37,999.0,11.2
2019,2,19,2.26,999.0,11.4
2019,2,20,3.7,999.0,11.1
2019,2,21,4.13,999.0,10.5
2019,2,22,3.32,999.0,10.7
2019,2,23,3.25,999.0,10.9
2019,2,24,4.4,999.0,10.9
2019,2,25,2.39,999.0,10.8
2019,2,26,1.93,999.0,10.9
2019,2,27,1.39,999.0,10.8
2019,2,28,3.15,999.0,10.6
2019,3,1,3.4,999.0,10.7
2019,3,2,2.04,999.0,10.7
2019,3,3,2.25,999.0,10.7
2019,3,4,2.1,999.0,10.1
2019,3,5,1.63,999.0,10.4
2019,3,6,1.8,999.0,9.2
2019,3,7,1.79,999.0,9.5
2019,3,8,1.77,999.0,9.4
2019,3,9,1.62,999.0,9.2
2019,3,10,2.93,999.0,9.7
2019,3,11,3.26,999.0,9.8
2019,3,12,4.48,999.0,10.4
2019,3,13,4.52,999.0,10.4
2019,3,14,3.6,999.0,10.5
2019,3,15,2.27,999.0,10.4
2019,3,16,2.27,999.0,10.5
2019,3,17,2.61,999.0,10.4
2019,3,18,2.32,999.0,10.8
2019,3,19,2.18,999.0,10.9
2019,3,20,2.55,999.0,10.9
2019,3,21,2.49,999.0,11.0
2019,3,22,4.01,999.0,10.7
2019,3,23,3.87,999.0,10.7
2019,3,24,4.45,999.0,11.2
2019,3,25,3.63,999.0,10.9
2019,3,26,3.57,999.0,10.8
2019,3,27,3.13,999.0,11.0
2019,3,28,3.09,999.0,11.0
2019,3,29,2.78,999.0,10.8
2019,3,30,2.22,999.0,11.0
2019,3,31,1.65,999.0,11.2
2019,4,1,1.98,999.0,11.4
2019,4,2,2.05,999.0,11.3
2019,4,3,1.81,999.0,11.4
2019,4,4,1.46,999.0,11.6
2019,4,5,3.34,999.0,11.2
2019,4,6,7.03,999.0,11.2
2019,4,7,6.72,999.0,11.3
2019,4,8,4.41,999.0,11.4
2019,4,9,3.3,999.0,11.4
2019,4,10,2.57,999.0,11.5
2019,4,11,2.75,999.0,11.4
2019,4,12,3.15,999.0,11.5
2019,4,13,3.29,999.0,11.8
2019,4,14,3.89,999.0,11.4
