#YY,MM,DD,WVHT,ATMP,WTMP
2019,1,1,1.53,999.0,5.5
2019,1,2,1.8,999.0,5.5
2019,1,3,0.8,999.0,5.3
2019,1,4,0.98,999.0,5.4
2019,1,5,0.85,999.0,5.1
2019,1,6,2.01,999.0,5.3
2019,1,7,3.35,999.0,5.1
2019,1,8,0.78,999.0,4.7
2019,1,9,1.16,999.0,4.8
2019,1,10,1.68,999.0,4.6
2019,1,11,1.93,999.0,4.5
2019,1,12,2.09,999.0,4.4
2019,1,13,1.15,999.0,4.1
2019,1,14,1.06,999.0,3.4
2019,1,15,0.95,999.0,3.5
2019,1,16,0.79,999.0,3.5
2019,1,17,1.78,999.0,3.4
2019,1,18,0.34,999.0,3.5
2019,1,19,0.81,999.0,3.7
2019,1,20,1.92,999.0,3.6
2019,1,21,2.0,999.0,3.7
2019,1,22,3.03,999.0,3.2
2019,1,23,0.89,999.0,2.4
2019,1,24,1.73,999.0,3.0
2019,1,25,1.23,999.0,3.0
2019,1,26,0.7,999.0,3.0
2019,1,27,0.77,999.0,3.0
2019,1,28,1.17,999.0,3.0
2019,1,29,0.79,999.0,2.9
2019,1,30,0.86,999.0,2.8
2019,1,31,1.55,999.0,2.8
2019,2,1,0.59,999.0,2.2
2019,2,2,1.2,999.0,2.4
2019,2,3,1.03,999.0,2.5
2019,2,4,0.48,999.0,2.5
2019,2,5,0.21,999.0,2.9
2019,2,6,0.96,999.0,2.3
2019,2,7,0.55,999.0,2.3
2019,2,8,0.66,999.0,2.4
2019,2,9,1.72,999.0,2.4
2019,2,10,1.63,999.0,2.3
2019,2,11,0.91,999.0,2.0
2019,2,12,1.28,999.0,2.0
2019,2,13,1.35,999.0,2.0
2019,2,14,1.05,999.0,2.2
2019,2,15,1.32,999.0,2.3
2019,2,16,1.18,999.0,2.4
2019,2,17,1.32,999.0,2.5
2019,2,18,1.78,999.0,2.4
2019,2,19,2.07,999.0,2.3
2019,2,20,1.14,999.0,2.1
2019,2,21,0.9,999.0,2.1
2019,2,22,0.95,999.0,2.3
2019,2,23,0.74,999.0,2.3
2019,2,24,1.33,999.0,2.3
2019,2,25,2.15,999.0,2.5
2019,2,26,2.16,999.0,2.4
2019,2,27,1.91,999.0,2.2
2019,2,28,1.31,999.0,1.9
2019,3,1,0.6,999.0,2.2
2019,3,2,1.7,999.0,1.8
2019,3,3,1.55,999.0,1.8
2019,3,4,1.83,999.0,1.9
2019,3,5,1.16,999.0,1.8
2019,3,6,1.45,999.0,1.8
2019,3,9,0.48,999.0,1.9
2019,3,10,1.42,999.0,2.0
2019,3,11,0.77,999.0,2.0
2019,3,12,1.07,999.0,2.0
2019,3,13,1.14,999.0,1.9
2019,3,14,0.28,999.0,2.2
2019,3,15,0.64,999.0,2.4
2019,3,16,1.1,999.0,2.7
2019,3,17,1.04,999.0,2.8
2019,3,18,0.87,999.0,2.6
2019,3,19,0.57,999.0,2.8
2019,3,20,0.57,999.0,3.3
2019,3,21,0.6,999.0,3.3
2019,3,22,1.55,999.0,3.3
2019,3,23,1.52,999.0,3.2
2019,3,24,1.22,999.0,3.4
2019,3,25,0.8,999.0,3.7
2019,3,26,1.0,999.0,3.8
2019,3,27,1.48,999.0,3.7
2019,3,28,0.68,999.0,4.1
2019,3,29,0.8,999.0,4.0
2019,3,30,0.46,999.0,4.5
2019,3,31,1.01,999.0,4.5
2019,4,1,1.35,999.0,4.3
2019,4,2,1.13,999.0,4.4
2019,4,3,2.68,999.0,4.4
2019,4,4,1.52,999.0,4.5
2019,4,5,1.37,999.0,4.6
2019,4,6,0.49,999.0,4.6
2019,4,7,0.47,999.0,5.5
2019,4,8,0.9,999.0,5.2
2019,4,9,1.15,999.0,5.0
2019,4,10,1.45,999.0,5.0
2019,4,11,1.49,999.0,4.9
2019,4,12,0.38,999.0,5.3
2019,4,13,0.73,999.0,5.3
2019,4,14,0.43,999.0,5.4
2019,4,15,1.2,999.0,5.8
2019,4,16,1.32,999.0,5.6
2019,4,17,0.81,999.0,6.0
2019,4,18,0.69,999.0,6.1
2019,4,19,1.17,999.0,6.2
2019,4,20,0.99,999.0,6.5
2019,4,21,0.8,999.0,6.8
2019,4,22,0.56,999.0,6.9
2019,4,23,1.32,999.0,6.9
2019,4,24,0.69,999.0,6.9
2019,4,25,0.33,999.0,7.3
2019,4,26,1.12,999.0,7.6
2019,4,27,1.2,999.0,7.7
2019,4,28,0.93,999.0,7.5
2019,4,29,0.7,999.0,7.5
2019,4,30,0.49,999.0,7.7
2019,5,1,0.22,999.0,7.9
2019,5,2,0.5,999.0,7.6
2019,5,3,0.35,999.0,7.9
2019,5,4,0.25,999.0,8.3
2019,5,5,0.41,999.0,8.4
2019,5,6,0.99,999.0,8.2
2019,5,7,0.74,999.0,9.0
2019,5,8,0.67,999.0,8.9
2019,5,9,0.48,999.0,8.9
2019,5,10,0.91,999.0,9.3
2019,5,11,0.66,999.0,9.1
2019,5,12,0.57,999.0,9.3
2019,5,13,1.07,999.0,9.3
2019,5,14,1.15,999.0,9.1
2019,5,15,1.02,999.0,9.0
2019,5,16,0.33,999.0,9.4
2019,5,17,0.62,999.0,10.3
2019,5,18,0.47,999.0,10.0
2019,5,19,0.74,999.0,10.5
2019,5,20,0.78,999.0,10.3
