#YY,MM,DD,WVHT,ATMP,WTMP
2019,1,4,1.3,26.9,27.2
2019,1,5,1.4,26.4,27.3
2019,1,6,1.3,26.0,27.1
2019,1,7,1.3,26.5,27.1
2019,1,8,1.4,26.3,27.1
2019,1,9,1.4,25.6,27.0
2019,1,10,1.5,24.2,26.9
2019,1,11,1.2,25.5,26.9
2019,1,12,1.6,26.1,26.8
2019,1,13,1.8,26.1,26.8
2019,1,14,1.6,26.1,27.0
2019,1,15,1.1,25.8,27.2
2019,1,16,0.9,26.0,27.1
2019,1,17,1.4,24.5,26.8
2019,1,18,1.3,22.7,27.0
2019,1,19,1.0,25.6,26.9
2019,1,20,1.0,25.6,26.8
2019,1,21,1.2,25.2,26.9
2019,1,22,1.0,26.3,26.9
2019,1,23,2.6,26.2,26.7
2019,1,24,3.3,23.9,26.8
2019,1,25,2.5,25.0,26.8
2019,1,26,1.8,25.4,26.8
2019,1,27,1.5,26.0,26.7
2019,1,28,1.3,25.6,26.7
2019,1,29,1.1,25.2,26.7
2019,1,30,1.1,26.3,26.9
2019,1,31,1.5,24.7,26.7
2019,2,1,1.4,23.2,26.6
2019,2,2,1.3,25.7,26.6
2019,2,3,1.2,25.8,26.6
2019,2,4,1.2,25.7,26.7
2019,2,5,1.0,25.8,26.7
2019,2,6,0.8,26.0,26.9
2019,2,7,1.1,25.8,27.1
2019,2,8,1.1,26.0,26.8
2019,2,9,1.4,26.0,26.8
2019,2,10,1.5,25.9,26.5
2019,2,11,1.7,25.7,26.2
2019,2,12,2.0,24.1,26.1
2019,2,13,1.9,25.4,26.1
2019,2,14,1.5,25.6,26.1
2019,2,15,1.4,26.3,26.1
2019,2,16,1.2,24.2,26.0
2019,2,17,1.1,26.6,26.5
2019,2,18,1.2,23.9,26.3
2019,2,19,1.5,25.9,26.2
2019,2,20,1.8,24.1,26.1
2019,2,21,2.0,25.3,26.1
2019,2,22,2.2,25.8,26.0
2019,2,23,2.1,26.0,26.1
2019,2,24,1.7,25.0,26.1
2019,2,25,1.5,25.1,26.2
2019,2,26,1.8,25.7,26.1
2019,2,27,1.8,25.7,26.2
2019,2,28,1.9,24.6,26.0
