#YY,MM,DD,WVHT,ATMP,WTMP
2019,1,1,2.95,999.0,11.6
2019,1,2,2.41,999.0,11.7
2019,1,3,2.58,999.0,12.0
2019,1,4,5.46,999.0,11.8
2019,1,5,6.3,999.0,12.4
2019,1,6,6.14,999.0,12.3
2019,1,7,2.93,999.0,12.4
2019,1,8,5.81,999.0,12.4
2019,1,9,7.28,999.0,12.6
2019,1,10,4.74,999.0,12.7
2019,1,11,3.43,999.0,12.2
2019,1,12,5.06,999.0,12.3
2019,1,13,3.81,999.0,12.5
2019,1,14,3.96,999.0,12.0
2019,1,15,4.3,999.0,12.4
2019,1,16,5.65,999.0,12.2
2019,1,17,9.01,999.0,12.1
2019,1,18,7.61,999.0,12.0
2019,1,19,4.32,999.0,11.9
2019,1,20,4.03,999.0,12.3
2019,1,21,3.27,999.0,12.4
2019,1,22,3.16,999.0,12.3
2019,1,23,2.49,999.0,12.3
2019,1,24,2.9,999.0,12.3
2019,1,25,2.85,999.0,12.3
2019,1,26,2.65,999.0,11.9
2019,1,27,1.86,999.0,11.9
2019,1,28,2.14,999.0,12.0
2019,1,29,1.74,999.0,12.0
2019,1,30,1.92,999.0,12.1
2019,1,31,2.73,999.0,12.0
2019,2,1,3.21,999.0,12.2
2019,2,2,5.32,999.0,12.2
2019,2,3,4.71,999.0,12.1
2019,2,4,5.73,999.0,12.4
2019,2,5,5.92,999.0,12.2
2019,2,6,4.21,999.0,11.9
2019,2,7,3.06,999.0,12.0
2019,2,8,2.52,999.0,11.9
2019,2,9,4.72,999.0,12.0
2019,2,10,6.82,999.0,11.8
2019,2,11,4.13,999.0,11.6
2019,2,12,4.18,999.0,11.9
2019,2,13,7.1,999.0,11.8
2019,2,14,5.07,999.0,11.9
2019,2,15,7.01,999.0,11.9
2019,2,16,6.94,999.0,11.8
2019,2,17,4.72,999.0,12.2
2019,2,18,3.72,999.0,12.0
2019,2,19,3.59,999.0,12.0
2019,2,20,3.57,999.0,11.2
2019,2,21,4.56,999.0,11.5
2019,2,22,4.57,999.0,11.5
2019,2,23,2.34,999.0,11.5
2019,2,24,2.84,999.0,11.4
2019,2,25,4.06,999.0,11.6
2019,2,26,3.62,999.0,11.7
2019,2,27,3.35,999.0,11.4
2019,2,28,2.8,999.0,10.8
2019,3,1,2.69,999.0,11.2
2019,3,2,2.38,999.0,11.2
2019,3,3,2.82,999.0,11.2
2019,3,4,2.57,999.0,11.6
2019,3,5,1.78,999.0,11.6
2019,3,6,3.21,999.0,11.4
2019,3,7,3.04,999.0,11.5
2019,3,8,1.75,999.0,11.5
2019,3,9,2.92,999.0,11.2
2019,3,10,3.5,999.0,11.2
2019,3,11,4.15,999.0,11.2
2019,3,12,4.38,999.0,11.2
2019,3,13,4.67,999.0,11.2
2019,3,14,4.18,999.0,11.2
2019,3,15,2.36,999.0,11.0
2019,3,16,2.14,999.0,11.3
2019,3,17,2.77,999.0,12.1
2019,3,18,2.43,999.0,11.8
2019,3,19,2.37,999.0,11.5
2019,3,20,3.37,999.0,11.4
2019,3,21,3.39,999.0,11.4
2019,3,22,3.54,999.0,11.3
2019,3,23,4.46,999.0,11.2
2019,3,24,4.93,999.0,11.6
2019,3,25,3.96,999.0,11.5
2019,3,26,3.38,999.0,11.3
2019,3,27,2.73,999.0,11.7
2019,3,28,3.07,999.0,11.8
2019,3,29,3.16,999.0,11.7
2019,3,30,2.5,999.0,13.4
2019,3,31,1.72,999.0,11.9
2019,4,1,2.03,999.0,11.9
2019,4,2,2.26,999.0,11.7
2019,4,3,1.96,999.0,12.1
2019,4,4,1.99,999.0,12.3
2019,4,5,2.48,999.0,12.1
2019,4,6,5.82,999.0,12.1
2019,4,7,5.34,999.0,12.0
2019,4,8,4.6,999.0,12.2
2019,4,9,3.3,999.0,12.3
2019,4,10,3.18,999.0,12.0
2019,4,11,2.6,999.0,12.5
2019,4,12,2.96,999.0,12.3
2019,4,13,3.07,999.0,12.3
2019,4,14,3.08,999.0,12.2
2019,4,15,3.4,999.0,12.4
2019,4,16,3.13,999.0,12.0
2019,4,17,2.86,999.0,12.3
2019,4,18,2.93,999.0,12.2
2019,4,19,2.53,999.0,12.6
2019,4,20,3.87,999.0,12.2
2019,4,21,3.76,999.0,12.1
2019,4,22,2.64,999.0,11.3
2019,4,23,1.54,999.0,11.0
2019,4,24,3.76,999.0,11.0
2019,4,25,3.53,999.0,11.1
2019,4,26,2.66,999.0,10.8
2019,4,27,4.39,999.0,10.0
2019,4,28,5.63,999.0,10.0
2019,4,29,4.77,999.0,9.9
2019,4,30,3.84,999.0,10.0
2019,5,1,2.82,999.0,10.4
2019,5,2,2.23,999.0,9.9
2019,5,3,2.37,999.0,9.3
2019,5,4,2.51,999.0,10.2
2019,5,5,2.49,999.0,10.6
2019,5,6,2.67,999.0,10.1
2019,5,7,2.48,999.0,11.0
2019,5,8,3.75,999.0,10.9
2019,5,9,4.37,999.0,10.4
2019,5,10,1.79,999.0,10.8
2019,5,11,1.55,999.0,10.9
2019,5,12,1.37,999.0,11.0
2019,5,13,1.49,999.0,11.4
2019,5,14,1.53,999.0,11.6
2019,5,15,2.39,999.0,11.7
2019,5,16,4.56,999.0,10.7
2019,5,17,3.93,999.0,12.2
2019,5,18,3.71,999.0,10.9
2019,5,19,3.94,999.0,11.1
2019,5,20,4.02,999.0,11.7
2019,5,21,6.77,999.0,11.5
2019,5,22,6.08,999.0,11.3
2019,5,23,4.56,999.0,11.5
2019,5,24,3.9,999.0,11.6
2019,5,25,3.77,999.0,11.5
2019,5,26,3.43,999.0,11.6
2019,5,27,2.79,999.0,11.9
2019,5,28,1.57,999.0,11.6
2019,5,29,2.35,999.0,11.3
2019,5,30,2.36,999.0,11.4
2019,5,31,3.02,999.0,11.1
2019,6,1,3.22,999.0,11.4
2019,6,2,3.17,999.0,11.4
2019,6,3,2.65,999.0,10.7
2019,6,4,2.39,999.0,9.1
2019,6,5,2.0,999.0,9.3
2019,6,6,1.65,999.0,9.6
2019,6,7,2.0,999.0,9.4
