#YY,MM,DD,WVHT,ATMP,WTMP
2018,12,31,0.49,18.3,15.9
2019,1,1,0.88,17.1,15.2
2019,1,2,0.64,17.1,16.2
2019,1,3,0.74,18.5,17.4
2019,1,4,1.21,17.5,16.3
2019,1,5,1.38,13.5,15.1
2019,1,6,0.62,14.7,14.6
2019,1,7,0.44,15.7,15.4
2019,1,8,0.71,15.0,14.5
2019,1,9,1.09,12.8,14.8
2019,1,10,1.26,8.2,14.4
2019,1,11,1.28,10.4,14.4
2019,1,12,1.18,11.2,14.4
2019,1,13,1.05,16.6,14.6
2019,1,14,0.96,10.6,14.5
2019,1,15,0.88,9.4,14.0
2019,1,16,0.9,10.5,14.0
2019,1,17,0.58,13.1,13.9
2019,1,18,0.49,14.3,14.6
2019,1,19,0.78,17.1,14.7
2019,1,20,2.25,16.6,14.4
2019,1,21,1.38,9.5,14.0
2019,1,22,1.86,13.7,13.7
2019,1,23,2.02,16.3,13.8
2019,1,24,2.45,15.6,14.1
2019,1,25,1.53,8.6,13.8
2019,1,26,0.92,9.5,13.0
2019,1,27,1.21,12.1,13.2
2019,1,28,1.36,10.3,12.8
2019,1,29,1.15,12.6,13.0
2019,1,30,1.39,6.6,12.4
2019,1,31,0.76,7.9,12.1
2019,2,1,1.15,13.4,12.8
2019,2,2,1.5,13.9,12.8
2019,2,3,1.46,13.1,13.0
2019,2,4,1.02,13.1,13.0
2019,2,5,0.88,13.9,13.6
2019,2,6,0.66,14.1,13.9
2019,2,7,0.52,15.4,14.3
2019,2,8,0.52,16.2,14.8
2019,2,9,2.4,13.0,13.7
2019,2,10,2.64,13.2,13.7
2019,2,11,1.78,13.5,13.6
2019,2,12,1.27,14.9,13.8
2019,2,13,1.27,10.5,13.6
2019,2,14,0.53,12.2,13.7
2019,2,15,0.66,13.6,13.5
2019,2,16,0.78,14.8,13.8
2019,2,17,0.98,15.5,14.8
2019,2,18,0.73,15.2,14.6
2019,2,19,2.69,13.4,14.6
2019,2,20,2.63,14.2,14.5
2019,2,21,1.78,16.5,14.8
2019,2,22,1.1,17.8,16.2
2019,2,23,1.46,15.5,15.0
2019,2,24,1.15,17.4,15.3
2019,2,25,1.17,12.0,14.4
2019,2,26,1.05,16.9,15.1
2019,2,27,1.0,16.8,15.1
2019,2,28,0.92,16.1,16.1
2019,3,1,0.68,16.8,16.1
2019,3,2,0.67,17.0,16.0
2019,3,3,0.68,18.3,16.8
2019,3,4,1.24,17.4,16.4
2019,3,5,0.86,9.0,15.7
2019,3,6,1.52,5.2,15.3
2019,3,7,0.58,11.0,15.6
2019,3,8,0.56,17.4,16.3
2019,3,9,0.7,17.7,16.4
2019,3,10,1.0,17.6,16.1
2019,3,11,0.95,18.6,17.3
2019,3,12,1.53,16.7,16.9
2019,3,13,1.35,17.0,16.5
2019,3,14,1.22,18.6,16.7
2019,3,15,0.97,19.0,17.8
2019,3,16,0.94,19.8,17.7
2019,3,17,1.04,11.8,16.8
2019,3,18,1.06,15.9,16.7
2019,3,19,2.72,14.5,16.7
2019,3,20,2.06,14.3,16.5
2019,3,21,1.55,13.3,16.1
2019,3,22,1.31,17.5,16.6
2019,3,23,1.07,16.7,16.7
2019,3,24,1.0,17.0,16.6
2019,3,25,0.73,18.5,17.7
2019,3,26,1.91,15.1,17.1
2019,3,27,2.57,14.6,17.0
2019,3,28,2.37,14.9,16.6
2019,3,29,1.59,16.9,16.7
2019,3,30,1.09,17.8,17.0
2019,3,31,0.97,18.0,17.4
2019,4,1,2.45,13.3,17.1
2019,4,2,2.39,14.7,17.0
2019,4,3,0.91,13.3,16.5
2019,4,4,0.89,17.7,17.4
2019,4,5,1.45,20.4,18.6
2019,4,6,1.16,19.4,18.4
2019,4,7,0.77,18.8,18.6
2019,4,8,0.79,20.6,19.2
2019,4,9,1.04,19.8,18.6
2019,4,10,0.87,19.3,19.3
2019,4,11,1.22,20.1,19.7
2019,4,12,1.68,21.3,19.6
2019,4,13,1.6,21.3,20.3
2019,4,14,1.53,23.4,21.5
2019,4,15,1.76,22.8,21.1
2019,4,16,1.14,18.5,19.2
2019,4,17,0.89,18.6,19.3
2019,4,18,1.25,22.1,21.0
2019,4,19,2.51,20.6,20.0
2019,4,20,2.42,21.2,19.9
2019,4,21,1.16,19.0,19.2
2019,4,22,0.67,20.7,20.5
2019,4,23,0.83,19.9,19.6
2019,4,24,0.87,20.5,20.3
2019,4,25,0.92,21.3,21.1
2019,4,26,1.47,22.1,21.0
2019,4,27,0.97,23.6,21.2
2019,4,28,0.67,21.2,20.7
2019,4,29,0.75,20.9,20.9
2019,4,30,0.76,23.7,23.3
2019,5,1,0.87,23.8,23.6
2019,5,2,1.6,23.8,23.4
2019,5,3,1.4,23.1,23.1
