#YY,MM,DD,WVHT,ATMP,WTMP
2019,7,1,33.0,99.0,99.0
2019,7,2,33.1,99.0,99.0
2019,7,3,31.3,99.0,99.0
2019,7,4,31.7,99.0,99.0
2019,7,5,31.3,99.0,99.0
2019,7,6,31.8,99.0,99.0
2019,7,7,32.4,99.0,99.0
2019,7,8,32.3,99.0,99.0
2019,7,9,32.0,99.0,99.0
2019,7,10,31.8,99.0,99.0
2019,7,11,31.5,99.0,99.0
2019,7,12,31.7,99.0,99.0
2019,7,13,31.9,99.0,99.0
2019,7,14,31.8,99.0,99.0
2019,7,15,30.1,99.0,99.0
2019,7,16,29.9,99.0,99.0
2019,7,17,30.2,99.0,99.0
2019,7,18,30.1,99.0,99.0
2019,7,19,29.5,99.0,99.0
2019,7,20,29.7,99.0,99.0
2019,7,21,30.5,99.0,99.0
2019,7,22,30.2,99.0,99.0
2019,7,23,30.5,99.0,99.0
2019,7,24,31.2,99.0,99.0
2019,7,25,31.4,99.0,99.0
2019,7,26,32.1,99.0,99.0
2019,7,27,32.4,99.0,99.0
2019,7,28,32.5,99.0,99.0
2019,7,29,32.6,99.0,99.0
2019,7,30,32.7,99.0,99.0
2019,7,31,32.6,99.0,99.0
2019,8,1,32.6,99.0,99.0
2019,8,2,32.5,99.0,99.0
2019,8,3,32.6,99.0,99.0
2019,8,4,32.6,99.0,99.0
2019,8,5,32.6,99.0,99.0
2019,8,6,32.6,99.0,99.0
2019,8,7,32.6,99.0,99.0
2019,8,8,32.6,99.0,99.0
2019,8,9,32.7,99.0,99.0
2019,8,10,32.6,99.0,99.0
2019,8,11,32.6,99.0,99.0
2019,8,12,32.5,99.0,99.0
2019,8,13,32.3,99.0,99.0
2019,8,14,32.3,99.0,99.0
2019,8,15,32.3,99.0,99.0
2019,8,16,32.4,99.0,99.0
2019,8,17,32.4,99.0,99.0
2019,8,18,32.5,99.0,99.0
2019,8,19,32.5,99.0,99.0
2019,8,20,32.5,99.0,99.0
2019,8,21,32.4,99.0,99.0
2019,8,22,32.3,99.0,99.0
2019,8,23,32.3,99.0,99.0
2019,8,24,32.4,99.0,99.0
2019,8,25,32.4,99.0,99.0
2019,8,26,32.3,99.0,99.0
2019,8,27,32.3,99.0,99.0
2019,8,28,32.4,99.0,99.0
2019,8,29,32.5,99.0,99.0
2019,8,30,32.4,99.0,99.0
2019,8,31,32.4,99.0,99.0
2019,9,1,32.4,99.0,99.0
2019,9,2,32.3,99.0,99.0
2019,9,3,32.4,99.0,99.0
2019,9,4,32.4,99.0,99.0
2019,9,5,32.5,99.0,99.0
2019,9,6,32.3,99.0,99.0
2019,9,7,32.2,99.0,99.0
2019,9,8,32.3,99.0,99.0
2019,9,9,32.3,99.0,99.0
2019,9,10,32.2,99.0,99.0
2019,9,11,32.3,99.0,99.0
2019,9,12,32.3,99.0,99.0
2019,9,13,32.3,99.0,99.0
2019,9,14,32.3,99.0,99.0
2019,9,15,32.3,99.0,99.0
2019,9,16,32.2,99.0,99.0
2019,9,17,32.2,99.0,99.0
2019,9,18,32.1,99.0,99.0
2019,9,19,32.1,99.0,99.0
2019,9,20,32.1,99.0,99.0
2019,9,21,32.1,99.0,99.0
2019,9,22,32.0,99.0,99.0
2019,9,23,32.0,99.0,99.0
2019,9,24,32.1,99.0,99.0
2019,9,25,32.1,99.0,99.0
2019,9,26,32.0,99.0,99.0
2019,9,27,32.1,99.0,99.0
2019,9,28,31.2,99.0,99.0
2019,9,29,31.0,99.0,99.0
2019,9,30,31.4,99.0,99.0
2019,10,1,31.6,99.0,99.0
2019,10,2,31.5,99.0,99.0
2019,10,3,31.9,99.0,99.0
2019,10,4,31.8,99.0,99.0
2019,10,5,31.6,99.0,99.0
2019,10,6,31.5,99.0,99.0
2019,10,7,31.7,99.0,99.0
2019,10,8,31.5,99.0,99.0
2019,10,9,31.6,99.0,99.0
2019,10,10,31.6,99.0,99.0
2019,10,11,31.6,99.0,99.0
2019,10,12,31.1,99.0,99.0
2019,10,15,31.5,99.0,99.0
2019,10,16,31.9,99.0,99.0
2019,10,17,32.0,99.0,99.0
2019,10,18,32.3,99.0,99.0
2019,10,19,32.3,99.0,99.0
2019,10,20,32.3,99.0,99.0
2019,10,21,32.3,99.0,99.0
2019,10,22,32.3,99.0,99.0
2019,10,23,32.0,99.0,99.0
2019,10,24,30.8,99.0,99.0
2019,10,25,32.1,99.0,99.0
2019,10,26,32.1,99.0,99.0
2019,10,27,31.4,99.0,99.0
2019,10,28,32.0,99.0,99.0
2019,10,29,32.1,99.0,99.0
2019,10,30,32.1,99.0,99.0
2019,10,31,31.6,99.0,99.0
2019,11,1,31.6,99.0,99.0
2019,11,2,31.7,99.0,99.0
2019,11,3,31.6,99.0,99.0
2019,11,4,31.3,99.0,99.0
2019,11,5,31.2,99.0,99.0
2019,11,6,31.4,99.0,99.0
2019,11,7,31.5,99.0,99.0
2019,11,8,32.0,99.0,99.0
2019,11,9,32.0,99.0,99.0
2019,11,10,32.0,99.0,99.0
2019,11,11,31.7,99.0,99.0
2019,11,12,31.5,99.0,99.0
2019,11,13,31.9,99.0,99.0
2019,11,14,31.3,99.0,99.0
2019,11,15,31.3,99.0,99.0
2019,11,16,29.9,99.0,99.0
2019,11,17,31.7,99.0,99.0
2019,11,18,31.3,99.0,99.0
2019,11,19,31.5,99.0,99.0
2019,11,20,31.5,99.0,99.0
2019,11,21,31.4,99.0,99.0
2019,11,22,31.6,99.0,99.0
2019,11,23,31.6,99.0,99.0
2019,11,24,31.4,99.0,99.0
2019,11,25,31.0,99.0,99.0
2019,11,26,31.1,99.0,99.0
2019,11,27,31.2,99.0,99.0
2019,11,28,31.0,99.0,99.0
2019,11,29,30.9,99.0,99.0
2019,11,30,31.0,99.0,99.0
2019,12,1,30.9,99.0,99.0
2019,12,2,30.9,99.0,99.0
2019,12,3,31.0,99.0,99.0
2019,12,4,31.0,99.0,99.0
2019,12,5,30.8,99.0,99.0
2019,12,6,31.0,99.0,99.0
2019,12,7,31.0,99.0,99.0
2019,12,8,30.4,99.0,99.0
2019,12,9,30.9,99.0,99.0
2019,12,10,29.6,99.0,99.0
2019,12,11,30.3,99.0,99.0
2019,12,12,31.2,99.0,99.0
2019,12,17,31.3,99.0,99.0
2019,12,18,31.6,99.0,99.0
2019,12,19,31.8,99.0,99.0
2019,12,20,31.9,99.0,99.0
2019,12,21,32.4,99.0,99.0
2019,12,22,32.5,99.0,99.0
2019,12,23,32.5,99.0,99.0
2019,12,24,32.2,99.0,99.0
2019,12,25,32.2,99.0,99.0
2019,12,26,32.2,99.0,99.0
2019,12,27,32.2,99.0,99.0
2019,12,28,32.3,99.0,99.0
2019,12,29,32.3,99.0,99.0
2019,12,30,32.5,99.0,99.0
2019,12,31,32.5,99.0,99.0
2020,1,1,32.3,99.0,99.0
2020,1,2,32.3,99.0,99.0
2020,1,3,32.3,99.0,99.0
2020,1,4,32.3,99.0,99.0
2020,1,5,31.7,99.0,99.0
2020,1,6,31.3,99.0,99.0
2020,1,7,32.2,99.0,99.0
2020,1,8,32.2,99.0,99.0
2020,1,9,32.3,99.0,99.0
2020,1,10,32.3,99.0,99.0
2020,1,11,32.4,99.0,99.0
2020,1,12,32.3,99.0,99.0
2020,1,13,31.8,99.0,99.0
2020,1,14,29.1,99.0,99.0
2020,1,15,31.4,99.0,99.0
2020,1,16,31.8,99.0,99.0
2020,1,17,32.3,99.0,99.0
2020,1,18,32.2,99.0,99.0
2020,1,19,32.2,99.0,99.0
2020,1,20,32.0,99.0,99.0
2020,1,21,32.2,99.0,99.0
2020,1,22,32.3,99.0,99.0
2020,1,23,32.4,99.0,99.0
2020,1,24,32.3,99.0,99.0
2020,1,25,32.2,99.0,99.0
2020,1,26,32.2,99.0,99.0
2020,1,27,32.2,99.0,99.0
2020,1,28,32.2,99.0,99.0
2020,1,29,32.2,99.0,99.0
2020,1,30,32.1,99.0,99.0
2020,2,3,32.3,99.0,99.0
2020,2,4,32.2,99.0,99.0
2020,2,5,32.3,99.0,99.0
2020,2,6,32.2,99.0,99.0
2020,2,7,31.3,99.0,99.0
2020,2,8,32.1,99.0,99.0
2020,2,9,31.4,99.0,99.0
2020,2,10,31.3,99.0,99.0
2020,2,11,30.5,99.0,99.0
2020,2,12,27.3,99.0,99.0
2020,2,13,30.3,99.0,99.0
2020,2,14,31.8,99.0,99.0
2020,2,15,32.0,99.0,99.0
2020,2,16,31.7,99.0,99.0
2020,2,17,31.2,99.0,99.0
2020,2,18,27.2,99.0,99.0
2020,2,19,28.3,99.0,99.0
2020,2,20,28.3,99.0,99.0
2020,2,21,27.9,99.0,99.0
2020,2,22,29.0,99.0,99.0
2020,2,23,30.9,99.0,99.0
2020,2,24,31.3,99.0,99.0
2020,2,25,29.4,99.0,99.0
2020,2,26,30.6,99.0,99.0
2020,2,27,30.6,99.0,99.0
2020,2,28,30.6,99.0,99.0
2020,2,29,30.8,99.0,99.0
2020,3,1,30.8,99.0,99.0
2020,3,2,30.4,99.0,99.0
2020,3,3,29.1,99.0,99.0
2020,3,4,28.7,99.0,99.0
2020,3,5,30.4,99.0,99.0
2020,3,6,30.0,99.0,99.0
2020,3,7,29.5,99.0,99.0
2020,3,8,28.7,99.0,99.0
2020,3,9,29.9,99.0,99.0
2020,3,10,30.4,99.0,99.0
2020,3,11,30.4,99.0,99.0
2020,3,12,30.5,99.0,99.0
2020,3,13,25.5,99.0,99.0
2020,3,14,26.8,99.0,99.0
2020,3,15,28.6,99.0,99.0
2020,3,16,29.4,99.0,99.0
2020,3,17,30.5,99.0,99.0
2020,3,18,30.3,99.0,99.0
2020,3,19,30.7,99.0,99.0
2020,3,20,30.8,99.0,99.0
2020,3,21,30.5,99.0,99.0
2020,3,22,30.3,99.0,99.0
2020,3,23,30.3,99.0,99.0
2020,3,24,30.2,99.0,99.0
2020,3,25,30.3,99.0,99.0
2020,3,26,30.0,99.0,99.0
2020,3,27,30.2,99.0,99.0
2020,3,28,30.0,99.0,99.0
2020,3,29,31.0,99.0,99.0
2020,3,30,30.9,99.0,99.0
2020,3,31,30.9,99.0,99.0
2020,4,1,30.7,99.0,99.0
2020,4,2,29.8,99.0,99.0
2020,4,3,30.4,99.0,99.0
2020,4,4,30.3,99.0,99.0
2020,4,5,30.2,99.0,99.0
2020,4,13,30.9,99.0,99.0
2020,4,14,31.4,99.0,99.0
2020,4,15,31.4,99.0,99.0
2020,4,16,31.4,99.0,99.0
2020,4,17,31.4,99.0,99.0
2020,4,18,31.4,99.0,99.0
2020,4,19,31.4,99.0,99.0
2020,4,20,31.2,99.0,99.0
2020,4,21,31.3,99.0,99.0
2020,4,22,31.1,99.0,99.0
2020,4,23,31.1,99.0,99.0
2020,4,24,30.8,99.0,99.0
2020,4,25,30.9,99.0,99.0
2020,4,26,30.9,99.0,99.0
2020,4,27,31.0,99.0,99.0
2020,4,28,30.9,99.0,99.0
2020,4,29,30.7,99.0,99.0
2020,4,30,30.9,99.0,99.0
2020,5,1,30.9,99.0,99.0
2020,5,2,31.1,99.0,99.0
2020,5,3,31.0,99.0,99.0
2020,5,4,30.8,99.0,99.0
2020,5,5,30.9,99.0,99.0
2020,5,6,30.6,99.0,99.0
2020,5,7,30.7,99.0,99.0
2020,5,8,30.4,99.0,99.0
2020,5,9,30.3,99.0,99.0
2020,5,10,29.8,99.0,99.0
2020,5,11,29.7,99.0,99.0
2020,5,12,29.5,99.0,99.0
2020,5,13,29.5,99.0,99.0
2020,5,18,29.4,99.0,99.0
2020,5,19,29.5,99.0,99.0
2020,5,20,26.7,99.0,99.0
2020,5,21,26.0,99.0,99.0
2020,5,22,25.8,99.0,99.0
2020,5,23,25.9,99.0,99.0
2020,5,24,27.5,99.0,99.0
2020,5,25,27.1,99.0,99.0
2020,5,26,27.2,99.0,99.0
2020,5,27,27.6,99.0,99.0
2020,5,28,27.8,99.0,99.0
2020,5,29,28.9,99.0,99.0
2020,5,30,29.0,99.0,99.0
2020,5,31,29.1,99.0,99.0
2020,6,1,29.3,99.0,99.0
2020,6,2,29.8,99.0,99.0
2020,6,3,29.6,99.0,99.0
2020,6,4,29.6,99.0,99.0
2020,6,5,29.3,99.0,99.0
2020,6,6,29.3,99.0,99.0
2020,6,7,29.3,99.0,99.0
2020,6,8,29.3,99.0,99.0
2020,6,9,29.0,99.0,99.0
2020,6,10,29.1,99.0,99.0
2020,6,11,29.2,99.0,99.0
2020,6,12,29.0,99.0,99.0
2020,6,13,29.0,99.0,99.0
2020,6,14,29.1,99.0,99.0
2020,6,15,29.2,99.0,99.0
2020,6,16,28.9,99.0,99.0
2020,6,17,29.0,99.0,99.0
2020,6,18,22.6,99.0,99.0
2020,6,19,23.4,99.0,99.0
2020,6,20,25.5,99.0,99.0
2020,6,21,25.2,99.0,99.0
2020,6,22,26.0,99.0,99.0
2020,6,23,27.3,99.0,99.0
2020,6,24,28.8,99.0,99.0
2020,6,25,29.0,99.0,99.0
2020,6,26,28.6,99.0,99.0
2020,6,27,28.7,99.0,99.0
2020,6,28,29.0,99.0,99.0
2020,6,29,29.0,99.0,99.0
2020,6,30,29.2,99.0,99.0
2020,7,1,29.2,99.0,99.0
2020,7,2,29.2,99.0,99.0
2020,7,3,29.0,99.0,99.0
2020,7,4,29.0,99.0,99.0
2020,7,5,28.9,99.0,99.0
2020,7,6,31.6,99.0,99.0
2020,7,7,31.7,99.0,99.0
2020,7,8,31.8,99.0,99.0
2020,7,9,31.7,99.0,99.0
2020,7,10,31.8,99.0,99.0
2020,7,11,31.8,99.0,99.0
2020,7,12,31.8,99.0,99.0
2020,7,13,31.9,99.0,99.0
2020,7,14,31.9,99.0,99.0
2020,7,15,31.7,99.0,99.0
2020,7,16,32.0,99.0,99.0
2020,7,17,32.0,99.0,99.0
2020,7,18,32.1,99.0,99.0
2020,7,19,32.2,99.0,99.0
2020,7,20,32.3,99.0,99.0
2020,7,21,32.6,99.0,99.0
2020,7,22,32.4,99.0,99.0
2020,7,23,32.7,99.0,99.0
2020,7,24,32.6,99.0,99.0
2020,7,25,32.5,99.0,99.0
2020,7,26,32.8,99.0,99.0
2020,7,27,32.9,99.0,99.0
2020,7,28,32.8,99.0,99.0
2020,7,29,32.5,99.0,99.0
2020,7,30,32.1,99.0,99.0
2020,7,31,32.5,99.0,99.0
2020,8,1,32.5,99.0,99.0
2020,8,2,32.0,99.0,99.0
2020,8,3,32.1,99.0,99.0
2020,8,4,31.9,99.0,99.0
2020,8,5,32.3,99.0,99.0
2020,8,6,32.1,99.0,99.0
2020,8,7,32.1,99.0,99.0
2020,8,8,32.1,99.0,99.0
2020,8,9,32.8,99.0,99.0
2020,8,10,32.9,99.0,99.0
2020,8,11,32.7,99.0,99.0
2020,8,12,32.4,99.0,99.0
2020,8,13,32.4,99.0,99.0
2020,8,14,32.3,99.0,99.0
2020,8,15,32.5,99.0,99.0
2020,8,16,32.7,99.0,99.0
2020,8,17,32.5,99.0,99.0
2020,8,18,32.2,99.0,99.0
2020,8,19,32.2,99.0,99.0
2020,8,20,32.2,99.0,99.0
2020,8,21,31.9,99.0,99.0
2020,8,22,31.9,99.0,99.0
2020,8,23,32.3,99.0,99.0
2020,8,24,32.3,99.0,99.0
2020,8,25,31.9,99.0,99.0
2020,8,26,31.7,99.0,99.0
