#YY,MM,DD,WVHT,ATMP,WTMP
2020,1,1,4.19,999.0,25.4
2020,1,1,4.06,999.0,25.4
2020,1,1,4.24,999.0,25.4
2020,1,1,4.09,999.0,25.4
2020,1,1,4.15,999.0,25.4
2020,1,1,3.88,999.0,25.3
2020,1,1,4.34,999.0,25.3
2020,1,1,4.43,999.0,25.3
2020,1,1,4.3,999.0,25.3
2020,1,1,3.88,999.0,25.3
2020,1,1,3.79,999.0,25.3
2020,1,1,4.02,999.0,25.2
2020,1,1,4.08,999.0,25.2
2020,1,1,3.98,999.0,25.3
2020,1,1,3.93,999.0,25.2
2020,1,1,4.04,999.0,25.2
2020,1,1,4.14,999.0,25.2
2020,1,1,4.11,999.0,25.2
2020,1,1,3.87,999.0,25.2
2020,1,1,3.81,999.0,25.2
2020,1,1,3.65,999.0,25.2
2020,1,1,3.88,999.0,25.2
2020,1,1,3.59,999.0,25.2
2020,1,1,3.78,999.0,25.2
2020,1,1,3.31,999.0,25.2
2020,1,1,3.72,999.0,25.2
2020,1,1,3.54,999.0,25.2
2020,1,1,3.32,999.0,25.2
2020,1,1,3.68,999.0,25.2
2020,1,1,3.46,999.0,25.2
2020,1,1,3.4,999.0,25.2
2020,1,1,3.54,999.0,25.2
2020,1,1,3.28,999.0,25.2
2020,1,1,3.27,999.0,25.2
2020,1,1,3.41,999.0,25.2
2020,1,1,3.35,999.0,25.2
2020,1,1,3.05,999.0,25.2
2020,1,1,3.24,999.0,25.2
2020,1,1,3.23,999.0,25.2
2020,1,1,3.21,999.0,25.3
2020,1,1,3.21,999.0,25.3
2020,1,1,3.03,999.0,25.3
2020,1,1,3.26,999.0,25.3
2020,1,1,3.41,999.0,25.4
2020,1,1,3.06,999.0,25.4
2020,1,1,3.17,999.0,25.4
2020,1,1,3.17,999.0,25.4
2020,1,1,3.0,999.0,25.4
2020,1,2,3.0,999.0,25.4
2020,1,2,2.88,999.0,25.6
2020,1,2,2.85,999.0,25.6
2020,1,2,3.07,999.0,25.6
2020,1,2,3.02,999.0,25.6
2020,1,2,2.8,999.0,25.6
2020,1,2,3.06,999.0,25.6
2020,1,2,2.92,999.0,25.6
2020,1,2,2.6,999.0,25.6
2020,1,2,3.08,999.0,25.6
2020,1,2,2.76,999.0,25.6
2020,1,2,2.63,999.0,25.5
2020,1,2,2.94,999.0,25.5
2020,1,2,2.83,999.0,25.4
2020,1,2,2.89,999.0,25.5
2020,1,2,2.73,999.0,25.5
2020,1,2,2.73,999.0,25.5
2020,1,2,2.89,999.0,25.5
2020,1,2,2.88,999.0,25.6
2020,1,2,2.84,999.0,25.6
2020,1,2,2.64,999.0,25.6
2020,1,2,2.73,999.0,25.6
2020,1,2,2.73,999.0,25.6
2020,1,2,2.87,999.0,25.6
2020,1,2,2.42,999.0,25.6
2020,1,2,2.54,999.0,25.6
2020,1,2,2.61,999.0,25.6
2020,1,2,2.56,999.0,25.6
2020,1,2,2.86,999.0,25.7
2020,1,2,2.83,999.0,25.7
2020,1,2,2.69,999.0,25.7
2020,1,2,2.66,999.0,25.7
2020,1,2,2.47,999.0,25.7
2020,1,2,2.41,999.0,25.7
2020,1,2,2.49,999.0,25.7
2020,1,2,2.52,999.0,25.7
2020,1,2,2.6,999.0,25.7
2020,1,2,2.69,999.0,25.8
2020,1,2,2.67,999.0,25.8
2020,1,2,2.47,999.0,25.8
2020,1,2,2.35,999.0,25.9
2020,1,2,2.54,999.0,25.9
2020,1,2,2.38,999.0,25.9
2020,1,2,2.6,999.0,25.9
2020,1,2,2.31,999.0,26.0
2020,1,2,2.32,999.0,26.0
2020,1,2,2.47,999.0,26.1
2020,1,2,2.34,999.0,26.1
2020,1,3,2.39,999.0,26.1
2020,1,3,2.23,999.0,26.0
2020,1,3,2.5,999.0,26.0
2020,1,3,2.36,999.0,26.1
2020,1,3,2.42,999.0,26.0
2020,1,3,2.3,999.0,26.0
2020,1,3,2.16,999.0,25.9
2020,1,3,2.34,999.0,26.0
2020,1,3,2.26,999.0,25.9
2020,1,3,2.33,999.0,25.9
2020,1,3,2.36,999.0,25.9
2020,1,3,2.17,999.0,25.9
2020,1,3,2.28,999.0,25.9
2020,1,3,2.23,999.0,25.9
2020,1,3,2.58,999.0,25.9
2020,1,3,2.59,999.0,25.8
2020,1,3,2.47,999.0,25.8
2020,1,3,2.46,999.0,25.8
2020,1,3,2.42,999.0,25.8
2020,1,3,2.6,999.0,25.7
2020,1,3,2.35,999.0,25.7
2020,1,3,2.53,999.0,25.6
2020,1,3,2.52,999.0,25.6
2020,1,3,2.45,999.0,25.6
2020,1,3,2.33,999.0,25.5
2020,1,3,2.48,999.0,25.5
2020,1,3,2.36,999.0,25.4
2020,1,3,2.55,999.0,25.5
2020,1,3,2.93,999.0,25.5
2020,1,3,3.13,999.0,25.4
2020,1,3,3.22,999.0,25.5
2020,1,3,3.53,999.0,25.6
2020,1,3,3.44,999.0,25.5
2020,1,3,3.3,999.0,25.5
2020,1,3,3.5,999.0,25.5
2020,1,3,3.29,999.0,25.6
2020,1,3,3.48,999.0,25.6
2020,1,3,3.25,999.0,25.6
2020,1,3,3.45,999.0,25.6
2020,1,3,3.29,999.0,25.6
2020,1,3,3.53,999.0,25.6
2020,1,3,3.23,999.0,25.6
2020,1,3,3.16,999.0,25.7
2020,1,3,3.34,999.0,25.7
2020,1,3,3.14,999.0,25.7
2020,1,3,3.09,999.0,25.7
2020,1,3,3.33,999.0,25.7
2020,1,4,3.33,999.0,25.7
2020,1,4,3.12,999.0,25.7
2020,1,4,2.84,999.0,25.7
2020,1,4,3.1,999.0,25.7
2020,1,4,2.98,999.0,25.7
2020,1,4,2.73,999.0,25.7
2020,1,4,2.84,999.0,25.7
2020,1,4,2.77,999.0,25.7
2020,1,4,2.91,999.0,25.7
2020,1,4,2.86,999.0,25.7
2020,1,4,3.23,999.0,25.7
2020,1,4,2.91,999.0,25.7
2020,1,4,2.7,999.0,25.7
2020,1,4,2.91,999.0,25.7
2020,1,4,2.88,999.0,25.7
2020,1,4,2.97,999.0,25.6
2020,1,4,2.92,999.0,25.6
2020,1,4,3.19,999.0,25.6
2020,1,4,3.11,999.0,25.6
2020,1,4,2.92,999.0,25.6
2020,1,4,3.01,999.0,25.6
2020,1,4,2.92,999.0,25.6
2020,1,4,2.86,999.0,25.6
2020,1,4,2.89,999.0,25.6
2020,1,4,2.99,999.0,25.6
2020,1,4,2.82,999.0,25.6
2020,1,4,3.08,999.0,25.6
2020,1,4,3.09,999.0,25.5
2020,1,4,3.18,999.0,25.6
2020,1,4,2.88,999.0,25.6
2020,1,4,2.92,999.0,25.6
2020,1,4,3.02,999.0,25.6
2020,1,4,3.07,999.0,25.6
2020,1,4,3.11,999.0,25.6
2020,1,4,2.83,999.0,25.6
2020,1,4,3.2,999.0,25.6
2020,1,4,3.28,999.0,25.6
2020,1,4,3.17,999.0,25.6
2020,1,4,3.22,999.0,25.6
2020,1,4,3.28,999.0,25.6
2020,1,4,3.31,999.0,25.6
2020,1,4,3.17,999.0,25.6
2020,1,4,3.4,999.0,25.6
2020,1,4,3.49,999.0,25.6
2020,1,4,3.43,999.0,25.7
2020,1,4,3.41,999.0,25.7
2020,1,4,3.46,999.0,25.7
2020,1,4,3.57,999.0,25.7
2020,1,5,3.53,999.0,25.7
2020,1,5,3.62,999.0,25.7
2020,1,5,3.34,999.0,25.7
2020,1,5,3.53,999.0,25.7
2020,1,5,3.45,999.0,25.7
2020,1,5,3.45,999.0,25.7
2020,1,5,3.56,999.0,25.7
2020,1,5,3.5,999.0,25.7
2020,1,5,3.5,999.0,25.7
2020,1,5,3.68,999.0,25.7
2020,1,5,3.37,999.0,25.7
2020,1,5,3.26,999.0,25.7
2020,1,5,3.33,999.0,25.7
2020,1,5,3.02,999.0,25.7
2020,1,5,3.24,999.0,25.7
2020,1,5,3.28,999.0,25.7
2020,1,5,3.12,999.0,25.7
2020,1,5,3.04,999.0,25.7
2020,1,5,3.08,999.0,25.7
