#YY,MM,DD,WVHT,ATMP,WTMP
2019,1,1,0.55,999.0,15.3
2019,1,1,0.56,999.0,15.3
2019,1,1,0.58,999.0,15.4
2019,1,1,0.59,999.0,15.5
2019,1,1,0.61,999.0,15.4
2019,1,1,0.61,999.0,15.3
2019,1,1,0.6,999.0,15.3
2019,1,1,0.61,999.0,15.3
2019,1,1,0.57,999.0,15.4
2019,1,1,0.6,999.0,15.4
2019,1,1,0.6,999.0,15.4
2019,1,1,0.63,999.0,15.4
2019,1,1,0.63,999.0,15.3
2019,1,1,0.63,999.0,15.3
2019,1,1,0.65,999.0,15.2
2019,1,1,0.7,999.0,15.1
2019,1,1,0.73,999.0,15.1
2019,1,1,0.77,999.0,15.1
2019,1,1,0.86,999.0,15.2
2019,1,1,0.86,999.0,15.2
2019,1,1,0.97,999.0,15.2
2019,1,1,0.99,999.0,15.1
2019,1,1,1.07,999.0,15.2
2019,1,1,1.07,999.0,15.3
2019,1,1,1.14,999.0,15.3
2019,1,1,1.12,999.0,15.3
2019,1,1,1.16,999.0,15.3
2019,1,1,1.16,999.0,15.3
2019,1,1,1.27,999.0,15.2
2019,1,1,1.21,999.0,15.2
2019,1,1,1.23,999.0,15.2
2019,1,1,1.24,999.0,15.3
2019,1,1,1.26,999.0,15.3
2019,1,1,1.34,999.0,14.9
2019,1,1,1.31,999.0,14.9
2019,1,1,1.33,999.0,15.0
2019,1,1,1.29,999.0,15.0
2019,1,1,1.28,999.0,15.1
2019,1,1,1.36,999.0,15.1
2019,1,1,1.28,999.0,15.1
2019,1,1,1.28,999.0,15.2
2019,1,1,1.28,999.0,15.2
2019,1,1,1.22,999.0,15.1
2019,1,1,1.12,999.0,15.0
2019,1,1,1.17,999.0,15.1
2019,1,1,1.08,999.0,15.0
2019,1,1,1.12,999.0,14.9
2019,1,1,1.05,999.0,14.9
2019,1,2,0.99,999.0,14.9
2019,1,2,0.96,999.0,14.9
2019,1,2,0.95,999.0,14.9
2019,1,2,0.92,999.0,14.9
2019,1,2,0.95,999.0,14.9
2019,1,2,0.93,999.0,14.8
2019,1,2,0.94,999.0,14.9
2019,1,2,0.93,999.0,14.9
2019,1,2,0.91,999.0,15.1
2019,1,2,0.92,999.0,15.0
2019,1,2,0.91,999.0,15.1
2019,1,2,0.87,999.0,15.1
2019,1,2,0.88,999.0,15.1
2019,1,2,0.86,999.0,15.1
2019,1,2,0.82,999.0,15.1
2019,1,2,0.81,999.0,15.1
2019,1,2,0.76,999.0,15.1
2019,1,2,0.8,999.0,15.1
2019,1,2,0.85,999.0,15.2
2019,1,2,0.8,999.0,15.2
2019,1,2,0.78,999.0,15.3
2019,1,2,0.83,999.0,15.3
2019,1,2,0.85,999.0,15.4
2019,1,2,0.79,999.0,15.4
2019,1,2,0.77,999.0,15.4
2019,1,2,0.95,999.0,15.4
2019,1,2,1.0,999.0,15.4
2019,1,2,0.93,999.0,15.4
2019,1,2,0.95,999.0,15.4
2019,1,2,0.93,999.0,15.4
2019,1,2,0.94,999.0,15.4
2019,1,2,0.89,999.0,15.4
2019,1,3,0.86,999.0,15.4
2019,1,3,0.77,999.0,15.4
2019,1,3,0.78,999.0,15.4
2019,1,3,0.76,999.0,15.4
2019,1,3,0.74,999.0,15.4
2019,1,3,0.73,999.0,15.2
2019,1,3,0.67,999.0,15.2
2019,1,3,0.7,999.0,15.1
2019,1,3,0.69,999.0,15.2
2019,1,3,0.7,999.0,15.1
2019,1,3,0.7,999.0,15.1
2019,1,3,0.72,999.0,15.1
2019,1,3,0.69,999.0,15.0
2019,1,3,0.66,999.0,15.0
2019,1,3,0.7,999.0,15.0
2019,1,3,0.67,999.0,15.2
2019,1,3,0.68,999.0,15.2
2019,1,3,0.62,999.0,15.1
2019,1,3,0.61,999.0,15.1
2019,1,3,0.6,999.0,15.1
2019,1,3,0.61,999.0,14.9
2019,1,3,0.57,999.0,14.9
2019,1,3,0.61,999.0,14.9
2019,1,3,0.6,999.0,14.9
2019,1,3,0.61,999.0,15.0
2019,1,3,0.58,999.0,15.1
2019,1,3,0.54,999.0,15.1
2019,1,3,0.58,999.0,15.3
2019,1,3,0.58,999.0,15.3
2019,1,3,0.58,999.0,15.2
2019,1,3,0.59,999.0,15.2
2019,1,3,0.57,999.0,15.3
2019,1,3,0.57,999.0,15.3
2019,1,3,0.58,999.0,15.3
2019,1,3,0.57,999.0,15.3
2019,1,3,0.59,999.0,15.3
2019,1,3,0.62,999.0,15.3
2019,1,3,0.65,999.0,15.3
2019,1,3,0.67,999.0,15.3
2019,1,3,0.76,999.0,15.4
2019,1,3,0.8,999.0,15.3
2019,1,3,0.87,999.0,15.3
2019,1,3,0.87,999.0,15.3
2019,1,3,0.81,999.0,15.3
2019,1,3,0.83,999.0,15.2
2019,1,3,0.78,999.0,15.2
2019,1,3,0.8,999.0,15.2
2019,1,4,0.76,999.0,15.2
2019,1,4,0.74,999.0,15.2
2019,1,4,0.77,999.0,15.3
2019,1,4,0.72,999.0,15.3
2019,1,4,0.73,999.0,15.3
2019,1,4,0.74,999.0,15.3
2019,1,4,0.79,999.0,15.3
2019,1,4,0.7,999.0,15.3
2019,1,4,0.71,999.0,15.3
2019,1,4,0.74,999.0,15.2
2019,1,4,0.74,999.0,15.2
2019,1,4,0.79,999.0,15.2
2019,1,4,0.78,999.0,15.1
2019,1,4,0.89,999.0,15.1
2019,1,4,0.87,999.0,15.1
2019,1,4,0.92,999.0,15.2
2019,1,4,0.85,999.0,15.2
2019,1,4,0.79,999.0,15.2
2019,1,4,0.81,999.0,15.3
2019,1,4,0.81,999.0,15.3
2019,1,4,0.87,999.0,15.3
2019,1,4,0.86,999.0,15.3
2019,1,4,0.8,999.0,15.3
2019,1,4,0.78,999.0,15.3
2019,1,4,0.76,999.0,15.3
2019,1,4,0.76,999.0,15.3
2019,1,4,0.78,999.0,15.3
2019,1,4,0.8,999.0,15.3
2019,1,4,0.79,999.0,15.4
2019,1,4,0.74,999.0,15.4
2019,1,4,0.77,999.0,15.3
2019,1,4,0.74,999.0,15.4
2019,1,4,0.72,999.0,15.3
2019,1,4,0.77,999.0,15.3
2019,1,4,0.74,999.0,15.3
2019,1,4,0.75,999.0,15.3
2019,1,4,0.73,999.0,15.2
2019,1,4,0.77,999.0,15.2
2019,1,4,0.79,999.0,15.2
2019,1,4,0.8,999.0,15.1
2019,1,4,0.75,999.0,15.0
2019,1,4,0.75,999.0,15.0
2019,1,4,0.75,999.0,15.0
2019,1,4,0.77,999.0,15.0
2019,1,4,0.79,999.0,15.0
2019,1,4,0.77,999.0,15.0
2019,1,5,0.78,999.0,15.0
2019,1,5,0.8,999.0,15.0
2019,1,5,0.77,999.0,15.1
2019,1,5,0.81,999.0,15.1
2019,1,5,0.91,999.0,15.1
2019,1,5,0.95,999.0,15.1
2019,1,5,1.01,999.0,15.2
