#YY,MM,DD,WVHT,ATMP,WTMP
2023,1,1,1.44,999.0,9.6
2023,1,1,1.42,999.0,9.6
2023,1,1,1.39,999.0,9.6
2023,1,1,1.37,999.0,9.6
2023,1,1,1.41,999.0,9.6
2023,1,1,1.4,999.0,9.6
2023,1,1,1.45,999.0,9.7
2023,1,1,1.49,999.0,9.7
2023,1,1,1.63,999.0,9.7
2023,1,1,1.54,999.0,9.7
2023,1,1,1.56,999.0,9.7
2023,1,1,1.54,999.0,9.7
2023,1,1,1.61,999.0,9.7
2023,1,1,1.8,999.0,9.7
2023,1,1,1.82,999.0,9.7
2023,1,1,1.8,999.0,9.8
2023,1,1,1.78,999.0,9.8
2023,1,1,1.83,999.0,9.9
2023,1,1,1.89,999.0,9.9
2023,1,1,2.01,999.0,9.9
2023,1,1,2.03,999.0,9.9
2023,1,1,2.02,999.0,9.9
2023,1,1,1.89,999.0,9.9
2023,1,1,1.93,999.0,9.9
2023,1,1,1.93,999.0,10.0
2023,1,1,1.87,999.0,9.8
2023,1,1,1.92,999.0,9.7
2023,1,1,1.88,999.0,9.7
2023,1,1,1.96,999.0,9.7
2023,1,1,2.0,999.0,9.6
2023,1,1,1.84,999.0,9.6
2023,1,1,1.98,999.0,9.4
2023,1,1,2.0,999.0,9.4
2023,1,1,1.93,999.0,9.4
2023,1,1,1.89,999.0,9.4
2023,1,1,1.88,999.0,9.4
2023,1,1,1.83,999.0,9.3
2023,1,1,1.75,999.0,9.3
2023,1,1,1.83,999.0,9.3
2023,1,1,1.83,999.0,9.3
2023,1,1,1.78,999.0,9.4
2023,1,1,1.8,999.0,9.4
2023,1,1,1.83,999.0,9.4
2023,1,1,1.75,999.0,9.4
2023,1,1,1.6,999.0,9.4
2023,1,1,1.58,999.0,9.4
2023,1,1,1.59,999.0,9.4
2023,1,1,1.59,999.0,9.4
2023,1,2,1.45,999.0,9.4
2023,1,2,1.52,999.0,9.4
2023,1,2,1.39,999.0,9.4
2023,1,2,1.41,999.0,9.4
2023,1,2,1.47,999.0,9.3
2023,1,2,1.37,999.0,9.3
2023,1,2,1.32,999.0,9.3
2023,1,2,1.26,999.0,9.3
2023,1,2,1.25,999.0,9.3
2023,1,2,1.19,999.0,9.3
2023,1,2,1.2,999.0,9.3
2023,1,2,1.12,999.0,9.3
2023,1,2,1.07,999.0,9.3
2023,1,2,1.1,999.0,9.3
2023,1,2,1.12,999.0,9.3
2023,1,2,1.12,999.0,9.3
2023,1,2,1.07,999.0,9.3
2023,1,2,1.08,999.0,9.3
2023,1,2,1.03,999.0,9.4
2023,1,2,1.08,999.0,9.4
2023,1,2,1.08,999.0,9.4
2023,1,2,1.04,999.0,9.4
2023,1,2,0.95,999.0,9.5
2023,1,2,1.05,999.0,9.5
2023,1,2,0.93,999.0,9.5
2023,1,2,0.94,999.0,9.5
2023,1,2,0.9,999.0,9.5
2023,1,2,0.88,999.0,9.6
2023,1,2,0.87,999.0,9.6
2023,1,2,0.84,999.0,9.5
2023,1,2,0.8,999.0,9.5
2023,1,2,0.78,999.0,9.4
2023,1,2,0.78,999.0,9.4
2023,1,2,0.79,999.0,9.4
2023,1,2,0.8,999.0,9.4
2023,1,2,0.76,999.0,9.4
2023,1,2,0.8,999.0,9.3
2023,1,2,0.78,999.0,9.1
2023,1,2,0.8,999.0,9.0
2023,1,2,0.76,999.0,9.0
2023,1,2,0.8,999.0,8.9
2023,1,2,0.8,999.0,8.9
2023,1,2,0.82,999.0,8.9
2023,1,2,0.81,999.0,8.8
2023,1,2,0.77,999.0,8.8
2023,1,2,0.79,999.0,8.8
2023,1,2,0.75,999.0,8.8
2023,1,3,0.76,999.0,8.8
2023,1,3,0.79,999.0,8.8
2023,1,3,0.74,999.0,8.8
2023,1,3,0.71,999.0,8.8
2023,1,3,0.72,999.0,8.8
2023,1,3,0.74,999.0,8.8
2023,1,3,0.64,999.0,8.8
2023,1,3,0.68,999.0,8.8
2023,1,3,0.65,999.0,8.7
2023,1,3,0.67,999.0,8.7
2023,1,3,0.61,999.0,8.7
2023,1,3,0.62,999.0,8.7
2023,1,3,0.61,999.0,8.7
2023,1,3,0.6,999.0,8.7
2023,1,3,0.61,999.0,8.7
2023,1,3,0.62,999.0,8.7
2023,1,3,0.65,999.0,8.7
2023,1,3,0.71,999.0,8.7
2023,1,3,0.76,999.0,8.7
2023,1,3,0.86,999.0,8.7
2023,1,3,0.91,999.0,8.7
2023,1,3,0.93,999.0,8.8
2023,1,3,0.97,999.0,8.8
2023,1,3,0.99,999.0,8.8
2023,1,3,0.95,999.0,8.7
2023,1,3,1.01,999.0,8.8
2023,1,3,1.0,999.0,8.8
2023,1,3,0.97,999.0,8.8
2023,1,3,1.11,999.0,8.7
2023,1,3,1.06,999.0,8.7
2023,1,3,1.09,999.0,8.8
2023,1,3,1.1,999.0,8.8
2023,1,3,1.21,999.0,8.8
2023,1,3,1.23,999.0,8.8
2023,1,3,1.38,999.0,8.8
2023,1,3,1.46,999.0,8.8
2023,1,3,1.48,999.0,8.8
2023,1,3,1.59,999.0,8.8
2023,1,3,1.59,999.0,8.8
2023,1,3,1.65,999.0,8.8
2023,1,3,1.74,999.0,8.8
2023,1,4,1.71,999.0,8.8
2023,1,4,1.58,999.0,8.8
2023,1,4,1.51,999.0,8.8
2023,1,4,1.58,999.0,8.8
2023,1,4,1.44,999.0,8.8
2023,1,4,1.49,999.0,8.8
2023,1,4,1.5,999.0,8.8
