#YY,MM,DD,WVHT,ATMP,WTMP
2022,12,31,0.9,18.3,14.8
2023,1,1,0.92,17.5,14.7
2023,1,1,0.86,17.1,14.7
2023,1,1,0.89,16.7,14.7
2023,1,1,0.91,16.1,14.7
2023,1,1,0.92,16.7,14.7
2023,1,1,0.87,17.1,14.7
2023,1,1,0.93,17.0,14.8
2023,1,1,0.84,15.9,14.8
2023,1,1,0.86,15.3,14.8
2023,1,1,0.81,15.4,14.7
2023,1,1,0.72,15.7,14.6
2023,1,1,0.73,15.6,14.5
2023,1,1,0.68,16.0,14.4
2023,1,1,0.69,15.9,14.4
2023,1,1,0.76,16.0,14.4
2023,1,1,0.68,15.7,14.4
2023,1,1,0.67,15.5,14.5
2023,1,1,0.68,16.0,14.6
2023,1,1,0.65,16.3,14.8
2023,1,1,0.62,15.7,14.8
2023,1,1,0.6,15.6,14.7
2023,1,1,0.61,15.3,14.6
2023,1,1,0.61,14.8,14.5
2023,1,1,0.59,14.4,14.4
2023,1,2,0.57,14.2,14.2
2023,1,2,0.54,14.3,14.1
2023,1,2,0.51,14.5,14.0
2023,1,2,0.55,14.0,14.0
2023,1,2,0.57,13.6,14.0
2023,1,2,0.53,13.4,14.1
2023,1,2,0.59,13.0,14.2
2023,1,2,0.51,13.3,14.2
2023,1,2,0.58,13.6,14.1
2023,1,2,0.53,12.8,14.1
2023,1,2,0.5,12.8,14.1
2023,1,2,0.58,12.7,14.0
2023,1,2,0.52,12.9,13.7
2023,1,2,0.52,13.0,13.5
2023,1,2,0.56,13.9,13.6
2023,1,2,0.58,14.0,13.7
2023,1,2,0.62,14.0,13.9
2023,1,2,0.54,14.8,14.1
2023,1,2,0.66,15.3,14.5
2023,1,2,0.62,15.4,15.0
2023,1,2,0.59,15.9,15.0
2023,1,2,0.55,15.9,15.0
2023,1,2,0.56,15.2,14.9
2023,1,2,0.55,15.2,14.7
2023,1,3,0.52,15.2,14.6
2023,1,3,0.52,15.3,14.2
2023,1,3,0.53,15.5,14.0
2023,1,3,0.52,15.3,14.0
2023,1,3,0.53,15.2,13.8
2023,1,3,0.6,14.6,13.8
2023,1,3,0.61,14.3,13.8
2023,1,3,0.5,14.5,13.8
2023,1,3,0.57,14.9,14.0
2023,1,3,0.55,15.2,14.1
2023,1,3,0.6,15.1,14.0
2023,1,3,0.55,15.7,14.0
2023,1,3,0.51,15.8,14.0
2023,1,3,0.58,16.0,14.0
2023,1,3,0.55,16.2,13.9
2023,1,3,0.56,16.0,14.0
2023,1,3,0.62,15.1,14.2
2023,1,3,0.62,15.8,14.5
2023,1,3,0.63,16.5,14.3
2023,1,3,0.64,17.1,14.7
2023,1,3,0.67,17.3,14.7
2023,1,3,0.67,17.1,14.9
2023,1,3,0.68,17.1,14.5
2023,1,3,0.65,16.9,14.4
2023,1,4,0.7,17.0,14.5
2023,1,4,0.66,16.8,14.5
2023,1,4,0.6,16.8,14.3
2023,1,4,0.64,16.9,14.2
2023,1,4,0.71,16.6,14.2
2023,1,4,0.78,15.1,14.1
2023,1,4,0.82,15.4,14.1
2023,1,4,0.76,16.2,14.1
2023,1,4,0.85,16.2,14.1
2023,1,4,0.85,16.6,14.2
2023,1,4,0.84,16.8,14.3
2023,1,4,0.93,17.8,14.3
2023,1,4,1.01,17.4,14.3
2023,1,4,0.97,17.3,14.2
2023,1,4,1.02,16.7,14.2
2023,1,4,1.06,17.1,14.1
2023,1,4,1.11,16.4,14.1
2023,1,4,1.02,16.4,14.1
2023,1,4,1.08,16.0,14.1
2023,1,4,1.08,16.4,14.0
2023,1,4,1.05,17.8,14.1
2023,1,4,1.11,16.1,14.1
2023,1,4,1.07,17.1,14.1
2023,1,4,1.13,16.9,14.0
2023,1,5,1.14,16.2,14.0
2023,1,5,0.97,16.0,14.0
2023,1,5,0.95,15.2,14.0
2023,1,5,0.93,15.2,13.9
2023,1,5,1.0,16.1,13.9
2023,1,5,1.03,15.7,13.8
2023,1,5,0.97,16.7,13.8
2023,1,5,0.93,15.8,13.8
2023,1,5,0.97,16.0,13.8
2023,1,5,0.85,16.0,13.8
2023,1,5,0.74,15.4,13.9
2023,1,5,0.78,14.4,13.9
2023,1,5,0.69,14.3,13.8
2023,1,5,0.74,14.5,13.8
2023,1,5,0.69,14.4,13.7
2023,1,5,0.62,14.4,13.8
2023,1,5,0.65,14.4,13.9
2023,1,5,0.64,14.3,14.0
2023,1,5,0.73,14.7,14.1
2023,1,5,0.72,14.4,14.3
2023,1,5,0.66,15.1,14.2
2023,1,5,0.7,15.8,14.2
2023,1,5,0.64,15.5,14.2
2023,1,5,0.6,15.7,14.2
2023,1,6,0.58,15.3,14.2
2023,1,6,0.55,15.6,14.1
2023,1,6,0.51,15.5,14.1
2023,1,6,0.48,15.5,14.0
2023,1,6,0.51,15.0,13.8
2023,1,6,0.49,14.4,13.7
2023,1,6,0.45,14.2,13.6
2023,1,6,0.4,13.7,13.5
2023,1,6,0.41,13.3,13.5
2023,1,6,0.44,13.1,13.5
2023,1,6,0.44,12.9,13.6
2023,1,6,0.43,12.9,13.6
2023,1,6,0.45,12.3,13.6
2023,1,6,0.46,12.0,13.6
2023,1,6,0.47,11.7,13.7
2023,1,6,0.54,11.7,13.7
2023,1,6,0.43,12.0,13.7
