#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 15 20 26 999 99.0 99.0  3.39 14.29 11.44 328 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 15 20 56 999 99.0 99.0  3.13 14.29 10.98 333 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 15 21 26 999 99.0 99.0  2.88 14.29 10.18 335 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 15 21 56 999 99.0 99.0  2.88 18.18  9.98 350 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 15 22 26 999 99.0 99.0  3.01 14.29 10.26 329 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 15 22 56 999 99.0 99.0  2.87 15.38 10.09 342 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 15 23 26 999 99.0 99.0  3.00 18.18 10.36 356 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 15 23 56 999 99.0 99.0  3.14 15.38 10.62 339 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 00 26 999 99.0 99.0  2.97 16.67 10.20 352 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 16 00 56 999 99.0 99.0  2.94 16.67  9.61 345 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 01 26 999 99.0 99.0  2.73 15.38  9.01 350 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 01 56 999 99.0 99.0  2.90 15.38  9.59 345 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 02 26 999 99.0 99.0  2.74 14.29  9.45 332 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 02 56 999 99.0 99.0  2.69 15.38  9.17 343 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 03 26 999 99.0 99.0  2.90 15.38 10.01 353 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 03 56 999 99.0 99.0  2.76 13.33  9.47 332 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 04 26 999 99.0 99.0  2.65 14.29  9.21 340 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 04 56 999 99.0 99.0  2.67 14.29  9.06 335 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 05 26 999 99.0 99.0  2.53 14.29  8.73 338 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 05 56 999 99.0 99.0  2.54 13.33  9.05 326 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 06 26 999 99.0 99.0  2.40 14.29  8.66 331 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 06 56 999 99.0 99.0  2.45 13.33  8.88 332 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 07 26 999 99.0 99.0  2.09 14.29  7.71 328 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 07 56 999 99.0 99.0  2.18 14.29  7.97 346 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 08 26 999 99.0 99.0  2.16 14.29  7.93 340 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 08 56 999 99.0 99.0  2.35 13.33  8.83 329 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 09 26 999 99.0 99.0  2.13 12.50  8.47 328 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 09 56 999 99.0 99.0  2.10 13.33  8.73 336 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 10 26 999 99.0 99.0  2.08 14.29  8.96 339 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 16 10 56 999 99.0 99.0  2.21 12.50  9.18 332 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 11 26 999 99.0 99.0  2.38 13.33  9.40 331 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 11 56 999 99.0 99.0  2.19 12.50  8.69 335 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 12 26 999 99.0 99.0  2.23 13.33  8.65 331 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 12 56 999 99.0 99.0  2.15 12.50  8.24 328 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 13 26 999 99.0 99.0  2.33 13.33  8.27 338 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 13 56 999 99.0 99.0  2.51 12.50  8.64 333 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 14 26 999 99.0 99.0  2.57 13.33  8.62 335 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 14 56 999 99.0 99.0  2.64 12.50  8.69 331 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 15 26 999 99.0 99.0  2.57 12.50  8.76 331 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 15 56 999 99.0 99.0  3.01 22.22 10.29 318 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 16 26 999 99.0 99.0  2.92 22.22 10.26 321 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 16 56 999 99.0 99.0  3.01 22.22 10.24 318 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 17 26 999 99.0 99.0  3.50 22.22 12.27 319 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 17 56 999 99.0 99.0  3.53 20.00 12.78 322 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 18 26 999 99.0 99.0  3.08 22.22 11.47 321 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 18 56 999 99.0 99.0  3.41 20.00 12.55 318 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 19 26 999 99.0 99.0  3.30 20.00 11.77 315 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 19 56 999 99.0 99.0  4.07 20.00 14.65 318 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 20 26 999 99.0 99.0  4.06 20.00 13.93 322 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 20 56 999 99.0 99.0  4.27 20.00 13.94 324 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 21 26 999 99.0 99.0  4.15 22.22 13.32 326 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 21 56 999 99.0 99.0  5.38 20.00 15.10 322 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 22 26 999 99.0 99.0  3.99 20.00 12.12 318 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 22 56 999 99.0 99.0  4.51 20.00 13.23 318 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 23 26 999 99.0 99.0  5.35 20.00 14.83 319 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 16 23 56 999 99.0 99.0  4.46 20.00 13.25 318 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 17 00 26 999 99.0 99.0  4.83 20.00 13.90 319 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 17 00 56 999 99.0 99.0  4.70 18.18 13.10 317 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 17 01 26 999 99.0 99.0  4.27 20.00 12.05 315 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 17 01 56 999 99.0 99.0  4.81 20.00 13.27 314 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 17 02 26 999 99.0 99.0  4.63 20.00 12.99 314 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 17 02 56 999 99.0 99.0  4.46 18.18 12.55 317 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 17 03 26 999 99.0 99.0  4.87 18.18 13.35 315 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 17 03 56 999 99.0 99.0  4.65 16.67 12.89 315 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 17 04 26 999 99.0 99.0  4.08 20.00 12.40 317 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 04 56 999 99.0 99.0  5.22 18.18 13.34 317 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 05 26 999 99.0 99.0  4.78 18.18 12.98 322 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 05 56 999 99.0 99.0  4.49 18.18 12.52 317 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 06 26 999 99.0 99.0  4.78 18.18 13.38 317 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 06 56 999 99.0 99.0  4.39 16.67 12.74 315 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 07 26 999 99.0 99.0  5.32 18.18 14.07 319 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 07 56 999 99.0 99.0  4.92 14.29 12.90 325 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 08 26 999 99.0 99.0  4.09 15.38 12.50 321 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 08 56 999 99.0 99.0  4.34 16.67 12.95 318 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 09 26 999 99.0 99.0  4.74 15.38 13.42 325 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 09 56 999 99.0 99.0  4.19 15.38 12.69 321 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 10 26 999 99.0 99.0  4.71 16.67 13.05 325 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 10 56 999 99.0 99.0  4.11 18.18 12.85 322 9999.0 999.0  25.2 999.0 99.0 99.00
2021 01 17 11 26 999 99.0 99.0  4.77 16.67 13.54 324 9999.0 999.0  25.2 999.0 99.0 99.00
2021 01 17 11 56 999 99.0 99.0  3.94 16.67 12.74 324 9999.0 999.0  25.2 999.0 99.0 99.00
2021 01 17 12 26 999 99.0 99.0  3.91 18.18 12.48 319 9999.0 999.0  25.2 999.0 99.0 99.00
2021 01 17 12 56 999 99.0 99.0  4.25 16.67 12.81 326 9999.0 999.0  25.2 999.0 99.0 99.00
2021 01 17 13 26 999 99.0 99.0  4.07 16.67 12.60 318 9999.0 999.0  25.2 999.0 99.0 99.00
2021 01 17 13 56 999 99.0 99.0  4.06 16.67 12.83 322 9999.0 999.0  25.2 999.0 99.0 99.00
2021 01 17 14 26 999 99.0 99.0  3.81 15.38 12.47 326 9999.0 999.0  25.2 999.0 99.0 99.00
2021 01 17 14 56 999 99.0 99.0  3.71 16.67 12.04 322 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 15 26 999 99.0 99.0  4.12 16.67 12.82 321 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 15 56 999 99.0 99.0  4.25 13.33 12.84 328 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 16 26 999 99.0 99.0  4.11 16.67 12.64 322 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 16 56 999 99.0 99.0  3.91 16.67 12.70 326 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 17 26 999 99.0 99.0  3.47 14.29 11.84 325 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 17 56 999 99.0 99.0  3.67 15.38 11.84 326 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 18 26 999 99.0 99.0  3.94 15.38 12.13 321 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 18 56 999 99.0 99.0  3.57 14.29 11.81 319 9999.0 999.0  25.3 999.0 99.0 99.00
2021 01 17 19 26 999 99.0 99.0  3.70 16.67 12.23 322 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 17 19 56 999 99.0 99.0  3.33 13.33 11.59 319 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 17 20 26 999 99.0 99.0  3.49 15.38 11.61 324 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 17 20 56 999 99.0 99.0  3.22 15.38 11.64 319 9999.0 999.0  25.7 999.0 99.0 99.00
2021 01 17 21 26 999 99.0 99.0  3.21 15.38 11.42 319 9999.0 999.0  25.9 999.0 99.0 99.00
2021 01 17 21 56 999 99.0 99.0  3.25 15.38 11.68 315 9999.0 999.0  25.9 999.0 99.0 99.00
2021 01 17 22 26 999 99.0 99.0  3.44 16.67 11.90 318 9999.0 999.0  25.9 999.0 99.0 99.00
2021 01 17 22 56 999 99.0 99.0  2.82 16.67 11.06 315 9999.0 999.0  25.8 999.0 99.0 99.00
2021 01 17 23 26 999 99.0 99.0  2.99 16.67 11.30 319 9999.0 999.0  25.8 999.0 99.0 99.00
2021 01 17 23 56 999 99.0 99.0  2.65 15.38 10.84 318 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 18 00 26 999 99.0 99.0  2.68 16.67 10.27 318 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 18 00 56 999 99.0 99.0  2.82 15.38 10.61 315 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 18 01 26 999 99.0 99.0  2.67 15.38 10.65 324 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 18 01 56 999 99.0 99.0  2.87 15.38 10.75 314 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 18 02 26 999 99.0 99.0  2.66 15.38 10.42 322 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 18 02 56 999 99.0 99.0  2.64 15.38 10.25 325 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 18 03 26 999 99.0 99.0  2.35 15.38  9.96 319 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 18 03 56 999 99.0 99.0  2.47 15.38 10.37 322 9999.0 999.0  25.4 999.0 99.0 99.00
2021 01 18 04 26 999 99.0 99.0  2.33 15.38 10.19 324 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 18 04 56 999 99.0 99.0  2.19 14.29  9.88 319 9999.0 999.0  25.4 999.0 99.0 99.00
