#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 00 26 999 99.0 99.0  1.36 11.11  6.38 260 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 00 56 999 99.0 99.0  1.31 11.76  5.63 278 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 01 26 999 99.0 99.0  1.31 11.76  5.62 258 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 01 56 999 99.0 99.0  1.40 11.76  5.51 265 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 02 26 999 99.0 99.0  1.33 11.76  5.48 257 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 02 56 999 99.0 99.0  1.39 14.29  5.48 226 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 03 26 999 99.0 99.0  1.47 11.11  5.35 258 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 03 56 999 99.0 99.0  1.50 11.76  5.39 258 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 04 26 999 99.0 99.0  1.55 14.29  5.12 216 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 04 56 999 99.0 99.0  1.65 14.29  5.43 206 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 05 26 999 99.0 99.0  1.60 14.29  4.91 215 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 05 56 999 99.0 99.0  1.77 14.29  5.33 219 9999.0 999.0  15.5 999.0 99.0 99.00
2023 01 01 06 26 999 99.0 99.0  1.84 11.76  5.18 260 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 01 06 56 999 99.0 99.0  1.95 11.76  5.08 250 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 01 07 26 999 99.0 99.0  1.95  5.56  5.11 202 9999.0 999.0  15.4 999.0 99.0 99.00
2023 01 01 07 56 999 99.0 99.0  2.03 14.29  5.36 219 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 01 08 26 999 99.0 99.0  1.88  5.56  5.33 205 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 01 08 56 999 99.0 99.0  2.00  5.26  5.30 220 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 01 09 26 999 99.0 99.0  2.06  5.56  5.40 224 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 01 09 56 999 99.0 99.0  2.31  5.88  5.50 247 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 01 10 26 999 99.0 99.0  2.42  6.25  5.61 257 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 01 10 56 999 99.0 99.0  2.30  7.14  5.52 264 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 01 11 26 999 99.0 99.0  2.36  6.25  5.74 268 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 01 11 56 999 99.0 99.0  2.18  6.67  5.94 268 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 01 12 26 999 99.0 99.0  2.50  7.14  6.23 267 9999.0 999.0  15.3 999.0 99.0 99.00
2023 01 01 12 56 999 99.0 99.0  2.54  6.67  6.37 267 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 01 13 26 999 99.0 99.0  2.79  7.69  6.67 265 9999.0 999.0  15.2 999.0 99.0 99.00
2023 01 01 13 56 999 99.0 99.0  3.01  7.14  6.56 271 9999.0 999.0  15.2 999.0 99.0 99.00
