#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 00  12  1.5  2.3 99.00 99.00 99.00 999 1015.2  16.2  18.7  10.0 99.0 99.00 
2019 01 01 00 10  26  1.9  2.7 99.00 99.00 99.00 999 1015.2  16.2  18.7   9.8 99.0 99.00 
2019 01 01 00 20  43  2.4  3.0 99.00 99.00 99.00 999 1015.1  16.3  18.7   9.6 99.0 99.00 
2019 01 01 00 30  38  2.6  3.5 99.00 99.00 99.00 999 1015.2  16.4  18.7   9.3 99.0 99.00 
2019 01 01 00 40  24  3.0  3.9  0.80  4.76  4.73 238 1015.2  16.5  18.7   9.4 99.0 99.00 
2019 01 01 00 50  29  3.0  4.0 99.00 99.00 99.00 999 1015.4  16.6  18.7   9.6 99.0 99.00 
2019 01 01 01 00  34  3.4  4.4 99.00 99.00 99.00 999 1015.7  16.7  18.7   9.7 99.0 99.00 
2019 01 01 01 10  29  3.3  4.3 99.00 99.00 99.00 999 1015.8  16.8  18.7   9.1 99.0 99.00 
2019 01 01 01 20  29  3.2  4.1 99.00 99.00 99.00 999 1016.0  16.9  18.8   9.0 99.0 99.00 
2019 01 01 01 30  21  2.9  3.8 99.00 99.00 99.00 999 1016.1  16.9  18.8   8.7 99.0 99.00 
2019 01 01 01 40  12  3.1  4.0  0.72  6.67  4.74 122 1016.3  17.0  18.8   8.7 99.0 99.00 
2019 01 01 01 50  20  2.9  3.8 99.00 99.00 99.00 999 1016.3  17.0  18.8   8.3 99.0 99.00 
2019 01 01 02 00   4  2.8  3.8 99.00 99.00 99.00 999 1016.3  17.0  18.8   8.6 99.0 99.00 
2019 01 01 02 10   6  3.0  3.7 99.00 99.00 99.00 999 1016.5  17.0 999.0   8.8 99.0 99.00 
2019 01 01 02 20   6  2.8  3.5 99.00 99.00 99.00 999 1016.4  17.0  18.9   9.4 99.0 99.00 
2019 01 01 02 30   4  3.0  3.9 99.00 99.00 99.00 999 1016.3  17.0  18.9   9.0 99.0 99.00 
2019 01 01 02 40  10  3.2  4.2  0.67  6.67  4.88 105 1016.6  17.1  18.9   9.0 99.0 99.00 
2019 01 01 02 50  17  2.9  3.9 99.00 99.00 99.00 999 1016.6  17.0  19.0   9.5 99.0 99.00 
2019 01 01 03 00  27  2.7  3.7 99.00 99.00 99.00 999 1016.6  17.0 999.0   9.4 99.0 99.00 
2019 01 01 03 10  34  2.3  2.9 99.00 99.00 99.00 999 1016.8  17.1  19.0   9.2 99.0 99.00 
2019 01 01 03 20  16  2.2  2.8 99.00 99.00 99.00 999 1016.7  17.2  19.0   9.1 99.0 99.00 
2019 01 01 03 30  21  2.3  3.2 99.00 99.00 99.00 999 1016.7  17.3  19.0   9.4 99.0 99.00 
2019 01 01 03 40  18  2.9  3.8  0.68  6.67  5.09 117 1016.7  17.3  18.9   9.3 99.0 99.00 
2019 01 01 03 50   9  3.5  4.4 99.00 99.00 99.00 999 1016.6  17.3  19.0   9.2 99.0 99.00 
2019 01 01 04 00  13  3.2  4.0 99.00 99.00 99.00 999 1016.7  17.3  19.0   9.4 99.0 99.00 
2019 01 01 04 10  30  3.1  4.1 99.00 99.00 99.00 999 1016.5  17.3  19.1   9.8 99.0 99.00 
2019 01 01 04 20  31  3.5  4.4 99.00 99.00 99.00 999 1016.6  17.3  19.1   9.9 99.0 99.00 
2019 01 01 04 30  21  3.9  4.8 99.00 99.00 99.00 999 1016.7  17.3  19.2  10.4 99.0 99.00 
2019 01 01 04 40   3  4.0  4.9  0.62  6.25  5.15 104 1016.8  17.3  19.4  10.6 99.0 99.00 
2019 01 01 04 50   5  3.5  4.4 99.00 99.00 99.00 999 1016.6  17.2  19.4  10.7 99.0 99.00 
2019 01 01 05 00  15  3.4  4.4 99.00 99.00 99.00 999 1016.6  17.2  19.6  10.9 99.0 99.00 
2019 01 01 05 10  30  3.3  4.3 99.00 99.00 99.00 999 1016.6  17.2  19.8  10.9 99.0 99.00 
2019 01 01 05 20  27  3.3  4.1 99.00 99.00 99.00 999 1016.6  17.3  20.0  11.1 99.0 99.00 
2019 01 01 05 30  32  3.6  4.4 99.00 99.00 99.00 999 1016.7  17.4  20.1  10.9 99.0 99.00 
2019 01 01 05 40  21  3.8  4.9  0.64  7.14  5.49 102 1016.8  17.4  20.2  10.9 99.0 99.00 
2019 01 01 05 50  11  4.4  5.4 99.00 99.00 99.00 999 1016.7  17.5  20.2  10.8 99.0 99.00 
2019 01 01 06 00  18  4.2  5.5 99.00 99.00 99.00 999 1016.8  17.5  20.2  11.0 99.0 99.00 
2019 01 01 06 10  42  4.2  5.1 99.00 99.00 99.00 999 1016.4  17.5  20.3  10.9 99.0 99.00 
2019 01 01 06 20  38  4.2  5.0 99.00 99.00 99.00 999 1016.6  17.6  20.3  10.7 99.0 99.00 
2019 01 01 06 30  35  3.9  4.8 99.00 99.00 99.00 999 1016.7  17.7  20.3  10.5 99.0 99.00 
2019 01 01 06 40  41  3.7  5.0  0.70  7.14  5.76 108 1016.7  17.8  20.3  10.4 99.0 99.00 
2019 01 01 06 50  40  3.8  4.5 99.00 99.00 99.00 999 1017.0  17.9  20.3  10.1 99.0 99.00 
2019 01 01 07 00  37  3.6  4.3 99.00 99.00 99.00 999 1017.1  18.0  20.3  10.0 99.0 99.00 
2019 01 01 07 10  44  3.8  5.0 99.00 99.00 99.00 999 1016.8  18.0  20.3  10.0 99.0 99.00 
2019 01 01 07 20  42  4.2  5.0 99.00 99.00 99.00 999 1016.9  18.1  20.3   9.8 99.0 99.00 
2019 01 01 07 30  44  4.6  5.5 99.00 99.00 99.00 999 1016.8  18.2  20.2  10.0 99.0 99.00 
2019 01 01 07 40  46  5.0  6.3  0.78  7.14  5.84 115 1016.5  18.2  20.2  10.0 99.0 99.00 
2019 01 01 07 50  41  5.0  6.2 99.00 99.00 99.00 999 1016.5  18.3  20.2   9.8 99.0 99.00 
2019 01 01 08 00  43  4.8  5.9 99.00 99.00 99.00 999 1016.5  18.3  20.2   9.3 99.0 99.00 
2019 01 01 08 10  46  4.9  6.0 99.00 99.00 99.00 999 1016.5  18.3  20.2   9.6 99.0 99.00 
2019 01 01 08 20  54  4.9  6.3 99.00 99.00 99.00 999 1016.6  18.4  20.1   9.4 99.0 99.00 
2019 01 01 08 30  54  5.1  6.0 99.00 99.00 99.00 999 1016.3  18.4  20.2   9.1 99.0 99.00 
2019 01 01 08 40  55  5.4  6.3  0.84  7.14  5.58 122 1016.3  18.4  20.2   9.6 99.0 99.00 
2019 01 01 08 50  52  5.3  6.2 99.00 99.00 99.00 999 1016.3  18.6  20.2   8.5 99.0 99.00 
2019 01 01 09 00  48  5.2  6.4 99.00 99.00 99.00 999 1016.2  18.6  20.2   8.5 99.0 99.00 
2019 01 01 09 10  49  5.3  6.5 99.00 99.00 99.00 999 1016.3  18.7  20.2   8.7 99.0 99.00 
2019 01 01 09 20  50  5.2  6.4 99.00 99.00 99.00 999 1016.4  18.6  20.2   8.7 99.0 99.00 
2019 01 01 09 30  55  5.3  6.6 99.00 99.00 99.00 999 1016.3  18.7  20.2   9.7 99.0 99.00 
2019 01 01 09 40  52  5.3  6.5  0.89  6.67  5.19 127 1016.5  18.7  20.2   9.1 99.0 99.00 
2019 01 01 09 50  46  5.2  6.6 99.00 99.00 99.00 999 1016.6  18.7  20.3   8.6 99.0 99.00 
2019 01 01 10 00  35  5.1  6.3 99.00 99.00 99.00 999 1016.5  18.7  20.3   8.3 99.0 99.00 
2019 01 01 10 10  35  5.8  6.8 99.00 99.00 99.00 999 1016.4  18.6  20.3   8.6 99.0 99.00 
2019 01 01 10 20  36  6.3  7.5 99.00 99.00 99.00 999 1016.3  18.6  20.3   8.8 99.0 99.00 
2019 01 01 10 30  31  6.5  7.7 99.00 99.00 99.00 999 1016.3  18.5  20.3   8.9 99.0 99.00 
2019 01 01 10 40  37  6.4  7.6  0.82  6.67  4.81 113 1016.1  18.5  20.3   9.2 99.0 99.00 
2019 01 01 10 50  42  6.5  7.7 99.00 99.00 99.00 999 1016.1  18.5  20.3   9.5 99.0 99.00 
2019 01 01 11 00  39  6.1  7.5 99.00 99.00 99.00 999 1016.3  18.4  20.4  10.2 99.0 99.00 
2019 01 01 11 10  35  6.0  7.0 99.00 99.00 99.00 999 1016.4  18.2  20.4  11.2 99.0 99.00 
2019 01 01 11 20  33  6.1  7.3 99.00 99.00 99.00 999 1016.6  18.1  20.5  11.2 99.0 99.00 
2019 01 01 11 30  32  5.9  7.2 99.00 99.00 99.00 999 1016.7  18.0  20.5  11.2 99.0 99.00 
2019 01 01 11 40  30  6.3  7.6  0.92  7.14  4.96 130 1016.8  18.0  20.5  11.3 99.0 99.00 
2019 01 01 11 50  30  6.5  8.0 99.00 99.00 99.00 999 1016.7  17.9 999.0  11.6 99.0 99.00 
2019 01 01 12 00  24  6.6  7.9 99.00 99.00 99.00 999 1017.1  17.9  20.5  11.9 99.0 99.00 
2019 01 01 12 10  19  6.7  8.2 99.00 99.00 99.00 999 1017.1  17.7  20.6  12.5 99.0 99.00 
2019 01 01 12 20  24  6.9  8.2 99.00 99.00 99.00 999 1017.2  17.6  20.6  13.0 99.0 99.00 
2019 01 01 12 30  27  6.7  7.9 99.00 99.00 99.00 999 1017.3  17.5  20.6  13.0 99.0 99.00 
2019 01 01 12 40  27  6.9  8.4  0.92  7.14  4.59 131 1017.4  17.5  20.6  13.1 99.0 99.00 
2019 01 01 12 50  30  7.1  8.4 99.00 99.00 99.00 999 1017.5  17.4  20.7  13.1 99.0 99.00 
2019 01 01 13 00  30  7.0  8.5 99.00 99.00 99.00 999 1017.6  17.4  20.7  13.3 99.0 99.00 
2019 01 01 13 10  32  7.2  8.7 99.00 99.00 99.00 999 1017.6  17.4  20.7  13.5 99.0 99.00 
2019 01 01 13 20  31  7.3  8.8 99.00 99.00 99.00 999 1017.8  17.4  20.7  13.3 99.0 99.00 
2019 01 01 13 30  33  7.0  9.1 99.00 99.00 99.00 999 1018.0  17.6  20.8  13.3 99.0 99.00 
2019 01 01 13 40  32  7.5  8.6  1.02  6.67  4.82 137 1018.2  17.6  20.8  12.7 99.0 99.00 
2019 01 01 13 50  29  7.6  8.9 99.00 99.00 99.00 999 1018.3  17.7  20.8  12.8 99.0 99.00 
2019 01 01 14 00  31  7.5  9.1 99.00 99.00 99.00 999 1018.6  17.7  20.8  12.5 99.0 99.00 
2019 01 01 14 10  29  7.5  8.8 99.00 99.00 99.00 999 1018.7  17.7  20.9  12.4 99.0 99.00 
2019 01 01 14 20  25  8.0  9.0 99.00 99.00 99.00 999 1018.9  17.7  20.9  12.5 99.0 99.00 
2019 01 01 14 30  24  8.0  9.7 99.00 99.00 99.00 999 1019.2  17.6  20.9  12.9 99.0 99.00 
2019 01 01 14 40  22  8.4 10.2  1.10  6.67  4.47 132 1019.3  17.5  20.9  13.1 99.0 99.00 
2019 01 01 14 50  23  8.8 10.6 99.00 99.00 99.00 999 1019.3  17.3  20.9  12.9 99.0 99.00 
2019 01 01 15 00  26  9.1 11.1 99.00 99.00 99.00 999 1019.4  17.4  20.9  13.1 99.0 99.00 
2019 01 01 15 10  31  8.3 10.0 99.00 99.00 99.00 999 1019.7  17.3  20.9  13.3 99.0 99.00 
2019 01 01 15 20  31  8.2  9.6 99.00 99.00 99.00 999 1020.0  17.2  20.8  13.6 99.0 99.00 
2019 01 01 15 30  32  8.0  9.7 99.00 99.00 99.00 999 1020.1  17.1  20.8  13.6 99.0 99.00 
2019 01 01 15 40  34  8.4 10.2  1.27  7.14  4.56 133 1020.0  17.2  19.9  13.5 99.0 99.00 
2019 01 01 15 50  33  8.9 10.5 99.00 99.00 99.00 999 1020.0  17.3  19.7  13.3 99.0 99.00 
2019 01 01 16 00  29  8.9 10.2 99.00 99.00 99.00 999 1020.1  17.1  19.7  13.7 99.0 99.00 
2019 01 01 16 10  32  9.1 10.6 99.00 99.00 99.00 999 1020.0  17.0  19.6  13.6 99.0 99.00 
2019 01 01 16 20  33  9.1 10.8 99.00 99.00 99.00 999 1020.1  17.0  19.6  13.6 99.0 99.00 
2019 01 01 16 30  32  9.0 10.7 99.00 99.00 99.00 999 1020.1  17.1  19.6  13.6 99.0 99.00 
2019 01 01 16 40  31  8.8 10.3  1.30  7.14  4.48 138 1020.2  17.2  19.6  13.7 99.0 99.00 
2019 01 01 16 50  36  8.7 10.4 99.00 99.00 99.00 999 1019.9  17.3  19.6  13.4 99.0 99.00 
2019 01 01 17 00  33  8.9 10.8 99.00 99.00 99.00 999 1019.6  17.5  19.6  13.1 99.0 99.00 
2019 01 01 17 10  35  8.6 10.2 99.00 99.00 99.00 999 1019.5  17.6  19.6  12.9 99.0 99.00 
2019 01 01 17 20  35  8.9 10.2 99.00 99.00 99.00 999 1019.3  17.6  19.6  12.5 99.0 99.00 
2019 01 01 17 30  35  9.1 10.6 99.00 99.00 99.00 999 1019.4  17.7  19.6  12.1 99.0 99.00 
2019 01 01 17 40  34  8.9 11.0  1.38  4.35  4.53  35 1019.3  17.8  19.5  12.2 99.0 99.00 
2019 01 01 17 50  38  8.9 10.3 99.00 99.00 99.00 999 1019.0  17.8  19.6  12.1 99.0 99.00 
2019 01 01 18 00  43  8.6  9.9 99.00 99.00 99.00 999 1018.5  17.8  19.6  12.2 99.0 99.00 
2019 01 01 18 10  48  8.4 10.0 99.00 99.00 99.00 999 1018.4  17.8  19.6  12.6 99.0 99.00 
