#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 00 00 999  3.1  3.8 99.00 99.00 99.00 999 1014.6  22.5 999.0  17.1 99.0 99.00 
2023 01 01 00 10 999  3.2  3.9  0.91  7.69  6.42 100 1014.5  22.6 999.0  17.0 99.0 99.00 
2023 01 01 00 20 999  3.1 99.0 99.00 99.00 99.00 999 1014.7  22.6 999.0  16.8 99.0 99.00 
2023 01 01 00 30 999  2.9  3.7 99.00 99.00 99.00 999 1014.7  22.6 999.0  17.0 99.0 99.00 
2023 01 01 00 40 999  3.3  4.2  0.90  8.33  6.20  97 1014.7  22.6 999.0  16.9 99.0 99.00 
2023 01 01 00 50 999  3.7  4.7 99.00 99.00 99.00 999 1014.7  22.7 999.0  16.6 99.0 99.00 
2023 01 01 01 00 999  3.9  4.9 99.00 99.00 99.00 999 1014.8  22.7 999.0  16.5 99.0 99.00 
2023 01 01 01 10 999  3.8  4.5  0.96  7.69  6.38  98 1014.9  22.7 999.0  16.6 99.0 99.00 
2023 01 01 01 20 999  3.8  4.6 99.00 99.00 99.00 999 1015.0  22.7 999.0  16.8 99.0 99.00 
2023 01 01 01 30 999  3.9  4.6 99.00 99.00 99.00 999 1015.0  22.7 999.0  16.5 99.0 99.00 
2023 01 01 01 40 999  4.0  5.0  0.87  7.69  6.18  96 1015.1  22.8 999.0  16.4 99.0 99.00 
2023 01 01 01 50 999  4.2 99.0 99.00 99.00 99.00 999 1015.2  22.7 999.0  17.0 99.0 99.00 
2023 01 01 02 00 999  4.2 99.0 99.00 99.00 99.00 999 1015.2  22.7 999.0  17.6 99.0 99.00 
2023 01 01 02 10 999  4.5 99.0  0.95  7.69  6.33 103 1015.3  22.6 999.0  17.7 99.0 99.00 
2023 01 01 02 20 999  4.8 99.0 99.00 99.00 99.00 999 1015.5 999.0 999.0 999.0 99.0 99.00 
2023 01 01 02 30 999  5.3 99.0 99.00 99.00 99.00 999 1015.5 999.0 999.0 999.0 99.0 99.00 
2023 01 01 02 40 999  5.8 99.0  0.91  7.69  5.83 106 1015.6 999.0 999.0 999.0 99.0 99.00 
2023 01 01 02 50 999  5.9 99.0 99.00 99.00 99.00 999 1015.6 999.0 999.0 999.0 99.0 99.00 
2023 01 01 03 00 999  6.1 99.0 99.00 99.00 99.00 999 1015.6 999.0 999.0 999.0 99.0 99.00 
2023 01 01 03 10 999  6.6 99.0 99.00 99.00 99.00 999 1015.6 999.0 999.0 999.0 99.0 99.00 
2023 01 01 03 20 999  6.6 99.0 99.00 99.00 99.00 999 1015.7 999.0 999.0 999.0 99.0 99.00 
2023 01 01 03 30 999 99.0 99.0 99.00 99.00 99.00 999 1015.8 999.0 999.0 999.0 99.0 99.00 
2023 01 01 03 40 999  7.1 99.0 99.00 99.00 99.00 999 1015.7 999.0 999.0 999.0 99.0 99.00 
2023 01 01 03 50 999  7.3 99.0 99.00 99.00 99.00 999 1015.7 999.0 999.0 999.0 99.0 99.00 
2023 01 01 04 00 999  7.2 99.0 99.00 99.00 99.00 999 1015.7 999.0 999.0 999.0 99.0 99.00 
2023 01 01 04 10 999  7.5 99.0  0.99  8.33  4.74  96 1015.7 999.0 999.0 999.0 99.0 99.00 
2023 01 01 04 20 999  7.5 99.0 99.00 99.00 99.00 999 1015.7 999.0 999.0 999.0 99.0 99.00 
2023 01 01 04 30 999  7.0 99.0 99.00 99.00 99.00 999 1015.9  22.5 999.0  20.0 99.0 99.00 
2023 01 01 04 40 999  6.6 99.0  1.05  7.14  4.75 103 1016.0 999.0 999.0 999.0 99.0 99.00 
2023 01 01 04 50 999  6.3 99.0 99.00 99.00 99.00 999 1016.1 999.0 999.0 999.0 99.0 99.00 
