#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 01 00 00 999 99.0 99.0  0.76  6.06  5.01 195 9999.0 999.0  18.2 999.0 99.0 99.00
2022 01 01 00 30 999 99.0 99.0  0.73  6.25  4.91 193 9999.0 999.0  18.3 999.0 99.0 99.00
2022 01 01 01 00 999 99.0 99.0  0.67  6.06  4.62 202 9999.0 999.0  18.3 999.0 99.0 99.00
2022 01 01 01 30 999 99.0 99.0  0.71  6.25  4.69 193 9999.0 999.0  18.3 999.0 99.0 99.00
2022 01 01 02 00 999 99.0 99.0  0.64  5.88  4.32 196 9999.0 999.0  18.3 999.0 99.0 99.00
2022 01 01 02 30 999 99.0 99.0  0.69  6.06  4.26 193 9999.0 999.0  18.3 999.0 99.0 99.00
2022 01 01 03 00 999 99.0 99.0  0.66  5.88  4.16 190 9999.0 999.0  18.3 999.0 99.0 99.00
2022 01 01 03 30 999 99.0 99.0  0.67  6.06  4.14 189 9999.0 999.0  18.2 999.0 99.0 99.00
2022 01 01 04 00 999 99.0 99.0  0.73  5.71  4.03 188 9999.0 999.0  18.1 999.0 99.0 99.00
2022 01 01 04 30 999 99.0 99.0  0.70  5.71  3.92 191 9999.0 999.0  18.0 999.0 99.0 99.00
2022 01 01 05 00 999 99.0 99.0  0.71  5.71  3.90 183 9999.0 999.0  18.0 999.0 99.0 99.00
2022 01 01 05 30 999 99.0 99.0  0.70  5.88  3.74 190 9999.0 999.0  18.0 999.0 99.0 99.00
2022 01 01 06 00 999 99.0 99.0  0.71  5.41  3.60 172 9999.0 999.0  18.1 999.0 99.0 99.00
2022 01 01 06 30 999 99.0 99.0  0.77  5.56  3.67 172 9999.0 999.0  18.1 999.0 99.0 99.00
2022 01 01 07 00 999 99.0 99.0  0.77  5.56  3.62 192 9999.0 999.0  18.1 999.0 99.0 99.00
2022 01 01 07 30 999 99.0 99.0  0.79  5.26  3.66 182 9999.0 999.0  18.0 999.0 99.0 99.00
2022 01 01 08 00 999 99.0 99.0  0.84  5.13  3.71 179 9999.0 999.0  18.0 999.0 99.0 99.00
2022 01 01 08 30 999 99.0 99.0  0.84  5.13  3.61 192 9999.0 999.0  18.1 999.0 99.0 99.00
2022 01 01 09 00 999 99.0 99.0  0.88  5.26  3.51 182 9999.0 999.0  18.2 999.0 99.0 99.00
2022 01 01 09 30 999 99.0 99.0  0.97  5.13  3.55 184 9999.0 999.0  18.3 999.0 99.0 99.00
2022 01 01 10 00 999 99.0 99.0  1.01  4.00  3.62 193 9999.0 999.0  18.4 999.0 99.0 99.00
2022 01 01 10 30 999 99.0 99.0  1.08  4.55  3.81 192 9999.0 999.0  18.4 999.0 99.0 99.00
2022 01 01 11 00 999 99.0 99.0  1.09  5.00  3.78 197 9999.0 999.0  18.5 999.0 99.0 99.00
2022 01 01 11 30 999 99.0 99.0  1.23  4.65  3.92 207 9999.0 999.0  18.5 999.0 99.0 99.00
2022 01 01 12 00 999 99.0 99.0  1.35  5.13  4.03 206 9999.0 999.0  18.5 999.0 99.0 99.00
2022 01 01 12 30 999 99.0 99.0  1.23  5.00  4.05 212 9999.0 999.0  18.5 999.0 99.0 99.00
2022 01 01 13 00 999 99.0 99.0  1.23  5.13  4.16 207 9999.0 999.0  18.5 999.0 99.0 99.00
2022 01 01 13 30 999 99.0 99.0  1.27  5.41  4.31 202 9999.0 999.0  18.3 999.0 99.0 99.00
2022 01 01 14 00 999 99.0 99.0  1.26  5.56  4.24 208 9999.0 999.0  18.2 999.0 99.0 99.00
2022 01 01 14 30 999 99.0 99.0  1.26  5.71  4.31 205 9999.0 999.0  18.0 999.0 99.0 99.00
2022 01 01 15 00 999 99.0 99.0  1.27  5.56  4.39 207 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 01 15 30 999 99.0 99.0  1.24  6.06  4.39 204 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 01 16 00 999 99.0 99.0  1.20  5.88  4.58 209 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 01 16 30 999 99.0 99.0  1.22  5.88  4.51 208 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 01 17 00 999 99.0 99.0  1.20  6.06  4.35 206 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 01 17 30 999 99.0 99.0  1.35  6.06  4.36 208 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 01 18 00 999 99.0 99.0  1.43  5.88  4.24 205 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 01 18 30 999 99.0 99.0  1.48  5.56  4.32 209 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 01 19 00 999 99.0 99.0  1.48  5.88  4.28 204 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 01 19 30 999 99.0 99.0  1.43  6.25  4.27 200 9999.0 999.0  18.0 999.0 99.0 99.00
2022 01 01 20 00 999 99.0 99.0  1.55  5.71  4.35 203 9999.0 999.0  18.0 999.0 99.0 99.00
2022 01 01 20 30 999 99.0 99.0  1.51  5.41  4.26 203 9999.0 999.0  18.0 999.0 99.0 99.00
2022 01 01 21 00 999 99.0 99.0  1.43  5.56  4.32 207 9999.0 999.0  18.1 999.0 99.0 99.00
2022 01 01 21 30 999 99.0 99.0  1.37  5.88  4.16 206 9999.0 999.0  18.2 999.0 99.0 99.00
2022 01 01 22 00 999 99.0 99.0  1.42  5.88  4.20 207 9999.0 999.0  18.3 999.0 99.0 99.00
2022 01 01 22 30 999 99.0 99.0  1.41  5.71  4.18 210 9999.0 999.0  18.3 999.0 99.0 99.00
2022 01 01 23 00 999 99.0 99.0  1.41  5.56  4.18 210 9999.0 999.0  18.3 999.0 99.0 99.00
2022 01 01 23 30 999 99.0 99.0  1.47  5.41  4.25 207 9999.0 999.0  18.3 999.0 99.0 99.00
2022 01 02 00 00 999 99.0 99.0  1.53  5.71  4.37 205 9999.0 999.0  18.3 999.0 99.0 99.00
2022 01 02 00 30 999 99.0 99.0  1.40  5.56  4.29 208 9999.0 999.0  18.3 999.0 99.0 99.00
2022 01 02 01 00 999 99.0 99.0  1.45  5.56  4.30 212 9999.0 999.0  18.2 999.0 99.0 99.00
2022 01 02 01 30 999 99.0 99.0  1.51  5.56  4.47 211 9999.0 999.0  18.2 999.0 99.0 99.00
2022 01 02 02 00 999 99.0 99.0  1.37  5.71  4.37 207 9999.0 999.0  18.0 999.0 99.0 99.00
2022 01 02 02 30 999 99.0 99.0  1.43  5.88  4.45 205 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 02 03 00 999 99.0 99.0  1.37  5.88  4.42 206 9999.0 999.0  17.7 999.0 99.0 99.00
2022 01 02 03 30 999 99.0 99.0  1.54  5.88  4.66 203 9999.0 999.0  17.5 999.0 99.0 99.00
2022 01 02 04 00 999 99.0 99.0  1.57  5.71  4.66 210 9999.0 999.0  17.3 999.0 99.0 99.00
2022 01 02 04 30 999 99.0 99.0  1.67  5.71  4.66 199 9999.0 999.0  17.2 999.0 99.0 99.00
2022 01 02 05 00 999 99.0 99.0  1.61  5.88  4.56 203 9999.0 999.0  17.1 999.0 99.0 99.00
2022 01 02 05 30 999 99.0 99.0  1.59  5.88  4.56 194 9999.0 999.0  17.1 999.0 99.0 99.00
2022 01 02 06 00 999 99.0 99.0  1.57  6.25  4.50 202 9999.0 999.0  17.1 999.0 99.0 99.00
2022 01 02 06 30 999 99.0 99.0  1.59  6.06  4.49 196 9999.0 999.0  17.1 999.0 99.0 99.00
2022 01 02 07 00 999 99.0 99.0  1.82  6.25  4.75 195 9999.0 999.0  17.2 999.0 99.0 99.00
2022 01 02 07 30 999 99.0 99.0  1.71  5.88  4.57 203 9999.0 999.0  17.4 999.0 99.0 99.00
2022 01 02 08 00 999 99.0 99.0  1.91  6.25  4.73 194 9999.0 999.0  17.5 999.0 99.0 99.00
2022 01 02 08 30 999 99.0 99.0  1.94  6.45  4.78 189 9999.0 999.0  17.7 999.0 99.0 99.00
2022 01 02 09 00 999 99.0 99.0  1.84  6.06  4.66 196 9999.0 999.0  17.8 999.0 99.0 99.00
2022 01 02 09 30 999 99.0 99.0  1.93  6.06  4.81 195 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 02 10 00 999 99.0 99.0  2.01  6.45  4.88 194 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 02 10 30 999 99.0 99.0  1.86  6.67  4.74 194 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 02 11 00 999 99.0 99.0  1.76  6.45  4.72 200 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 02 11 30 999 99.0 99.0  2.00  6.45  5.01 200 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 02 12 00 999 99.0 99.0  2.04  6.45  4.96 201 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 02 12 30 999 99.0 99.0  2.06  6.67  5.11 198 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 02 13 00 999 99.0 99.0  1.89  6.25  5.11 200 9999.0 999.0  18.0 999.0 99.0 99.00
2022 01 02 13 30 999 99.0 99.0  1.95  6.90  5.20 196 9999.0 999.0  18.0 999.0 99.0 99.00
2022 01 02 14 00 999 99.0 99.0  1.96  7.14  5.27 193 9999.0 999.0  17.9 999.0 99.0 99.00
2022 01 02 14 30 999 99.0 99.0  1.96  7.41  5.35 191 9999.0 999.0  17.7 999.0 99.0 99.00
2022 01 02 15 00 999 99.0 99.0  2.05  7.69  5.45 189 9999.0 999.0  17.6 999.0 99.0 99.00
