#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 01 00 00 999 99.0 99.0  3.05 12.50  8.24 296 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 00 30 999 99.0 99.0  3.38 12.50  8.51 293 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 01 00 999 99.0 99.0  3.18 12.50  8.00 300 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 01 30 999 99.0 99.0  3.20 14.29  8.20 285 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 02 00 999 99.0 99.0  3.53 22.22  8.11 279 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 02 30 999 99.0 99.0  3.59 11.76  8.03 299 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 03 00 999 99.0 99.0  3.63 13.33  8.36 292 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 03 30 999 99.0 99.0  3.73 11.11  8.26 299 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 04 00 999 99.0 99.0  3.55 11.76  7.90 298 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 04 30 999 99.0 99.0  4.01 22.22  8.13 282 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 05 00 999 99.0 99.0  4.10 22.22  8.14 288 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 05 30 999 99.0 99.0  4.29 10.53  8.25 299 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 06 00 999 99.0 99.0  4.31 22.22  8.58 289 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 06 30 999 99.0 99.0  4.28 11.76  8.12 296 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 07 00 999 99.0 99.0  4.10 22.22  8.34 286 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 07 30 999 99.0 99.0  4.19 12.50  8.27 282 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 08 00 999 99.0 99.0  4.29 22.22  8.69 272 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 08 30 999 99.0 99.0  4.45 20.00  9.05 286 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 09 00 999 99.0 99.0  4.42 22.22  8.75 281 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 09 30 999 99.0 99.0  4.21 22.22  8.87 281 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 10 00 999 99.0 99.0  4.07 20.00  8.72 285 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 10 30 999 99.0 99.0  4.48 20.00  9.15 278 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 11 00 999 99.0 99.0  4.14 20.00  9.19 284 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 11 30 999 99.0 99.0  4.31 20.00  9.49 275 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 12 00 999 99.0 99.0  4.12 22.22  9.38 279 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 12 30 999 99.0 99.0  4.26 20.00  9.36 285 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 13 00 999 99.0 99.0  4.03 13.33  9.13 288 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 13 30 999 99.0 99.0  4.33 20.00 10.02 275 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 14 00 999 99.0 99.0  4.10 11.76 10.10 286 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 14 30 999 99.0 99.0  3.96 20.00  9.58 278 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 15 00 999 99.0 99.0  4.96 20.00 10.96 281 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 15 30 999 99.0 99.0  4.21 20.00 10.01 275 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 16 00 999 99.0 99.0  3.89 20.00 10.10 278 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 16 30 999 99.0 99.0  3.86 11.76  9.94 291 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 17 00 999 99.0 99.0  4.13 20.00 10.39 282 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 17 30 999 99.0 99.0  4.18 20.00 10.31 274 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 18 00 999 99.0 99.0  4.37 20.00 10.77 275 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 18 30 999 99.0 99.0  4.44 18.18 10.45 278 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 19 00 999 99.0 99.0  4.17 20.00 10.36 272 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 19 30 999 99.0 99.0  3.92 20.00 10.00 274 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 20 00 999 99.0 99.0  4.44 18.18 10.76 277 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 01 20 30 999 99.0 99.0  3.97 20.00 10.14 279 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 21 00 999 99.0 99.0  4.32 18.18 10.63 281 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 21 30 999 99.0 99.0  4.53 20.00 11.12 274 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 22 00 999 99.0 99.0  4.31 18.18 10.24 282 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 22 30 999 99.0 99.0  4.26 16.67 10.53 281 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 23 00 999 99.0 99.0  4.71 18.18 11.03 285 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 01 23 30 999 99.0 99.0  4.44 18.18 10.58 282 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 02 00 00 999 99.0 99.0  4.23 18.18 10.52 277 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 02 00 30 999 99.0 99.0  4.22 16.67 10.71 279 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 02 01 00 999 99.0 99.0  4.42 18.18 10.75 275 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 02 01 30 999 99.0 99.0  4.30 16.67 10.07 279 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 02 02 00 999 99.0 99.0  3.97 16.67 10.18 279 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 02 02 30 999 99.0 99.0  4.17 16.67 10.53 275 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 02 03 00 999 99.0 99.0  4.39 18.18 11.11 281 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 02 03 30 999 99.0 99.0  4.52 16.67 11.47 281 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 02 04 00 999 99.0 99.0  4.30 14.29 10.61 274 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 02 04 30 999 99.0 99.0  4.02 16.67 10.55 278 9999.0 999.0  11.4 999.0 99.0 99.00
2020 01 02 05 00 999 99.0 99.0  4.09 18.18 10.85 277 9999.0 999.0  11.3 999.0 99.0 99.00
2020 01 02 05 30 999 99.0 99.0  4.39 14.29 11.21 277 9999.0 999.0  11.4 999.0 99.0 99.00
