#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 00 26 999 99.0 99.0  0.58 11.11  5.71 104 9999.0 999.0  20.1 999.0 99.0 99.00
2023 01 01 00 56 999 99.0 99.0  0.57 10.53  5.16 111 9999.0 999.0  19.8 999.0 99.0 99.00
2023 01 01 01 26 999 99.0 99.0  0.61 10.53  4.96 115 9999.0 999.0  19.8 999.0 99.0 99.00
2023 01 01 01 56 999 99.0 99.0  0.62  9.88  4.91 111 9999.0 999.0  19.7 999.0 99.0 99.00
2023 01 01 02 26 999 99.0 99.0  0.63 10.53  4.70 110 9999.0 999.0  19.7 999.0 99.0 99.00
2023 01 01 02 56 999 99.0 99.0  0.68 10.53  4.55 115 9999.0 999.0  19.7 999.0 99.0 99.00
2023 01 01 03 26 999 99.0 99.0  0.71 10.53  4.70 111 9999.0 999.0  20.0 999.0 99.0 99.00
2023 01 01 03 56 999 99.0 99.0  0.75 11.11  4.54 104 9999.0 999.0  20.1 999.0 99.0 99.00
2023 01 01 04 26 999 99.0 99.0  0.79 10.53  4.74 107 9999.0 999.0  20.1 999.0 99.0 99.00
2023 01 01 04 56 999 99.0 99.0  0.83  9.88  4.74 108 9999.0 999.0  20.0 999.0 99.0 99.00
2023 01 01 05 26 999 99.0 99.0  0.84 10.53  4.73 106 9999.0 999.0  19.8 999.0 99.0 99.00
2023 01 01 05 56 999 99.0 99.0  0.85 11.11  4.84  98 9999.0 999.0  20.0 999.0 99.0 99.00
2023 01 01 06 26 999 99.0 99.0  0.85  9.88  4.74  97 9999.0 999.0  20.1 999.0 99.0 99.00
2023 01 01 06 56 999 99.0 99.0  0.83  4.35  4.80 151 9999.0 999.0  20.1 999.0 99.0 99.00
2023 01 01 07 26 999 99.0 99.0  0.87  4.55  4.86 148 9999.0 999.0  20.1 999.0 99.0 99.00
2023 01 01 07 56 999 99.0 99.0  0.88  4.55  4.93 146 9999.0 999.0  20.1 999.0 99.0 99.00
2023 01 01 08 26 999 99.0 99.0  0.74 10.53  4.84 100 9999.0 999.0  20.0 999.0 99.0 99.00
2023 01 01 08 56 999 99.0 99.0  0.70 10.53  4.92  97 9999.0 999.0  20.1 999.0 99.0 99.00
2023 01 01 09 26 999 99.0 99.0  0.68 10.53  4.82 101 9999.0 999.0  20.1 999.0 99.0 99.00
2023 01 01 09 56 999 99.0 99.0  0.64  9.88  4.90  98 9999.0 999.0  20.2 999.0 99.0 99.00
2023 01 01 10 26 999 99.0 99.0  0.65 10.53  4.78 104 9999.0 999.0  20.2 999.0 99.0 99.00
2023 01 01 10 56 999 99.0 99.0  0.63 11.11  5.07  96 9999.0 999.0  20.2 999.0 99.0 99.00
2023 01 01 11 26 999 99.0 99.0  0.59 10.53  5.13 100 9999.0 999.0  20.2 999.0 99.0 99.00
2023 01 01 11 56 999 99.0 99.0  0.58  9.88  5.01 104 9999.0 999.0  20.2 999.0 99.0 99.00
2023 01 01 12 26 999 99.0 99.0  0.60 10.53  5.18 114 9999.0 999.0  20.1 999.0 99.0 99.00
2023 01 01 12 56 999 99.0 99.0  0.58  9.88  5.05 113 9999.0 999.0  20.2 999.0 99.0 99.00
2023 01 01 13 26 999 99.0 99.0  0.57 10.53  4.97 106 9999.0 999.0  20.2 999.0 99.0 99.00
2023 01 01 13 56 999 99.0 99.0  0.59 10.53  5.33 103 9999.0 999.0  20.2 999.0 99.0 99.00
2023 01 01 14 26 999 99.0 99.0  0.53 10.53  5.26 107 9999.0 999.0  20.1 999.0 99.0 99.00
2023 01 01 14 56 999 99.0 99.0  0.53  9.88  5.21 101 9999.0 999.0  20.2 999.0 99.0 99.00
2023 01 01 15 26 999 99.0 99.0  0.54  9.88  5.41 107 9999.0 999.0  20.3 999.0 99.0 99.00
2023 01 01 15 56 999 99.0 99.0  0.52 11.11  5.33 107 9999.0 999.0  20.3 999.0 99.0 99.00
2023 01 01 16 26 999 99.0 99.0  0.54 10.53  5.78 106 9999.0 999.0  20.2 999.0 99.0 99.00
2023 01 01 16 56 999 99.0 99.0  0.53  9.88  5.99 110 9999.0 999.0  20.3 999.0 99.0 99.00
2023 01 01 17 26 999 99.0 99.0  0.52  9.88  5.93 106 9999.0 999.0  20.5 999.0 99.0 99.00
2023 01 01 17 56 999 99.0 99.0  0.52  9.88  6.10 108 9999.0 999.0  20.8 999.0 99.0 99.00
2023 01 01 18 26 999 99.0 99.0  0.53  9.88  6.27 113 9999.0 999.0  21.0 999.0 99.0 99.00
2023 01 01 18 56 999 99.0 99.0  0.50  9.88  6.08 100 9999.0 999.0  20.9 999.0 99.0 99.00
2023 01 01 19 26 999 99.0 99.0  0.52 10.53  6.77 101 9999.0 999.0  20.7 999.0 99.0 99.00
2023 01 01 19 56 999 99.0 99.0  0.55  9.88  6.69 115 9999.0 999.0  20.6 999.0 99.0 99.00
2023 01 01 20 26 999 99.0 99.0  0.56 10.53  6.89 106 9999.0 999.0  20.5 999.0 99.0 99.00
2023 01 01 20 56 999 99.0 99.0  0.52  9.88  6.74 104 9999.0 999.0  20.3 999.0 99.0 99.00
2023 01 01 21 26 999 99.0 99.0  0.53  9.88  6.67 104 9999.0 999.0  20.2 999.0 99.0 99.00
2023 01 01 21 56 999 99.0 99.0  0.51  9.88  6.89 108 9999.0 999.0  20.2 999.0 99.0 99.00
2023 01 01 22 26 999 99.0 99.0  0.50 10.53  6.80 114 9999.0 999.0  20.1 999.0 99.0 99.00
2023 01 01 22 56 999 99.0 99.0  0.50  9.88  7.08 108 9999.0 999.0  20.0 999.0 99.0 99.00
2023 01 01 23 26 999 99.0 99.0  0.50  9.88  7.19 111 9999.0 999.0  20.0 999.0 99.0 99.00
2023 01 01 23 56 999 99.0 99.0  0.51  9.88  7.69 108 9999.0 999.0  20.0 999.0 99.0 99.00
2023 01 02 00 26 999 99.0 99.0  0.50  9.88  7.36 107 9999.0 999.0  20.0 999.0 99.0 99.00
2023 01 02 00 56 999 99.0 99.0  0.46  9.88  7.43 111 9999.0 999.0  20.0 999.0 99.0 99.00
2023 01 02 01 26 999 99.0 99.0  0.48  9.88  7.60 108 9999.0 999.0  19.9 999.0 99.0 99.00
2023 01 02 01 56 999 99.0 99.0  0.52  9.88  7.83 113 9999.0 999.0  19.9 999.0 99.0 99.00
2023 01 02 02 26 999 99.0 99.0  0.48  9.88  7.42 110 9999.0 999.0  19.8 999.0 99.0 99.00
2023 01 02 02 56 999 99.0 99.0  0.49  9.88  7.28 108 9999.0 999.0  19.7 999.0 99.0 99.00
2023 01 02 03 26 999 99.0 99.0  0.48 10.53  7.50 110 9999.0 999.0  19.7 999.0 99.0 99.00
2023 01 02 03 56 999 99.0 99.0  0.47  9.88  7.35 115 9999.0 999.0  19.6 999.0 99.0 99.00
2023 01 02 04 26 999 99.0 99.0  0.49 10.53  7.31 107 9999.0 999.0  19.6 999.0 99.0 99.00
2023 01 02 04 56 999 99.0 99.0  0.54 10.53  7.64 101 9999.0 999.0  19.6 999.0 99.0 99.00
2023 01 02 05 26 999 99.0 99.0  0.49 10.53  7.37 110 9999.0 999.0  19.6 999.0 99.0 99.00
2023 01 02 06 26 999 99.0 99.0  0.51  9.88  7.60 110 9999.0 999.0  19.5 999.0 99.0 99.00
2023 01 02 06 56 999 99.0 99.0  0.54  9.88  7.64 106 9999.0 999.0  19.5 999.0 99.0 99.00
2023 01 02 07 26 999 99.0 99.0  0.52 10.53  7.63  90 9999.0 999.0  19.5 999.0 99.0 99.00
2023 01 02 07 56 999 99.0 99.0  0.54  9.88  7.38  93 9999.0 999.0  19.5 999.0 99.0 99.00
2023 01 02 08 26 999 99.0 99.0  0.55 10.53  7.59 101 9999.0 999.0  19.5 999.0 99.0 99.00
2023 01 02 08 56 999 99.0 99.0  0.54  9.88  7.82 106 9999.0 999.0  19.4 999.0 99.0 99.00
2023 01 02 09 26 999 99.0 99.0  0.53 10.53  7.62  94 9999.0 999.0  19.6 999.0 99.0 99.00
2023 01 02 09 56 999 99.0 99.0  0.55  9.88  7.85 106 9999.0 999.0  19.7 999.0 99.0 99.00
2023 01 02 10 26 999 99.0 99.0  0.52  9.88  6.80 104 9999.0 999.0  19.7 999.0 99.0 99.00
2023 01 02 10 56 999 99.0 99.0  0.53 10.53  7.25  98 9999.0 999.0  19.6 999.0 99.0 99.00
2023 01 02 11 26 999 99.0 99.0  0.55  9.88  7.14 103 9999.0 999.0  19.6 999.0 99.0 99.00
2023 01 02 11 56 999 99.0 99.0  0.50  9.88  7.40  94 9999.0 999.0  19.6 999.0 99.0 99.00
2023 01 02 12 26 999 99.0 99.0  0.51  9.88  7.53 104 9999.0 999.0  19.5 999.0 99.0 99.00
2023 01 02 12 56 999 99.0 99.0  0.50  9.88  6.60 100 9999.0 999.0  19.5 999.0 99.0 99.00
2023 01 02 13 26 999 99.0 99.0  0.48  9.88  6.84 103 9999.0 999.0  19.4 999.0 99.0 99.00
2023 01 02 13 56 999 99.0 99.0  0.48 10.53  7.22 114 9999.0 999.0  19.5 999.0 99.0 99.00
2023 01 02 14 26 999 99.0 99.0  0.50  9.88  7.67 104 9999.0 999.0  19.4 999.0 99.0 99.00
2023 01 02 14 56 999 99.0 99.0  0.45  9.88  7.41 103 9999.0 999.0  19.5 999.0 99.0 99.00
2023 01 02 15 26 999 99.0 99.0  0.45  9.88  7.16 107 9999.0 999.0  19.6 999.0 99.0 99.00
