#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 00 999 99.0 99.0  0.34  2.50  2.42 160 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 00 30 999 99.0 99.0  0.33  2.50  2.36 152 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 01 00 999 99.0 99.0  0.33  2.44  2.31 153 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 01 30 999 99.0 99.0  0.36  2.50  2.38 151 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 02 00 999 99.0 99.0  0.34  2.56  2.36 148 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 02 30 999 99.0 99.0  0.40  2.63  2.45 152 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 03 00 999 99.0 99.0  0.51  2.86  2.55 144 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 03 30 999 99.0 99.0  0.61  2.94  2.69 146 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 04 00 999 99.0 99.0  0.68  3.03  2.82 153 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 04 30 999 99.0 99.0  0.72  3.33  2.90 151 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 05 00 999 99.0 99.0  0.70  3.33  2.86 146 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 05 30 999 99.0 99.0  0.74  3.12  2.94 142 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 06 00 999 99.0 99.0  0.86  3.45  3.16 141 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 06 30 999 99.0 99.0  0.93  3.70  3.34 142 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 07 00 999 99.0 99.0  0.94  3.85  3.40 148 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 07 30 999 99.0 99.0  0.94  3.85  3.38 155 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 08 00 999 99.0 99.0  0.89  4.00  3.37 152 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 08 30 999 99.0 99.0  0.93  4.17  3.40 144 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 09 00 999 99.0 99.0  0.90  4.17  3.40 148 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 01 09 30 999 99.0 99.0  0.98  4.00  3.47 159 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 10 00 999 99.0 99.0  0.91  4.00  3.43 167 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 10 30 999 99.0 99.0  0.92  3.70  3.29 189 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 11 00 999 99.0 99.0  1.06  4.00  3.53 224 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 11 30 999 99.0 99.0  1.17  4.55  3.76 232 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 12 00 999 99.0 99.0  1.13  4.35  3.76 234 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 12 30 999 99.0 99.0  0.92  4.35  3.45 232 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 13 00 999 99.0 99.0  0.78  3.70  3.26 235 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 13 30 999 99.0 99.0  0.71  3.70  3.14 235 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 14 00 999 99.0 99.0  0.71  3.70  3.10 236 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 14 30 999 99.0 99.0  0.56  3.23  2.93 239 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 15 00 999 99.0 99.0  0.54  3.12  2.91 243 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 15 30 999 99.0 99.0  0.51  3.12  2.86 243 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 16 00 999 99.0 99.0  0.45  2.94  2.83 255 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 16 30 999 99.0 99.0  0.49  2.94  2.75 262 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 17 00 999 99.0 99.0  0.72  3.03  3.06 274 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 17 30 999 99.0 99.0  1.00  3.85  3.48 283 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 18 00 999 99.0 99.0  1.09  4.55  3.71 298 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 18 30 999 99.0 99.0  1.10  4.35  3.77 305 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 19 00 999 99.0 99.0  1.05  4.55  3.70 315 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 19 30 999 99.0 99.0  1.13  4.76  3.87 322 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 20 00 999 99.0 99.0  1.16  5.00  3.94 332 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 20 30 999 99.0 99.0  1.15  5.26  4.09 336 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 21 00 999 99.0 99.0  1.16  5.26  4.04 336 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 21 30 999 99.0 99.0  1.19  5.26  4.08 335 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 22 00 999 99.0 99.0  1.18  4.76  4.03 331 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 23 00 999 99.0 99.0  1.23  5.26  4.20 338 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 01 23 30 999 99.0 99.0  1.53  5.88  4.60 347 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 02 00 00 999 99.0 99.0  1.79  5.88  4.98 352 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 02 00 30 999 99.0 99.0  1.80  6.25  5.07 356 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 02 01 00 999 99.0 99.0  1.72  6.25  5.01 354 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 02 01 30 999 99.0 99.0  1.71  6.25  5.01 352 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 02 02 00 999 99.0 99.0  1.66  6.67  5.05 356 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 02 02 30 999 99.0 99.0  1.49  6.67  4.74   1 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 02 03 00 999 99.0 99.0  1.63  5.88  5.05 356 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 02 03 30 999 99.0 99.0  1.62  6.25  4.94 359 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 02 04 00 999 99.0 99.0  1.71  6.67  5.11   4 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 02 04 30 999 99.0 99.0  1.67  6.67  4.95   1 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 02 05 00 999 99.0 99.0  1.63  6.67  4.87 357 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 02 05 30 999 99.0 99.0  1.61  6.67  4.82   0 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 02 06 00 999 99.0 99.0  1.59  6.25  4.80 356 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 02 06 30 999 99.0 99.0  1.57  6.25  4.78 357 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 02 07 00 999 99.0 99.0  1.43  5.88  4.52 357 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 02 07 30 999 99.0 99.0  1.42  5.88  4.54 357 9999.0 999.0   5.5 999.0 99.0 99.00
2019 01 02 08 00 999 99.0 99.0  1.42  5.56  4.47 352 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 02 08 30 999 99.0 99.0  1.32  5.88  4.33   1 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 02 09 00 999 99.0 99.0  1.22  5.88  4.29   1 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 02 09 30 999 99.0 99.0  1.21  5.56  4.17 359 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 02 10 00 999 99.0 99.0  1.15  5.56  4.07   0 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 02 10 30 999 99.0 99.0  1.10  5.56  4.10   1 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 02 11 00 999 99.0 99.0  1.06  5.56  4.08   0 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 02 11 30 999 99.0 99.0  0.99  5.88  3.91   6 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 02 12 00 999 99.0 99.0  0.94  5.00  3.77   0 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 02 20 30 999 99.0 99.0  0.43  4.76  3.60   0 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 02 21 00 999 99.0 99.0  0.44  5.00  3.69   6 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 02 21 30 999 99.0 99.0  0.41  4.55  3.69 359 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 02 22 00 999 99.0 99.0  0.38  5.00  3.65   4 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 02 22 30 999 99.0 99.0  0.36  4.76  3.53   3 9999.0 999.0   5.3 999.0 99.0 99.00
2019 01 02 23 00 999 99.0 99.0  0.32  3.57  3.39 356 9999.0 999.0   5.3 999.0 99.0 99.00
2019 01 02 23 30 999 99.0 99.0  0.29  4.35  3.35 357 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 03 00 00 999 99.0 99.0  0.26  4.00  3.37   0 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 03 00 30 999 99.0 99.0  0.23 99.00  3.38 999 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 03 01 00 999 99.0 99.0  0.23 99.00  3.39 999 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 03 01 30 999 99.0 99.0  0.20 99.00  3.57 999 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 03 02 00 999 99.0 99.0  0.20 99.00  3.76 999 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 03 02 30 999 99.0 99.0  0.18 99.00  3.82 999 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 03 03 00 999 99.0 99.0  0.19 99.00  3.72 999 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 03 03 30 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 03 04 00 999 99.0 99.0  0.27  2.04  2.46 129 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 03 04 30 999 99.0 99.0  0.31  2.13  2.42 135 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 03 05 00 999 99.0 99.0  0.33  2.22  2.38 142 9999.0 999.0   5.4 999.0 99.0 99.00
2019 01 03 05 30 999 99.0 99.0  0.31  2.17  2.36 142 9999.0 999.0   5.3 999.0 99.0 99.00
2019 01 03 06 00 999 99.0 99.0  0.28  2.08  2.32 144 9999.0 999.0   5.3 999.0 99.0 99.00
2019 01 03 06 30 999 99.0 99.0  0.25  2.08  2.31 142 9999.0 999.0   5.3 999.0 99.0 99.00
2019 01 03 07 00 999 99.0 99.0  0.28  2.13  2.26 155 9999.0 999.0   5.3 999.0 99.0 99.00
