#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 01 00 26 999 99.0 99.0  3.50 11.76  8.40 329 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 00 56 999 99.0 99.0  3.33 11.11  7.91 335 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 01 26 999 99.0 99.0  3.64 11.76  8.35 336 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 01 56 999 99.0 99.0  3.71 12.50  8.53 321 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 02 26 999 99.0 99.0  3.72 12.50  8.72 332 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 02 56 999 99.0 99.0  3.80 11.76  8.72 329 9999.0 999.0  11.1 999.0 99.0 99.00
2022 01 01 03 26 999 99.0 99.0  3.50 12.50  8.70 332 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 03 56 999 99.0 99.0  3.32 11.11  8.33 325 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 04 26 999 99.0 99.0  3.27 11.76  8.52 330 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 04 56 999 99.0 99.0  3.36 12.50  8.62 335 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 05 26 999 99.0 99.0  3.18 11.11  8.36 333 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 05 56 999 99.0 99.0  3.26 12.50  8.38 332 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 06 26 999 99.0 99.0  2.97 11.11  8.08 340 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 06 56 999 99.0 99.0  2.88  9.88  7.64 342 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 07 26 999 99.0 99.0  2.64 10.53  7.33 329 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 07 56 999 99.0 99.0  2.70 11.11  7.41 336 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 08 26 999 99.0 99.0  2.73 11.11  7.77 322 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 08 56 999 99.0 99.0  2.94 10.53  8.03 318 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 09 26 999 99.0 99.0  2.60 11.76  7.65 314 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 09 56 999 99.0 99.0  2.68 10.53  7.45 326 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 10 26 999 99.0 99.0  2.56 12.50  7.44 329 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 10 56 999 99.0 99.0  2.51 12.50  7.46 326 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 11 26 999 99.0 99.0  2.64 12.50  7.31 333 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 11 56 999 99.0 99.0  2.49 11.76  7.11 323 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 12 26 999 99.0 99.0  2.71 11.11  7.42 321 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 12 56 999 99.0 99.0  2.58 11.11  7.34 322 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 13 26 999 99.0 99.0  2.45 11.11  7.39 325 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 01 13 56 999 99.0 99.0  2.68  9.88  7.71 329 9999.0 999.0  11.1 999.0 99.0 99.00
2022 01 01 14 26 999 99.0 99.0  2.79  9.88  7.61 325 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 14 56 999 99.0 99.0  2.58  9.88  7.38 332 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 15 26 999 99.0 99.0  2.52 11.11  7.39 325 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 15 56 999 99.0 99.0  2.56 11.11  7.55 333 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 16 26 999 99.0 99.0  2.39 10.53  7.65 336 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 16 56 999 99.0 99.0  2.37 11.11  7.66 335 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 17 26 999 99.0 99.0  2.62 10.53  7.96 339 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 17 56 999 99.0 99.0  2.39 10.53  7.61 330 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 18 26 999 99.0 99.0  2.37 11.11  7.79 337 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 18 56 999 99.0 99.0  2.36 11.11  7.72 330 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 19 26 999 99.0 99.0  2.32  9.88  7.72 333 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 19 56 999 99.0 99.0  2.22  9.88  7.80 335 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 20 26 999 99.0 99.0  2.10 11.11  7.40 333 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 20 56 999 99.0 99.0  2.13 10.53  7.44 333 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 21 26 999 99.0 99.0  2.27 11.11  7.72 315 9999.0 999.0  11.2 999.0 99.0 99.00
2022 01 01 21 56 999 99.0 99.0  2.24  9.88  7.83 325 9999.0 999.0  11.3 999.0 99.0 99.00
