#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 00 999 99.0 99.0  2.00  7.14  6.39 277 9999.0 999.0  16.0 999.0 99.0 99.00
2019 01 01 00 30 999 99.0 99.0  2.00  8.33  6.46 275 9999.0 999.0  16.0 999.0 99.0 99.00
2019 01 01 01 00 999 99.0 99.0  1.83 15.38  6.35 268 9999.0 999.0  16.0 999.0 99.0 99.00
2019 01 01 01 30 999 99.0 99.0  1.98  9.09  6.66 277 9999.0 999.0  16.0 999.0 99.0 99.00
2019 01 01 02 00 999 99.0 99.0  1.77  8.33  6.49 275 9999.0 999.0  16.0 999.0 99.0 99.00
2019 01 01 02 30 999 99.0 99.0  1.84  7.14  6.71 278 9999.0 999.0  16.0 999.0 99.0 99.00
2019 01 01 03 00 999 99.0 99.0  1.79  7.14  6.76 275 9999.0 999.0  16.0 999.0 99.0 99.00
2019 01 01 03 30 999 99.0 99.0  1.76  9.88  6.37 275 9999.0 999.0  16.0 999.0 99.0 99.00
2019 01 01 04 00 999 99.0 99.0  1.61 11.76  6.23 267 9999.0 999.0  16.0 999.0 99.0 99.00
2019 01 01 04 30 999 99.0 99.0  1.54 14.29  6.81 267 9999.0 999.0  15.9 999.0 99.0 99.00
2019 01 01 05 00 999 99.0 99.0  1.43  9.88  7.02 275 9999.0 999.0  15.9 999.0 99.0 99.00
2019 01 01 05 30 999 99.0 99.0  1.37  9.88  7.26 278 9999.0 999.0  15.9 999.0 99.0 99.00
2019 01 01 06 00 999 99.0 99.0  1.35 10.53  7.74 277 9999.0 999.0  15.9 999.0 99.0 99.00
2019 01 01 06 30 999 99.0 99.0  1.41 14.29  8.76 268 9999.0 999.0  15.9 999.0 99.0 99.00
2019 01 01 07 00 999 99.0 99.0  1.31 10.53  8.38 275 9999.0 999.0  15.9 999.0 99.0 99.00
2019 01 01 07 30 999 99.0 99.0  1.24 12.50  8.37 267 9999.0 999.0  15.9 999.0 99.0 99.00
2019 01 01 08 00 999 99.0 99.0  1.35 15.38  8.81 260 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 08 30 999 99.0 99.0  1.29 15.38  9.42 263 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 09 00 999 99.0 99.0  1.18 13.33  8.28 270 9999.0 999.0  15.8 999.0 99.0 99.00
