#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 01 00 26 999 99.0 99.0  3.97 14.29 10.33 297 9999.0 999.0  11.4 999.0 99.0 99.00
2021 01 01 00 56 999 99.0 99.0  4.22 15.38 10.84 278 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 01 26 999 99.0 99.0  4.11 11.76 10.47 288 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 01 56 999 99.0 99.0  4.46 12.50 11.05 283 9999.0 999.0  11.2 999.0 99.0 99.00
2021 01 01 02 26 999 99.0 99.0  4.24 14.29 10.63 292 9999.0 999.0  11.2 999.0 99.0 99.00
2021 01 01 02 56 999 99.0 99.0  4.11 13.33 10.55 281 9999.0 999.0  11.2 999.0 99.0 99.00
2021 01 01 03 26 999 99.0 99.0  3.98 12.50 10.47 288 9999.0 999.0  11.4 999.0 99.0 99.00
2021 01 01 03 56 999 99.0 99.0  4.07 13.33 10.58 290 9999.0 999.0  11.6 999.0 99.0 99.00
2021 01 01 04 26 999 99.0 99.0  3.81 13.33 10.77 294 9999.0 999.0  11.5 999.0 99.0 99.00
2021 01 01 04 56 999 99.0 99.0  3.58 13.33 10.47 292 9999.0 999.0  11.5 999.0 99.0 99.00
2021 01 01 05 26 999 99.0 99.0  3.77 13.33 10.38 292 9999.0 999.0  11.4 999.0 99.0 99.00
2021 01 01 05 56 999 99.0 99.0  3.65 15.38 10.64 288 9999.0 999.0  11.5 999.0 99.0 99.00
2021 01 01 06 26 999 99.0 99.0  3.33 11.76 10.45 285 9999.0 999.0  11.2 999.0 99.0 99.00
2021 01 01 06 56 999 99.0 99.0  3.31 15.38 10.95 285 9999.0 999.0  11.2 999.0 99.0 99.00
2021 01 01 07 26 999 99.0 99.0  3.09 12.50 10.64 294 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 07 56 999 99.0 99.0  3.22 11.76 10.78 311 9999.0 999.0  11.4 999.0 99.0 99.00
2021 01 01 08 26 999 99.0 99.0  3.39 11.76 10.60 305 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 08 56 999 99.0 99.0  3.11 11.76 10.61 304 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 09 26 999 99.0 99.0  3.23 12.50 11.17 307 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 09 56 999 99.0 99.0  3.44 11.76 11.06 301 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 10 26 999 99.0 99.0  3.07 15.38 10.63 298 9999.0 999.0  11.2 999.0 99.0 99.00
2021 01 01 10 56 999 99.0 99.0  3.16 12.50 10.75 284 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 11 26 999 99.0 99.0  3.27 11.76 10.71 291 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 11 56 999 99.0 99.0  3.41 13.33 11.14 284 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 12 26 999 99.0 99.0  3.39 12.50 10.59 285 9999.0 999.0  11.2 999.0 99.0 99.00
2021 01 01 12 56 999 99.0 99.0  3.54 16.67 10.87 291 9999.0 999.0  11.2 999.0 99.0 99.00
2021 01 01 13 26 999 99.0 99.0  3.59 11.76 10.75 290 9999.0 999.0  11.2 999.0 99.0 99.00
2021 01 01 13 56 999 99.0 99.0  3.68 11.76 10.68 288 9999.0 999.0  11.2 999.0 99.0 99.00
2021 01 01 14 26 999 99.0 99.0  3.40 11.11 10.56 288 9999.0 999.0  11.2 999.0 99.0 99.00
2021 01 01 14 56 999 99.0 99.0  3.48 15.38 10.59 295 9999.0 999.0  11.2 999.0 99.0 99.00
2021 01 01 15 26 999 99.0 99.0  3.46 14.29 10.65 297 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 15 56 999 99.0 99.0  3.42 15.38 10.65 287 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 16 26 999 99.0 99.0  3.58 14.29 10.74 295 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 16 56 999 99.0 99.0  2.98 15.38 10.38 287 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 17 26 999 99.0 99.0  3.35 14.29 10.38 298 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 18 26 999 99.0 99.0  3.01 15.38  9.54 284 9999.0 999.0  11.3 999.0 99.0 99.00
2021 01 01 18 56 999 99.0 99.0  2.80 14.29 10.04 288 9999.0 999.0  11.4 999.0 99.0 99.00
2021 01 01 19 56 999 99.0 99.0  2.64 15.38  9.44 285 9999.0 999.0  11.4 999.0 99.0 99.00
2021 01 01 20 26 999 99.0 99.0  2.52 16.67  9.58 288 9999.0 999.0  11.4 999.0 99.0 99.00
2021 01 01 20 56 999 99.0 99.0  2.59 13.33  9.61 302 9999.0 999.0  11.4 999.0 99.0 99.00
2021 01 01 21 26 999 99.0 99.0  2.53 15.38  8.90 292 9999.0 999.0  11.5 999.0 99.0 99.00
2021 01 01 21 56 999 99.0 99.0  2.71 16.67  9.29 291 9999.0 999.0  11.5 999.0 99.0 99.00
2021 01 01 22 26 999 99.0 99.0  2.38 13.33  7.75 294 9999.0 999.0  11.5 999.0 99.0 99.00
2021 01 01 22 56 999 99.0 99.0  2.59 15.38  7.73 297 9999.0 999.0  11.5 999.0 99.0 99.00
2021 01 01 23 56 999 99.0 99.0  2.77 15.38  8.56 270 9999.0 999.0  11.6 999.0 99.0 99.00
2021 01 02 00 26 999 99.0 99.0  2.82 13.33  8.95 288 9999.0 999.0  11.5 999.0 99.0 99.00
2021 01 02 00 56 999 99.0 99.0  2.68 22.22  8.55 280 9999.0 999.0  11.4 999.0 99.0 99.00
