#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 00 26 999 99.0 99.0  0.57  4.76  3.50 205 9999.0 999.0  17.1 999.0 99.0 99.00
2023 01 01 00 56 999 99.0 99.0  0.61  5.56  3.52 243 9999.0 999.0  17.1 999.0 99.0 99.00
2023 01 01 01 26 999 99.0 99.0  0.62  5.26  3.76 227 9999.0 999.0  17.1 999.0 99.0 99.00
2023 01 01 01 56 999 99.0 99.0  0.60  4.35  3.63 194 9999.0 999.0  17.2 999.0 99.0 99.00
2023 01 01 02 26 999 99.0 99.0  0.58  5.00  3.74 213 9999.0 999.0  17.2 999.0 99.0 99.00
2023 01 01 02 56 999 99.0 99.0  0.59  5.00  3.80 216 9999.0 999.0  17.1 999.0 99.0 99.00
2023 01 01 03 26 999 99.0 99.0  0.59  5.00  3.90 216 9999.0 999.0  17.1 999.0 99.0 99.00
2023 01 01 03 56 999 99.0 99.0  0.64  4.76  4.18 209 9999.0 999.0  17.1 999.0 99.0 99.00
2023 01 01 04 26 999 99.0 99.0  0.68  5.00  4.32 215 9999.0 999.0  17.1 999.0 99.0 99.00
2023 01 01 04 56 999 99.0 99.0  0.66  5.26  4.22 225 9999.0 999.0  17.1 999.0 99.0 99.00
2023 01 01 05 26 999 99.0 99.0  0.64  5.00  4.14 216 9999.0 999.0  17.1 999.0 99.0 99.00
2023 01 01 05 56 999 99.0 99.0  0.66  5.00  4.07 212 9999.0 999.0  17.1 999.0 99.0 99.00
2023 01 01 06 26 999 99.0 99.0  0.61  4.76  3.88 215 9999.0 999.0  17.1 999.0 99.0 99.00
2023 01 01 06 56 999 99.0 99.0  0.62  4.76  3.92 211 9999.0 999.0  17.0 999.0 99.0 99.00
2023 01 01 07 26 999 99.0 99.0  0.60  4.76  3.79 213 9999.0 999.0  17.0 999.0 99.0 99.00
2023 01 01 07 56 999 99.0 99.0  0.56  4.35  3.83 213 9999.0 999.0  16.9 999.0 99.0 99.00
2023 01 01 08 26 999 99.0 99.0  0.60  4.76  3.97 219 9999.0 999.0  16.9 999.0 99.0 99.00
2023 01 01 08 56 999 99.0 99.0  0.55  4.35  3.97 213 9999.0 999.0  16.9 999.0 99.0 99.00
2023 01 01 09 26 999 99.0 99.0  0.55  4.35  4.00 216 9999.0 999.0  16.9 999.0 99.0 99.00
2023 01 01 09 56 999 99.0 99.0  0.54  4.35  4.14 212 9999.0 999.0  16.7 999.0 99.0 99.00
2023 01 01 10 26 999 99.0 99.0  0.52  5.00  4.03 234 9999.0 999.0  16.8 999.0 99.0 99.00
2023 01 01 10 56 999 99.0 99.0  0.54  5.56  4.12 239 9999.0 999.0  16.8 999.0 99.0 99.00
2023 01 01 11 26 999 99.0 99.0  0.53  5.56  4.09 233 9999.0 999.0  16.9 999.0 99.0 99.00
2023 01 01 11 56 999 99.0 99.0  0.50  5.26  4.22 233 9999.0 999.0  16.9 999.0 99.0 99.00
2023 01 01 12 26 999 99.0 99.0  0.50  5.00  4.23 226 9999.0 999.0  16.9 999.0 99.0 99.00
2023 01 01 12 56 999 99.0 99.0  0.50  5.88  4.27 244 9999.0 999.0  16.9 999.0 99.0 99.00
2023 01 01 13 26 999 99.0 99.0  0.47  6.25  4.23 247 9999.0 999.0  17.0 999.0 99.0 99.00
2023 01 01 13 56 999 99.0 99.0  0.48  6.25  4.33 247 9999.0 999.0  17.2 999.0 99.0 99.00
2023 01 01 14 26 999 99.0 99.0  0.51  5.88  4.43 250 9999.0 999.0  17.2 999.0 99.0 99.00
2023 01 01 14 56 999 99.0 99.0  0.47  6.25  4.38 257 9999.0 999.0  17.3 999.0 99.0 99.00
2023 01 01 15 26 999 99.0 99.0  0.48  5.56  4.38 249 9999.0 999.0  17.4 999.0 99.0 99.00
2023 01 01 15 56 999 99.0 99.0  0.49  5.88  4.29 246 9999.0 999.0  17.4 999.0 99.0 99.00
2023 01 01 16 26 999 99.0 99.0  0.46  5.56  4.40 244 9999.0 999.0  17.5 999.0 99.0 99.00
2023 01 01 16 56 999 99.0 99.0  0.52  5.88  4.57 250 9999.0 999.0  17.6 999.0 99.0 99.00
2023 01 01 17 26 999 99.0 99.0  0.48  5.88  4.48 254 9999.0 999.0  17.8 999.0 99.0 99.00
2023 01 01 17 56 999 99.0 99.0  0.47  5.88  4.49 257 9999.0 999.0  18.1 999.0 99.0 99.00
2023 01 01 18 26 999 99.0 99.0  0.50  5.88  4.62 257 9999.0 999.0  17.9 999.0 99.0 99.00
2023 01 01 18 56 999 99.0 99.0  0.48  5.88  4.50 250 9999.0 999.0  17.9 999.0 99.0 99.00
2023 01 01 19 26 999 99.0 99.0  0.48  5.26  4.46 244 9999.0 999.0  17.9 999.0 99.0 99.00
2023 01 01 19 56 999 99.0 99.0  0.48  5.56  4.54 250 9999.0 999.0  18.7 999.0 99.0 99.00
2023 01 01 20 26 999 99.0 99.0  0.48  5.56  4.45 258 9999.0 999.0  18.8 999.0 99.0 99.00
2023 01 01 20 56 999 99.0 99.0  0.48  5.88  4.38 247 9999.0 999.0  18.5 999.0 99.0 99.00
2023 01 01 21 26 999 99.0 99.0  0.49  5.26  4.28 243 9999.0 999.0  18.8 999.0 99.0 99.00
2023 01 01 21 56 999 99.0 99.0  0.49  5.26  4.37 247 9999.0 999.0  18.7 999.0 99.0 99.00
2023 01 01 22 26 999 99.0 99.0  0.48  6.25  4.27 244 9999.0 999.0  18.6 999.0 99.0 99.00
2023 01 01 22 56 999 99.0 99.0  0.49  5.88  4.42 249 9999.0 999.0  18.3 999.0 99.0 99.00
2023 01 01 23 26 999 99.0 99.0  0.49  5.88  4.34 243 9999.0 999.0  18.2 999.0 99.0 99.00
2023 01 01 23 56 999 99.0 99.0  0.48  5.56  4.47 243 9999.0 999.0  18.1 999.0 99.0 99.00
2023 01 02 00 26 999 99.0 99.0  0.46  5.56  4.40 253 9999.0 999.0  18.1 999.0 99.0 99.00
2023 01 02 00 56 999 99.0 99.0  0.47  5.26  4.44 240 9999.0 999.0  18.1 999.0 99.0 99.00
2023 01 02 01 26 999 99.0 99.0  0.47  4.55  4.47 233 9999.0 999.0  18.2 999.0 99.0 99.00
