#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 01 01 00 00 00 1 2747.418
2022 01 01 00 15 00 1 2747.468
2022 01 01 00 30 00 1 2747.522
2022 01 01 00 45 00 1 2747.577
2022 01 01 01 00 00 1 2747.631
2022 01 01 01 15 00 1 2747.682
2022 01 01 01 30 00 1 2747.728
2022 01 01 01 45 00 1 2747.768
2022 01 01 02 00 00 1 2747.801
2022 01 01 02 15 00 1 2747.826
2022 01 01 02 30 00 1 2747.842
2022 01 01 02 45 00 1 2747.849
2022 01 01 03 00 00 1 2747.846
2022 01 01 03 15 00 1 2747.833
2022 01 01 03 30 00 1 2747.808
2022 01 01 03 45 00 1 2747.773
2022 01 01 04 00 00 1 2747.725
2022 01 01 04 15 00 1 2747.667
2022 01 01 04 30 00 1 2747.599
2022 01 01 04 45 00 1 2747.520
2022 01 01 05 00 00 1 2747.426
2022 01 01 05 15 00 1 2747.323
2022 01 01 05 30 00 1 2747.214
2022 01 01 05 45 00 1 2747.096
2022 01 01 06 00 00 1 2746.974
2022 01 01 06 15 00 1 2746.847
2022 01 01 06 30 00 1 2746.716
2022 01 01 06 45 00 1 2746.581
2022 01 01 07 00 00 1 2746.448
2022 01 01 07 15 00 1 2746.318
2022 01 01 07 30 00 1 2746.192
2022 01 01 07 45 00 1 2746.071
2022 01 01 08 00 00 1 2745.954
2022 01 01 08 15 00 1 2745.849
2022 01 01 08 30 00 1 2745.755
2022 01 01 08 45 00 1 2745.673
2022 01 01 09 00 00 1 2745.602
2022 01 01 09 15 00 1 2745.548
2022 01 01 09 30 00 1 2745.507
2022 01 01 09 45 00 1 2745.482
2022 01 01 10 00 00 1 2745.473
2022 01 01 10 15 00 1 2745.483
2022 01 01 10 30 00 1 2745.508
2022 01 01 10 45 00 1 2745.548
2022 01 01 11 00 00 1 2745.605
2022 01 01 11 15 00 1 2745.674
2022 01 01 11 30 00 1 2745.760
2022 01 01 11 45 00 1 2745.856
2022 01 01 12 00 00 1 2745.965
2022 01 01 12 15 00 1 2746.085
2022 01 01 12 30 00 1 2746.215
2022 01 01 12 45 00 1 2746.348
2022 01 01 13 00 00 1 2746.489
2022 01 01 13 15 00 1 2746.631
2022 01 01 13 30 00 1 2746.774
2022 01 01 13 45 00 1 2746.919
2022 01 01 14 00 00 1 2747.059
2022 01 01 14 15 00 1 2747.195
2022 01 01 14 30 00 1 2747.328
2022 01 01 14 45 00 1 2747.453
2022 01 01 15 00 00 1 2747.570
2022 01 01 15 15 00 1 2747.678
2022 01 01 15 30 00 1 2747.775
2022 01 01 15 45 00 1 2747.860
2022 01 01 16 00 00 1 2747.933
2022 01 01 16 15 00 1 2747.993
2022 01 01 16 30 00 1 2748.042
2022 01 01 16 45 00 1 2748.076
2022 01 01 17 00 00 1 2748.098
2022 01 01 17 15 00 1 2748.108
2022 01 01 17 30 00 1 2748.105
2022 01 01 17 45 00 1 2748.090
2022 01 01 18 00 00 1 2748.063
2022 01 01 18 15 00 1 2748.024
2022 01 01 18 30 00 1 2747.981
2022 01 01 18 45 00 1 2747.928
2022 01 01 19 00 00 1 2747.868
2022 01 01 19 15 00 1 2747.805
2022 01 01 19 30 00 1 2747.736
2022 01 01 19 45 00 1 2747.665
2022 01 01 20 00 00 1 2747.593
2022 01 01 20 15 00 1 2747.522
2022 01 01 20 30 00 1 2747.452
2022 01 01 20 45 00 1 2747.385
2022 01 01 21 00 00 1 2747.325
2022 01 01 21 15 00 1 2747.268
2022 01 01 21 30 00 1 2747.219
2022 01 01 21 45 00 1 2747.177
2022 01 01 22 00 00 1 2747.146
2022 01 01 22 15 00 1 2747.121
2022 01 01 22 30 00 1 2747.105
2022 01 01 22 45 00 1 2747.099
2022 01 01 23 00 00 1 2747.101
2022 01 01 23 15 00 1 2747.114
2022 01 01 23 30 00 1 2747.135
2022 01 01 23 45 00 1 2747.164
2022 01 02 00 00 00 1 2747.200
2022 01 02 00 15 00 1 2747.244
2022 01 02 00 30 00 1 2747.296
2022 01 02 00 45 00 1 2747.353
2022 01 02 01 00 00 1 2747.413
2022 01 02 01 15 00 1 2747.476
2022 01 02 01 30 00 1 2747.538
2022 01 02 01 45 00 1 2747.599
2022 01 02 02 00 00 1 2747.661
2022 01 02 02 15 00 1 2747.718
2022 01 02 02 30 00 1 2747.768
2022 01 02 02 45 00 1 2747.814
2022 01 02 03 00 00 1 2747.850
2022 01 02 03 15 00 1 2747.877
