#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2020 01 01 00 00 00 1 3472.529
2020 01 01 00 15 00 1 3472.527
2020 01 01 00 30 00 1 3472.529
2020 01 01 00 45 00 1 3472.535
2020 01 01 01 00 00 1 3472.547
2020 01 01 01 15 00 1 3472.559
2020 01 01 01 30 00 1 3472.577
2020 01 01 01 45 00 1 3472.597
2020 01 01 02 00 00 1 3472.619
2020 01 01 02 15 00 1 3472.641
2020 01 01 02 30 00 1 3472.664
2020 01 01 02 45 00 1 3472.690
2020 01 01 03 00 00 1 3472.715
2020 01 01 03 15 00 1 3472.742
2020 01 01 03 30 00 1 3472.768
2020 01 01 03 45 00 1 3472.794
2020 01 01 04 00 00 1 3472.817
2020 01 01 04 15 00 1 3472.840
2020 01 01 04 30 00 1 3472.863
2020 01 01 04 45 00 1 3472.883
2020 01 01 05 00 00 1 3472.900
2020 01 01 05 15 00 1 3472.913
2020 01 01 05 30 00 1 3472.924
2020 01 01 05 45 00 1 3472.929
2020 01 01 06 00 00 1 3472.931
2020 01 01 06 15 00 1 3472.928
2020 01 01 06 30 00 1 3472.922
2020 01 01 06 45 00 1 3472.914
2020 01 01 07 00 00 1 3472.902
2020 01 01 07 15 00 1 3472.887
2020 01 01 07 30 00 1 3472.875
2020 01 01 07 45 00 1 3472.860
2020 01 01 08 00 00 1 3472.842
2020 01 01 08 15 00 1 3472.825
2020 01 01 08 30 00 1 3472.803
2020 01 01 08 45 00 1 3472.782
2020 01 01 09 00 00 1 3472.760
2020 01 01 09 15 00 1 3472.743
2020 01 01 09 30 00 1 3472.725
2020 01 01 09 45 00 1 3472.707
2020 01 01 10 00 00 1 3472.688
2020 01 01 10 15 00 1 3472.672
2020 01 01 10 30 00 1 3472.656
2020 01 01 10 45 00 1 3472.645
2020 01 01 11 00 00 1 3472.635
2020 01 01 11 15 00 1 3472.628
2020 01 01 11 30 00 1 3472.623
2020 01 01 11 45 00 1 3472.620
2020 01 01 12 00 00 1 3472.621
2020 01 01 12 15 00 1 3472.625
2020 01 01 12 30 00 1 3472.633
2020 01 01 12 45 00 1 3472.644
2020 01 01 13 00 00 1 3472.658
2020 01 01 13 15 00 1 3472.673
2020 01 01 13 30 00 1 3472.691
2020 01 01 13 45 00 1 3472.711
2020 01 01 14 00 00 1 3472.735
2020 01 01 14 15 00 1 3472.759
2020 01 01 14 30 00 1 3472.786
2020 01 01 14 45 00 1 3472.812
2020 01 01 15 00 00 1 3472.838
2020 01 01 15 15 00 1 3472.867
2020 01 01 15 30 00 1 3472.893
2020 01 01 15 45 00 1 3472.917
2020 01 01 16 00 00 1 3472.942
2020 01 01 16 15 00 1 3472.966
2020 01 01 16 30 00 1 3472.988
2020 01 01 16 45 00 1 3473.006
2020 01 01 17 00 00 1 3473.023
2020 01 01 17 15 00 1 3473.037
2020 01 01 17 30 00 1 3473.049
2020 01 01 17 45 00 1 3473.055
2020 01 01 18 00 00 1 3473.057
2020 01 01 18 15 00 1 3473.057
2020 01 01 18 30 00 1 3473.054
2020 01 01 18 45 00 1 3473.046
2020 01 01 19 00 00 1 3473.036
2020 01 01 19 15 00 1 3473.024
2020 01 01 19 30 00 1 3473.009
2020 01 01 19 45 00 1 3472.992
2020 01 01 20 00 00 1 3472.969
2020 01 01 20 15 00 1 3472.943
2020 01 01 20 30 00 1 3472.916
2020 01 01 20 45 00 1 3472.890
2020 01 01 21 00 00 1 3472.860
2020 01 01 21 15 00 1 3472.833
