#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 01 01 00 00 00 1 2489.908
2022 01 01 00 15 00 1 2489.986
2022 01 01 00 30 00 1 2490.056
2022 01 01 00 45 00 1 2490.114
2022 01 01 01 00 00 1 2490.161
2022 01 01 01 15 00 1 2490.201
2022 01 01 01 30 00 1 2490.230
2022 01 01 01 45 00 1 2490.247
2022 01 01 02 00 00 1 2490.253
2022 01 01 02 15 00 1 2490.246
2022 01 01 02 30 00 1 2490.226
2022 01 01 02 45 00 1 2490.194
2022 01 01 03 00 00 1 2490.151
2022 01 01 03 15 00 1 2490.101
2022 01 01 03 30 00 1 2490.040
2022 01 01 03 45 00 1 2489.969
2022 01 01 04 00 00 1 2489.892
2022 01 01 04 15 00 1 2489.809
2022 01 01 04 30 00 1 2489.721
2022 01 01 04 45 00 1 2489.633
2022 01 01 05 00 00 1 2489.539
2022 01 01 05 15 00 1 2489.445
2022 01 01 05 30 00 1 2489.352
2022 01 01 05 45 00 1 2489.254
2022 01 01 06 00 00 1 2489.173
2022 01 01 06 15 00 1 2489.100
2022 01 01 06 30 00 1 2489.028
2022 01 01 06 45 00 1 2488.963
2022 01 01 07 00 00 1 2488.905
2022 01 01 07 15 00 1 2488.857
2022 01 01 07 30 00 1 2488.828
2022 01 01 07 45 00 1 2488.807
2022 01 01 08 00 00 1 2488.800
2022 01 01 08 15 00 1 2488.807
2022 01 01 08 30 00 1 2488.826
2022 01 01 08 45 00 1 2488.855
2022 01 01 09 00 00 1 2488.903
2022 01 01 09 15 00 1 2488.962
2022 01 01 09 30 00 1 2489.032
2022 01 01 09 45 00 1 2489.111
2022 01 01 10 00 00 1 2489.200
2022 01 01 10 15 00 1 2489.300
2022 01 01 10 30 00 1 2489.407
2022 01 01 10 45 00 1 2489.517
2022 01 01 11 00 00 1 2489.630
2022 01 01 11 15 00 1 2489.748
2022 01 01 11 30 00 1 2489.865
2022 01 01 11 45 00 1 2489.981
2022 01 01 12 00 00 1 2490.092
2022 01 01 12 15 00 1 2490.199
2022 01 01 12 30 00 1 2490.296
2022 01 01 12 45 00 1 2490.387
2022 01 01 13 00 00 1 2490.466
2022 01 01 13 15 00 1 2490.535
2022 01 01 13 30 00 1 2490.593
2022 01 01 13 45 00 1 2490.635
2022 01 01 14 00 00 1 2490.665
2022 01 01 14 15 00 1 2490.677
2022 01 01 14 30 00 1 2490.674
2022 01 01 14 45 00 1 2490.657
2022 01 01 15 00 00 1 2490.626
2022 01 01 15 15 00 1 2490.582
2022 01 01 15 30 00 1 2490.523
2022 01 01 15 45 00 1 2490.452
2022 01 01 16 00 00 1 2490.367
2022 01 01 16 15 00 1 2490.277
2022 01 01 16 30 00 1 2490.178
2022 01 01 16 45 00 1 2490.071
2022 01 01 17 00 00 1 2489.963
2022 01 01 17 15 00 1 2489.851
2022 01 01 17 30 00 1 2489.732
2022 01 01 17 45 00 1 2489.604
2022 01 01 18 00 00 1 2489.490
2022 01 01 18 15 00 1 2489.385
2022 01 01 18 30 00 1 2489.279
2022 01 01 18 45 00 1 2489.176
2022 01 01 19 00 00 1 2489.075
2022 01 01 19 15 00 1 2488.982
2022 01 01 19 30 00 1 2488.901
2022 01 01 19 45 00 1 2488.840
2022 01 01 20 00 00 1 2488.789
2022 01 01 20 15 00 1 2488.747
2022 01 01 20 30 00 1 2488.718
2022 01 01 20 45 00 1 2488.704
2022 01 01 21 00 00 1 2488.705
2022 01 01 21 15 00 1 2488.719
2022 01 01 21 30 00 1 2488.747
2022 01 01 21 45 00 1 2488.791
2022 01 01 22 00 00 1 2488.849
2022 01 01 22 15 00 1 2488.915
2022 01 01 22 30 00 1 2488.989
2022 01 01 22 45 00 1 2489.072
2022 01 01 23 00 00 1 2489.170
2022 01 01 23 15 00 1 2489.271
2022 01 01 23 30 00 1 2489.377
2022 01 01 23 45 00 1 2489.484
2022 01 02 00 00 00 1 2489.591
2022 01 02 00 15 00 1 2489.697
2022 01 02 00 30 00 1 2489.801
2022 01 02 00 45 00 1 2489.898
2022 01 02 01 00 00 1 2489.988
2022 01 02 01 15 00 1 2490.071
2022 01 02 01 30 00 1 2490.148
2022 01 02 01 45 00 1 2490.213
2022 01 02 02 00 00 1 2490.266
2022 01 02 02 15 00 1 2490.309
2022 01 02 02 30 00 1 2490.334
2022 01 02 02 45 00 1 2490.346
2022 01 02 03 00 00 1 2490.347
2022 01 02 03 15 00 1 2490.335
2022 01 02 03 30 00 1 2490.307
2022 01 02 03 45 00 1 2490.265
2022 01 02 04 00 00 1 2490.212
2022 01 02 04 15 00 1 2490.146
2022 01 02 04 30 00 1 2490.072
2022 01 02 04 45 00 1 2489.990
2022 01 02 05 00 00 1 2489.903
2022 01 02 05 15 00 1 2489.807
2022 01 02 05 30 00 1 2489.708
2022 01 02 05 45 00 1 2489.607
2022 01 02 06 00 00 1 2489.506
2022 01 02 06 15 00 1 2489.403
2022 01 02 06 30 00 1 2489.301
2022 01 02 06 45 00 1 2489.194
2022 01 02 07 00 00 1 2489.105
2022 01 02 07 15 00 1 2489.031
2022 01 02 07 30 00 1 2488.959
2022 01 02 07 45 00 1 2488.893
2022 01 02 08 00 00 1 2488.833
2022 01 02 08 15 00 1 2488.784
2022 01 02 08 30 00 1 2488.754
2022 01 02 08 45 00 1 2488.744
2022 01 02 09 00 00 1 2488.744
2022 01 02 09 15 00 1 2488.757
2022 01 02 09 30 00 1 2488.784
2022 01 02 09 45 00 1 2488.827
2022 01 02 10 00 00 1 2488.885
2022 01 02 10 15 00 1 2488.955
2022 01 02 10 30 00 1 2489.034
2022 01 02 10 45 00 1 2489.125
2022 01 02 11 00 00 1 2489.226
2022 01 02 11 15 00 1 2489.339
2022 01 02 11 30 00 1 2489.458
2022 01 02 11 45 00 1 2489.582
2022 01 02 12 00 00 1 2489.709
2022 01 02 12 15 00 1 2489.839
2022 01 02 12 30 00 1 2489.963
2022 01 02 12 45 00 1 2490.087
2022 01 02 13 00 00 1 2490.203
2022 01 02 13 15 00 1 2490.313
2022 01 02 13 30 00 1 2490.412
2022 01 02 13 45 00 1 2490.502
2022 01 02 14 00 00 1 2490.579
2022 01 02 14 15 00 1 2490.645
2022 01 02 14 30 00 1 2490.696
2022 01 02 14 45 00 1 2490.730
2022 01 02 15 00 00 1 2490.750
2022 01 02 15 15 00 1 2490.754
2022 01 02 15 30 00 1 2490.741
2022 01 02 15 45 00 1 2490.712
2022 01 02 16 00 00 1 2490.665
2022 01 02 16 15 00 1 2490.607
2022 01 02 16 30 00 1 2490.536
2022 01 02 16 45 00 1 2490.451
2022 01 02 17 00 00 1 2490.354
2022 01 02 17 15 00 1 2490.251
2022 01 02 17 30 00 1 2490.136
2022 01 02 17 45 00 1 2490.011
2022 01 02 18 00 00 1 2489.874
2022 01 02 18 15 00 1 2489.756
2022 01 02 18 30 00 1 2489.637
2022 01 02 18 45 00 1 2489.511
2022 01 02 19 00 00 1 2489.385
2022 01 02 19 15 00 1 2489.265
2022 01 02 19 30 00 1 2489.144
2022 01 02 19 45 00 1 2489.030
2022 01 02 20 00 00 1 2488.937
2022 01 02 20 15 00 1 2488.852
2022 01 02 20 30 00 1 2488.779
2022 01 02 20 45 00 1 2488.719
2022 01 02 21 00 00 1 2488.670
2022 01 02 21 15 00 1 2488.639
2022 01 02 21 30 00 1 2488.623
2022 01 02 21 45 00 1 2488.620
2022 01 02 22 00 00 1 2488.632
2022 01 02 22 15 00 1 2488.659
2022 01 02 22 30 00 1 2488.701
2022 01 02 22 45 00 1 2488.754
2022 01 02 23 00 00 1 2488.822
2022 01 02 23 15 00 1 2488.901
2022 01 02 23 30 00 1 2488.990
2022 01 02 23 45 00 1 2489.089
2022 01 03 00 00 00 1 2489.200
2022 01 03 00 15 00 1 2489.311
