#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2020 01 01 00 00 00 1 4594.792
2020 01 01 00 15 00 1 4594.820
2020 01 01 00 30 00 1 4594.845
2020 01 01 00 45 00 1 4594.869
2020 01 01 01 00 00 1 4594.894
2020 01 01 01 15 00 1 4594.919
2020 01 01 01 30 00 1 4594.940
2020 01 01 01 45 00 1 4594.959
2020 01 01 02 00 00 1 4594.974
2020 01 01 02 15 00 1 4594.988
2020 01 01 02 30 00 1 4595.001
2020 01 01 02 45 00 1 4595.010
2020 01 01 03 00 00 1 4595.017
2020 01 01 03 15 00 1 4595.025
2020 01 01 03 30 00 1 4595.027
2020 01 01 03 45 00 1 4595.029
2020 01 01 04 00 00 1 4595.027
2020 01 01 04 15 00 1 4595.023
2020 01 01 04 30 00 1 4595.017
2020 01 01 04 45 00 1 4595.008
2020 01 01 05 00 00 1 4594.998
2020 01 01 05 15 00 1 4594.985
2020 01 01 05 30 00 1 4594.973
2020 01 01 05 45 00 1 4594.955
2020 01 01 06 00 00 1 4594.937
2020 01 01 06 15 00 1 4594.918
2020 01 01 06 30 00 1 4594.897
2020 01 01 06 45 00 1 4594.875
2020 01 01 07 00 00 1 4594.854
2020 01 01 07 15 00 1 4594.832
2020 01 01 07 30 00 1 4594.807
2020 01 01 07 45 00 1 4594.782
2020 01 01 08 00 00 1 4594.757
2020 01 01 08 15 00 1 4594.732
2020 01 01 08 30 00 1 4594.708
2020 01 01 08 45 00 1 4594.684
2020 01 01 09 00 00 1 4594.662
2020 01 01 09 15 00 1 4594.641
2020 01 01 09 30 00 1 4594.619
2020 01 01 09 45 00 1 4594.599
2020 01 01 10 00 00 1 4594.581
2020 01 01 10 15 00 1 4594.565
2020 01 01 10 30 00 1 4594.549
2020 01 01 10 45 00 1 4594.538
2020 01 01 11 00 00 1 4594.523
2020 01 01 11 15 00 1 4594.512
2020 01 01 11 30 00 1 4594.502
2020 01 01 11 45 00 1 4594.493
2020 01 01 12 00 00 1 4594.485
2020 01 01 12 15 00 1 4594.477
2020 01 01 12 30 00 1 4594.471
2020 01 01 12 45 00 1 4594.466
2020 01 01 13 00 00 1 4594.462
2020 01 01 13 15 00 1 4594.458
2020 01 01 13 30 00 1 4594.456
2020 01 01 13 45 00 1 4594.453
2020 01 01 14 00 00 1 4594.453
2020 01 01 14 15 00 1 4594.456
2020 01 01 14 30 00 1 4594.456
2020 01 01 14 45 00 1 4594.456
2020 01 01 15 00 00 1 4594.456
2020 01 01 15 15 00 1 4594.457
2020 01 01 15 30 00 1 4594.457
2020 01 01 15 45 00 1 4594.457
2020 01 01 16 00 00 1 4594.458
2020 01 01 16 15 00 1 4594.461
2020 01 01 16 30 00 1 4594.462
2020 01 01 16 45 00 1 4594.463
2020 01 01 17 00 00 1 4594.464
2020 01 01 17 15 00 1 4594.467
2020 01 01 17 30 00 1 4594.470
2020 01 01 17 45 00 1 4594.472
