#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2020 01 01 00 00 00 1 5632.193
2020 01 01 00 15 00 1 5632.227
2020 01 01 00 30 00 1 5632.270
2020 01 01 00 45 00 1 5632.317
2020 01 01 01 00 00 1 5632.371
2020 01 01 01 15 00 1 5632.432
2020 01 01 01 30 00 1 5632.498
2020 01 01 01 45 00 1 5632.565
2020 01 01 02 00 00 1 5632.635
2020 01 01 02 15 00 1 5632.705
2020 01 01 02 30 00 1 5632.772
2020 01 01 02 45 00 1 5632.843
2020 01 01 03 00 00 1 5632.908
2020 01 01 03 15 00 1 5632.972
2020 01 01 03 30 00 1 5633.029
2020 01 01 03 45 00 1 5633.080
2020 01 01 04 00 00 1 5633.128
2020 01 01 04 15 00 1 5633.169
2020 01 01 04 30 00 1 5633.206
2020 01 01 04 45 00 1 5633.232
2020 01 01 05 00 00 1 5633.250
2020 01 01 05 15 00 1 5633.258
2020 01 01 05 30 00 1 5633.262
2020 01 01 05 45 00 1 5633.257
2020 01 01 06 00 00 1 5633.246
2020 01 01 06 15 00 1 5633.227
2020 01 01 06 30 00 1 5633.204
2020 01 01 06 45 00 1 5633.172
2020 01 01 07 00 00 1 5633.136
2020 01 01 07 15 00 1 5633.094
2020 01 01 07 30 00 1 5633.049
2020 01 01 07 45 00 1 5633.000
2020 01 01 08 00 00 1 5632.952
2020 01 01 08 15 00 1 5632.904
2020 01 01 08 30 00 1 5632.855
2020 01 01 08 45 00 1 5632.807
2020 01 01 09 00 00 1 5632.760
2020 01 01 09 15 00 1 5632.720
2020 01 01 09 30 00 1 5632.683
2020 01 01 09 45 00 1 5632.650
2020 01 01 10 00 00 1 5632.621
2020 01 01 10 15 00 1 5632.597
2020 01 01 10 30 00 1 5632.577
2020 01 01 10 45 00 1 5632.564
2020 01 01 11 00 00 1 5632.558
2020 01 01 11 15 00 1 5632.558
2020 01 01 11 30 00 1 5632.566
2020 01 01 11 45 00 1 5632.579
2020 01 01 12 00 00 1 5632.601
2020 01 01 12 15 00 1 5632.631
2020 01 01 12 30 00 1 5632.662
2020 01 01 12 45 00 1 5632.702
2020 01 01 13 00 00 1 5632.745
2020 01 01 13 15 00 1 5632.791
2020 01 01 13 30 00 1 5632.839
2020 01 01 13 45 00 1 5632.894
2020 01 01 14 00 00 1 5632.948
2020 01 01 14 15 00 1 5632.998
2020 01 01 14 30 00 1 5633.050
2020 01 01 14 45 00 1 5633.100
2020 01 01 15 00 00 1 5633.148
2020 01 01 15 15 00 1 5633.191
2020 01 01 15 30 00 1 5633.229
2020 01 01 15 45 00 1 5633.264
2020 01 01 16 00 00 1 5633.293
2020 01 01 16 15 00 1 5633.314
2020 01 01 16 30 00 1 5633.329
2020 01 01 16 45 00 1 5633.337
2020 01 01 17 00 00 1 5633.339
2020 01 01 17 15 00 1 5633.333
2020 01 01 17 30 00 1 5633.320
2020 01 01 17 45 00 1 5633.299
2020 01 01 18 00 00 1 5633.272
2020 01 01 18 15 00 1 5633.242
2020 01 01 18 30 00 1 5633.202
2020 01 01 18 45 00 1 5633.160
2020 01 01 19 00 00 1 5633.113
2020 01 01 19 15 00 1 5633.058
2020 01 01 19 30 00 1 5632.999
2020 01 01 19 45 00 1 5632.937
2020 01 01 20 00 00 1 5632.873
2020 01 01 20 15 00 1 5632.807
2020 01 01 20 30 00 1 5632.742
2020 01 01 20 45 00 1 5632.676
2020 01 01 21 00 00 1 5632.613
2020 01 01 21 15 00 1 5632.551
2020 01 01 21 30 00 1 5632.494
2020 01 01 21 45 00 1 5632.439
2020 01 01 22 00 00 1 5632.388
2020 01 01 22 15 00 1 5632.348
2020 01 01 22 30 00 1 5632.312
2020 01 01 22 45 00 1 5632.283
2020 01 01 23 00 00 1 5632.259
2020 01 01 23 15 00 1 5632.242
2020 01 01 23 30 00 1 5632.235
2020 01 01 23 45 00 1 5632.235
2020 01 02 00 00 00 1 5632.246
2020 01 02 00 15 00 1 5632.262
2020 01 02 00 30 00 1 5632.285
2020 01 02 00 45 00 1 5632.314
2020 01 02 01 00 00 1 5632.349
2020 01 02 01 15 00 1 5632.394
2020 01 02 01 30 00 1 5632.445
2020 01 02 01 45 00 1 5632.500
2020 01 02 02 00 00 1 5632.556
2020 01 02 02 15 00 1 5632.617
2020 01 02 02 30 00 1 5632.678
2020 01 02 02 45 00 1 5632.739
2020 01 02 03 00 00 1 5632.801
2020 01 02 03 15 00 1 5632.866
2020 01 02 03 30 00 1 5632.924
2020 01 02 03 45 00 1 5632.982
2020 01 02 04 00 00 1 5633.035
2020 01 02 04 15 00 1 5633.085
