#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2021 03 22 18 15 00 1 2747.200
2021 03 22 18 30 00 1 2747.198
2021 03 22 18 45 00 1 2747.196
2021 03 22 19 00 00 1 2747.197
2021 03 22 19 15 00 1 2747.200
2021 03 22 19 30 00 1 2747.205
2021 03 22 19 45 00 1 2747.211
2021 03 22 20 00 00 1 2747.215
2021 03 22 20 15 00 1 2747.222
2021 03 22 20 30 00 1 2747.232
2021 03 22 20 45 00 1 2747.239
2021 03 22 21 00 00 1 2747.247
2021 03 22 21 15 00 1 2747.251
2021 03 22 21 30 00 1 2747.255
2021 03 22 21 45 00 1 2747.260
2021 03 22 22 00 00 1 2747.261
2021 03 22 22 15 00 1 2747.264
2021 03 22 22 30 00 1 2747.263
2021 03 22 22 45 00 1 2747.257
2021 03 22 23 00 00 1 2747.250
2021 03 22 23 15 00 1 2747.240
2021 03 22 23 30 00 1 2747.225
2021 03 22 23 45 00 1 2747.207
2021 03 23 00 00 00 1 2747.189
2021 03 23 00 15 00 1 2747.166
2021 03 23 00 30 00 1 2747.141
2021 03 23 00 45 00 1 2747.110
2021 03 23 01 00 00 1 2747.080
2021 03 23 01 15 00 1 2747.047
2021 03 23 01 30 00 1 2747.008
2021 03 23 01 45 00 1 2746.969
2021 03 23 02 00 00 1 2746.927
2021 03 23 02 15 00 1 2746.882
2021 03 23 02 30 00 1 2746.837
2021 03 23 02 45 00 1 2746.794
2021 03 23 03 00 00 1 2746.749
2021 03 23 03 15 00 1 2746.703
2021 03 23 03 30 00 1 2746.657
2021 03 23 03 45 00 1 2746.614
2021 03 23 04 00 00 1 2746.571
2021 03 23 04 15 00 1 2746.528
2021 03 23 04 30 00 1 2746.490
2021 03 23 04 45 00 1 2746.454
2021 03 23 05 00 00 1 2746.420
2021 03 23 05 15 00 1 2746.389
2021 03 23 05 30 00 1 2746.362
2021 03 23 05 45 00 1 2746.342
2021 03 23 06 00 00 1 2746.326
2021 03 23 06 15 00 1 2746.316
2021 03 23 06 30 00 1 2746.311
2021 03 23 06 45 00 1 2746.309
2021 03 23 07 00 00 1 2746.314
2021 03 23 07 15 00 1 2746.322
2021 03 23 07 30 00 1 2746.339
2021 03 23 07 45 00 1 2746.359
2021 03 23 08 00 00 1 2746.384
2021 03 23 08 15 00 1 2746.415
2021 03 23 08 30 00 1 2746.452
