#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2019 01 01 00 00 00 1 5727.274
2019 01 01 00 15 00 1 5727.287
2019 01 01 00 30 00 1 5727.297
2019 01 01 00 45 00 1 5727.300
2019 01 01 01 00 00 1 5727.302
2019 01 01 01 15 00 1 5727.301
2019 01 01 01 30 00 1 5727.297
2019 01 01 01 45 00 1 5727.289
2019 01 01 02 00 00 1 5727.275
2019 01 01 02 15 00 1 5727.263
2019 01 01 02 30 00 1 5727.251
2019 01 01 02 45 00 1 5727.234
2019 01 01 03 00 00 1 5727.215
2019 01 01 03 15 00 1 5727.196
2019 01 01 03 30 00 1 5727.177
2019 01 01 03 45 00 1 5727.156
2019 01 01 04 00 00 1 5727.133
2019 01 01 04 15 00 1 5727.109
2019 01 01 04 30 00 1 5727.086
2019 01 01 04 45 00 1 5727.064
2019 01 01 05 00 00 1 5727.037
2019 01 01 05 15 00 1 5727.009
2019 01 01 05 30 00 1 5726.980
2019 01 01 05 45 00 1 5726.952
2019 01 01 06 00 00 1 5726.923
2019 01 01 06 15 00 1 5726.893
2019 01 01 06 30 00 1 5726.863
2019 01 01 06 45 00 1 5726.837
2019 01 01 07 00 00 1 5726.806
2019 01 01 07 15 00 1 9999.000
2019 01 01 07 30 00 1 9999.000
2019 01 01 07 45 00 1 9999.000
2019 01 01 08 00 00 1 9999.000
2019 01 01 08 15 00 1 5726.701
2019 01 01 08 30 00 1 5726.687
2019 01 01 08 45 00 1 5726.676
2019 01 01 09 00 00 1 5726.667
2019 01 01 09 15 00 1 5726.662
2019 01 01 09 30 00 1 5726.660
2019 01 01 09 45 00 1 5726.661
2019 01 01 10 00 00 1 5726.666
2019 01 01 10 15 00 1 5726.672
2019 01 01 10 30 00 1 5726.680
2019 01 01 10 45 00 1 5726.691
2019 01 01 11 00 00 1 5726.706
2019 01 01 11 15 00 1 5726.720
2019 01 01 11 30 00 1 5726.736
2019 01 01 11 45 00 1 5726.753
2019 01 01 12 00 00 1 5726.774
2019 01 01 12 15 00 1 5726.794
2019 01 01 12 30 00 1 5726.813
2019 01 01 12 45 00 1 5726.837
2019 01 01 13 00 00 1 5726.860
2019 01 01 13 15 00 1 5726.880
2019 01 01 13 30 00 1 5726.904
2019 01 01 13 45 00 1 5726.926
2019 01 01 14 00 00 1 5726.947
2019 01 01 14 15 00 1 5726.968
2019 01 01 14 30 00 1 5726.988
2019 01 01 14 45 00 1 5727.007
2019 01 01 15 00 00 1 5727.025
2019 01 01 15 15 00 1 5727.041
2019 01 01 15 30 00 1 5727.054
2019 01 01 15 45 00 1 5727.069
2019 01 01 16 00 00 1 5727.078
2019 01 01 16 15 00 1 5727.084
2019 01 01 16 30 00 1 5727.089
2019 01 01 16 45 00 1 5727.092
2019 01 01 17 00 00 1 5727.089
2019 01 01 17 15 00 1 5727.086
2019 01 01 17 30 00 1 5727.080
2019 01 01 17 45 00 1 5727.075
2019 01 01 18 00 00 1 5727.069
2019 01 01 18 15 00 1 5727.064
2019 01 01 18 30 00 1 5727.057
2019 01 01 18 45 00 1 5727.051
2019 01 01 19 00 00 1 5727.048
2019 01 01 19 15 00 1 5727.046
2019 01 01 19 30 00 1 5727.044
2019 01 01 19 45 00 1 5727.051
2019 01 01 20 00 00 1 5727.049
2019 01 01 20 15 00 1 5727.050
2019 01 01 20 30 00 1 5727.051
2019 01 01 20 45 00 1 5727.056
2019 01 01 21 00 00 1 5727.064
2019 01 01 21 15 00 1 5727.075
2019 01 01 21 30 00 1 5727.084
2019 01 01 21 45 00 1 5727.093
2019 01 01 22 00 00 1 5727.107
2019 01 01 22 15 00 1 5727.121
2019 01 01 22 30 00 1 5727.140
2019 01 01 22 45 00 1 5727.162
2019 01 01 23 00 00 1 5727.183
2019 01 01 23 15 00 1 5727.201
2019 01 01 23 30 00 1 5727.220
2019 01 01 23 45 00 1 5727.237
2019 01 02 00 00 00 1 5727.256
2019 01 02 00 15 00 1 5727.273
2019 01 02 00 30 00 1 5727.290
2019 01 02 00 45 00 1 5727.302
2019 01 02 01 00 00 1 5727.308
2019 01 02 01 15 00 1 5727.311
2019 01 02 01 30 00 1 5727.315
2019 01 02 01 45 00 1 5727.319
2019 01 02 02 00 00 1 5727.317
2019 01 02 02 15 00 1 5727.314
2019 01 02 02 30 00 1 5727.310
2019 01 02 02 45 00 1 5727.303
2019 01 02 03 00 00 1 5727.293
2019 01 02 03 15 00 1 5727.281
2019 01 02 03 30 00 1 5727.271
2019 01 02 03 45 00 1 5727.257
2019 01 02 04 00 00 1 5727.241
2019 01 02 04 15 00 1 5727.223
2019 01 02 04 30 00 1 5727.200
2019 01 02 04 45 00 1 5727.177
2019 01 02 05 00 00 1 5727.150
2019 01 02 05 15 00 1 5727.121
2019 01 02 05 30 00 1 5727.089
2019 01 02 05 45 00 1 5727.056
2019 01 02 06 00 00 1 5727.024
2019 01 02 06 15 00 1 5726.988
2019 01 02 06 30 00 1 5726.952
2019 01 02 06 45 00 1 5726.916
2019 01 02 07 00 00 1 5726.879
2019 01 02 07 15 00 1 5726.843
2019 01 02 07 30 00 1 5726.810
2019 01 02 07 45 00 1 5726.775
2019 01 02 08 00 00 1 5726.741
2019 01 02 08 15 00 1 5726.711
2019 01 02 08 30 00 1 5726.686
2019 01 02 08 45 00 1 5726.663
2019 01 02 09 00 00 1 5726.642
2019 01 02 09 15 00 1 5726.624
2019 01 02 09 30 00 1 5726.607
2019 01 02 09 45 00 1 5726.595
2019 01 02 10 00 00 1 5726.586
2019 01 02 10 15 00 1 5726.580
2019 01 02 10 30 00 1 5726.578
2019 01 02 10 45 00 1 5726.583
2019 01 02 11 00 00 1 5726.588
2019 01 02 11 15 00 1 5726.596
2019 01 02 11 30 00 1 5726.607
2019 01 02 11 45 00 1 5726.622
2019 01 02 12 00 00 1 5726.643
2019 01 02 12 15 00 1 9999.000
2019 01 02 12 30 00 1 9999.000
2019 01 02 12 45 00 1 9999.000
2019 01 02 13 00 00 1 9999.000
2019 01 02 13 15 00 1 9999.000
2019 01 02 13 30 00 1 9999.000
2019 01 02 13 45 00 1 9999.000
2019 01 02 14 00 00 1 9999.000
2019 01 02 14 15 00 1 9999.000
2019 01 02 14 30 00 1 9999.000
2019 01 02 14 45 00 1 9999.000
2019 01 02 15 00 00 1 9999.000
2019 01 02 15 15 00 1 9999.000
2019 01 02 15 30 00 1 9999.000
2019 01 02 15 45 00 1 9999.000
2019 01 02 16 00 00 1 9999.000
2019 01 02 16 15 00 1 9999.000
2019 01 02 16 30 00 1 9999.000
2019 01 02 16 45 00 1 9999.000
2019 01 02 17 00 00 1 9999.000
2019 01 02 17 15 00 1 9999.000
2019 01 02 17 30 00 1 9999.000
2019 01 02 17 45 00 1 9999.000
2019 01 02 18 00 00 1 9999.000
2019 01 02 18 15 00 1 5727.176
2019 01 02 18 30 00 1 5727.171
2019 01 02 18 45 00 1 5727.169
2019 01 02 19 00 00 1 5727.164
2019 01 02 19 15 00 1 5727.157
2019 01 02 19 30 00 1 5727.150
2019 01 02 19 45 00 1 5727.142
2019 01 02 20 00 00 1 5727.133
2019 01 02 20 15 00 1 5727.125
2019 01 02 20 30 00 1 5727.121
2019 01 02 20 45 00 1 5727.119
2019 01 02 21 00 00 1 5727.114
2019 01 02 21 15 00 1 5727.113
2019 01 02 21 30 00 1 5727.113
2019 01 02 21 45 00 1 5727.115
2019 01 02 22 00 00 1 5727.121
2019 01 02 22 15 00 1 5727.128
2019 01 02 22 30 00 1 5727.139
2019 01 02 22 45 00 1 5727.151
2019 01 02 23 00 00 1 5727.164
2019 01 02 23 15 00 1 5727.176
2019 01 02 23 30 00 1 5727.193
2019 01 02 23 45 00 1 5727.210
2019 01 03 00 00 00 1 5727.222
2019 01 03 00 15 00 1 5727.240
