#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 02 02 00 26 999 99.0 99.0  1.73 15.38  6.90 294 9999.0 999.0  11.4 999.0 99.0 99.00
2023 02 02 00 56 999 99.0 99.0  1.70 15.38  6.99 277 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 01 26 999 99.0 99.0  1.61 15.38  6.87 281 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 01 56 999 99.0 99.0  1.62 15.38  7.04 278 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 02 26 999 99.0 99.0  1.81 15.38  7.27 277 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 02 56 999 99.0 99.0  1.63 14.29  6.38 277 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 03 26 999 99.0 99.0  1.79 12.50  6.69 278 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 03 56 999 99.0 99.0  1.72 11.76  6.40 273 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 04 26 999 99.0 99.0  1.75 15.38  6.46 270 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 04 56 999 99.0 99.0  1.78 15.38  6.77 285 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 05 26 999 99.0 99.0  1.85 14.29  7.25 281 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 05 56 999 99.0 99.0  1.81 14.29  7.00 287 9999.0 999.0  11.4 999.0 99.0 99.00
2023 02 02 06 26 999 99.0 99.0  1.83 14.29  7.28 283 9999.0 999.0  11.4 999.0 99.0 99.00
2023 02 02 06 56 999 99.0 99.0  1.91 14.29  6.89 287 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 07 26 999 99.0 99.0  1.93 14.29  7.15 297 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 07 56 999 99.0 99.0  1.84 12.50  6.44 285 9999.0 999.0  11.4 999.0 99.0 99.00
2023 02 02 08 26 999 99.0 99.0  2.02 14.29  6.98 281 9999.0 999.0  11.4 999.0 99.0 99.00
2023 02 02 08 56 999 99.0 99.0  2.08 13.33  7.34 292 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 09 26 999 99.0 99.0  2.08 18.18  7.27 302 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 09 56 999 99.0 99.0  2.04 14.29  6.80 287 9999.0 999.0  11.4 999.0 99.0 99.00
2023 02 02 10 26 999 99.0 99.0  1.97 14.29  6.47 280 9999.0 999.0  11.4 999.0 99.0 99.00
2023 02 02 10 56 999 99.0 99.0  2.23 13.33  6.38 280 9999.0 999.0  11.4 999.0 99.0 99.00
2023 02 02 11 26 999 99.0 99.0  2.24 18.18  6.37 312 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 11 56 999 99.0 99.0  2.33 16.67  6.64 298 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 12 26 999 99.0 99.0  2.15 16.67  6.56 301 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 12 56 999 99.0 99.0  2.39 18.18  6.39 302 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 13 26 999 99.0 99.0  2.50 18.18  6.48 287 9999.0 999.0  11.3 999.0 99.0 99.00
2023 02 02 13 56 999 99.0 99.0  2.59  5.56  6.13 183 9999.0 999.0  11.3 999.0 99.0 99.00
