#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 01 01 00 00 00 1 4987.197
2022 01 01 00 15 00 1 4987.124
2022 01 01 00 30 00 1 4987.049
2022 01 01 00 45 00 1 4986.969
2022 01 01 01 00 00 1 4986.890
2022 01 01 01 15 00 1 4986.808
2022 01 01 01 30 00 1 4986.728
2022 01 01 01 45 00 1 4986.649
2022 01 01 02 00 00 1 4986.573
2022 01 01 02 15 00 1 4986.501
2022 01 01 02 30 00 1 4986.433
2022 01 01 02 45 00 1 4986.375
2022 01 01 03 00 00 1 4986.319
2022 01 01 03 15 00 1 4986.277
2022 01 01 03 30 00 1 4986.241
2022 01 01 03 45 00 1 4986.216
2022 01 01 04 00 00 1 4986.199
2022 01 01 04 15 00 1 4986.194
2022 01 01 04 30 00 1 4986.200
2022 01 01 04 45 00 1 4986.216
2022 01 01 05 00 00 1 4986.243
2022 01 01 05 15 00 1 4986.280
2022 01 01 05 30 00 1 4986.325
2022 01 01 05 45 00 1 4986.379
2022 01 01 06 00 00 1 4986.442
2022 01 01 06 15 00 1 4986.511
2022 01 01 06 30 00 1 4986.585
2022 01 01 06 45 00 1 4986.665
2022 01 01 07 00 00 1 4986.752
2022 01 01 07 15 00 1 4986.839
2022 01 01 07 30 00 1 4986.930
2022 01 01 07 45 00 1 4987.018
2022 01 01 08 00 00 1 4987.107
2022 01 01 08 15 00 1 4987.191
2022 01 01 08 30 00 1 4987.272
2022 01 01 08 45 00 1 4987.345
2022 01 01 09 00 00 1 4987.412
2022 01 01 09 15 00 1 4987.473
2022 01 01 09 30 00 1 4987.522
2022 01 01 09 45 00 1 4987.563
2022 01 01 10 00 00 1 4987.595
2022 01 01 10 15 00 1 4987.616
2022 01 01 10 30 00 1 4987.627
2022 01 01 10 45 00 1 4987.625
2022 01 01 11 00 00 1 4987.616
2022 01 01 11 15 00 1 4987.597
2022 01 01 11 30 00 1 4987.567
2022 01 01 11 45 00 1 4987.527
2022 01 01 12 00 00 1 4987.480
2022 01 01 12 15 00 1 4987.426
2022 01 01 12 30 00 1 4987.365
2022 01 01 12 45 00 1 4987.300
2022 01 01 13 00 00 1 4987.229
2022 01 01 13 15 00 1 4987.156
2022 01 01 13 30 00 1 4987.081
2022 01 01 13 45 00 1 4987.004
2022 01 01 14 00 00 1 4986.930
2022 01 01 14 15 00 1 4986.855
2022 01 01 14 30 00 1 4986.784
2022 01 01 14 45 00 1 4986.718
2022 01 01 15 00 00 1 4986.656
2022 01 01 15 15 00 1 4986.598
2022 01 01 15 30 00 1 4986.550
2022 01 01 15 45 00 1 4986.507
2022 01 01 16 00 00 1 4986.473
2022 01 01 16 15 00 1 4986.446
2022 01 01 16 30 00 1 4986.428
2022 01 01 16 45 00 1 4986.421
2022 01 01 17 00 00 1 4986.422
2022 01 01 17 15 00 1 4986.435
2022 01 01 17 30 00 1 4986.459
2022 01 01 17 45 00 1 4986.489
2022 01 01 18 00 00 1 4986.530
2022 01 01 18 15 00 1 4986.581
2022 01 01 18 30 00 1 4986.639
2022 01 01 18 45 00 1 4986.703
2022 01 01 19 00 00 1 4986.773
2022 01 01 19 15 00 1 4986.847
2022 01 01 19 30 00 1 4986.924
2022 01 01 19 45 00 1 4986.998
2022 01 01 20 00 00 1 4987.076
2022 01 01 20 15 00 1 4987.153
