#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2020,1,1,0,0,69,5.5,7.1,1.3,14.3,99,42,1014.4,26.7,28.1,999,99,99
2020,1,1,0,10,64,4.5,5.5,99,99,99,999,1014.4,26.6,999,999,99,99
2020,1,1,0,20,63,4.7,5.8,99,99,99,999,1014.5,26.9,999,999,99,99
2020,1,1,0,30,72,5.1,6.4,99,99,99,999,1014.6,27,999,999,99,99
2020,1,1,0,40,76,4.6,5.8,99,99,99,999,1014.8,27,999,999,99,99
2020,1,1,0,50,82,5.7,7.1,99,99,99,999,1015,26.6,999,999,99,99
2020,1,1,1,0,108,3.5,5.2,1.4,14.3,99,38,1015.1,26,28.2,999,99,99
2020,1,1,1,10,114,2.6,3.5,99,99,99,999,1015.2,26.2,999,999,99,99
2020,1,1,1,20,88,5.1,6.7,99,99,99,999,1015.3,26.4,999,999,99,99
2020,1,1,1,30,81,5.1,6.4,99,99,99,999,1015.3,26.4,999,999,99,99
2020,1,1,1,40,88,3.6,5.3,99,99,99,999,1015.2,26.5,999,999,99,99
2020,1,1,1,50,98,4.2,5.6,99,99,99,999,1015.2,26.7,999,999,99,99
2020,1,1,2,0,82,4.5,6.1,1.4,14.3,99,40,1015.2,27.1,28.2,999,99,99
2020,1,1,2,10,78,4.6,5.7,99,99,99,999,1015.2,27.1,999,999,99,99
2020,1,1,2,20,93,4.4,5.7,99,99,99,999,1015.2,27.1,999,999,99,99
2020,1,1,2,30,74,5.1,6.3,99,99,99,999,1015.3,26.8,999,999,99,99
2020,1,1,2,40,88,4.5,6.6,99,99,99,999,1015.3,26.8,999,999,99,99
2020,1,1,2,50,97,3.6,4.9,99,99,99,999,1015.2,26.8,999,999,99,99
2020,1,1,3,0,101,3.5,4.7,1.5,14.3,99,42,1015.2,26.7,28.1,999,99,99
2020,1,1,3,10,113,2.7,4.1,99,99,99,999,1015.2,26.8,999,999,99,99
2020,1,1,3,20,136,2.6,3.6,99,99,99,999,1015.3,26.6,999,999,99,99
2020,1,1,3,30,136,2.2,2.9,99,99,99,999,1015.2,26.6,999,999,99,99
2020,1,1,3,40,112,2.8,3.5,99,99,99,999,1015.1,26.5,999,999,99,99
2020,1,1,3,50,120,2.8,3.5,99,99,99,999,1014.9,26.7,999,999,99,99
