#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2023,1,1,0,0,62,6.1,7.4,1.3,7.1,99,46,1017.1,26.6,27.3,999,99,99
2023,1,1,0,10,65,6.1,7.9,99,99,99,999,1017.1,26.6,999,999,99,99
2023,1,1,0,20,71,5.7,6.9,99,99,99,999,1017.2,26.5,999,999,99,99
2023,1,1,0,30,66,5.9,7.4,99,99,99,999,1017.2,26.6,999,999,99,99
2023,1,1,0,40,64,5.8,7.3,99,99,99,999,1017.3,26.6,999,999,99,99
2023,1,1,0,50,67,6.1,7,99,99,99,999,1017.3,26.7,999,999,99,99
2023,1,1,1,0,59,5.8,7.5,1.4,8,99,46,1017.3,26.5,27.2,999,99,99
2023,1,1,1,10,60,5.7,6.9,99,99,99,999,1017.3,26.7,999,999,99,99
2023,1,1,1,20,53,5.8,7.6,99,99,99,999,1017.3,26.4,999,999,99,99
2023,1,1,1,30,56,6.9,8,99,99,99,999,1017.4,26.4,999,999,99,99
2023,1,1,1,40,52,7.2,9.2,99,99,99,999,1017.4,26.5,999,999,99,99
2023,1,1,1,50,59,6.8,8.8,99,99,99,999,1017.4,26.3,999,999,99,99
2023,1,1,2,0,56,6.9,8.5,1.3,7.4,99,48,1017.5,26.5,27.3,999,99,99
2023,1,1,2,10,51,6.9,8.3,99,99,99,999,1017.5,26.5,999,999,99,99
2023,1,1,2,20,53,7,8.7,99,99,99,999,1017.4,26.3,999,999,99,99
2023,1,1,2,30,52,6.7,8.6,99,99,99,999,1017.5,26.3,999,999,99,99
2023,1,1,2,40,53,6.9,8.4,99,99,99,999,1017.4,26.2,999,999,99,99
2023,1,1,2,50,51,6.8,8.3,99,99,99,999,1017.2,26.4,999,999,99,99
2023,1,1,3,0,56,6.5,7.7,1.4,9.5,99,56,1017.1,26.3,27.2,999,99,99
2023,1,1,3,10,54,6.5,8.7,99,99,99,999,1017.1,26.2,999,999,99,99
2023,1,1,3,20,65,7.1,8.6,99,99,99,999,1017,26.2,999,999,99,99
2023,1,1,3,30,74,7.5,8.9,99,99,99,999,1017,26.3,999,999,99,99
2023,1,1,3,40,72,6.9,8.3,99,99,99,999,1016.9,26.2,999,999,99,99
2023,1,1,3,50,76,6.7,8,99,99,99,999,1016.8,26.2,999,999,99,99
2023,1,1,4,0,77,6.2,7.7,1.4,9.1,99,48,1016.7,26.2,27.2,999,99,99
2023,1,1,4,10,74,6.1,7.7,99,99,99,999,1016.6,25.9,999,999,99,99
2023,1,1,4,20,80,6.5,7.5,99,99,99,999,1016.5,25.9,999,999,99,99
2023,1,1,4,30,76,6.1,7.5,99,99,99,999,1016.5,25.9,999,999,99,99
2023,1,1,4,40,73,6.1,7.3,99,99,99,999,1016.4,25.9,999,999,99,99
2023,1,1,4,50,76,6,7.2,99,99,99,999,1016.3,25.9,999,999,99,99
2023,1,1,5,0,77,5.4,7,1.4,9.1,99,46,1016.2,25.8,27.2,999,99,99
2023,1,1,5,10,81,5.1,6.7,99,99,99,999,1016.1,25.9,999,999,99,99
2023,1,1,5,20,104,2.8,3.8,99,99,99,999,1016,25.5,999,999,99,99
2023,1,1,5,30,150,2.7,3.4,99,99,99,999,1015.9,25.1,999,999,99,99
2023,1,1,5,40,167,2.6,3.5,99,99,99,999,1015.9,24.5,999,999,99,99
2023,1,1,5,50,167,2.3,3.3,99,99,99,999,1015.8,24.4,999,999,99,99
2023,1,1,6,0,181,2.4,3,1.4,10,99,44,1015.6,24.4,26.9,999,99,99
2023,1,1,6,10,164,1.8,2.6,99,99,99,999,1015.5,24.3,999,999,99,99
2023,1,1,6,20,169,1.7,2.6,99,99,99,999,1015.5,24.5,999,999,99,99
2023,1,1,6,30,191,2,3,99,99,99,999,1015.3,24.3,999,999,99,99
2023,1,1,6,40,168,2,3.5,99,99,99,999,1015.4,24,999,999,99,99
2023,1,1,6,50,171,2.2,3.2,99,99,99,999,1015.2,23.8,999,999,99,99
2023,1,1,7,0,164,2.3,3.5,1.4,7.4,99,44,1015.1,24.2,26.9,999,99,99
2023,1,1,7,10,169,2.8,4.5,99,99,99,999,1015.1,24.1,999,999,99,99
2023,1,1,7,20,157,3.1,4.3,99,99,99,999,1015,23.9,999,999,99,99
2023,1,1,7,30,157,3,4.5,99,99,99,999,1015,23.7,999,999,99,99
2023,1,1,7,40,170,2.5,3.6,99,99,99,999,1014.9,23.6,999,999,99,99
2023,1,1,7,50,130,2.5,4.8,99,99,99,999,1015,23.7,999,999,99,99
2023,1,1,8,0,129,3.4,8.1,1.4,10,99,46,1015,24.2,27.2,999,99,99
2023,1,1,8,10,151,2.7,3.7,99,99,99,999,1014.9,24,999,999,99,99
2023,1,1,8,20,160,2.3,3.3,99,99,99,999,1014.9,23.8,999,999,99,99
